TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 6
Start Date:,06/17/2022
Start Time:,12:43:01
Duration (dd:hh:mm:ss):,00:00:15:11
Log Interval (mm:ss):,00:01
Number of points:,911
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.083
,Minimum:,0.066
,Time of Minimum:,12:46:51
,Date of Minimum:,06/17/2022
,Maximum:,0.129
,Time of Maximum:,12:44:57
,Date of Maximum:,06/17/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,12:43:02,0.091
06/17/2022,12:43:03,0.086
06/17/2022,12:43:04,0.080
06/17/2022,12:43:05,0.080
06/17/2022,12:43:06,0.084
06/17/2022,12:43:07,0.083
06/17/2022,12:43:08,0.084
06/17/2022,12:43:09,0.085
06/17/2022,12:43:10,0.078
06/17/2022,12:43:11,0.083
06/17/2022,12:43:12,0.080
06/17/2022,12:43:13,0.084
06/17/2022,12:43:14,0.089
06/17/2022,12:43:15,0.086
06/17/2022,12:43:16,0.084
06/17/2022,12:43:17,0.084
06/17/2022,12:43:18,0.098
06/17/2022,12:43:19,0.088
06/17/2022,12:43:20,0.082
06/17/2022,12:43:21,0.081
06/17/2022,12:43:22,0.089
06/17/2022,12:43:23,0.090
06/17/2022,12:43:24,0.084
06/17/2022,12:43:25,0.084
06/17/2022,12:43:26,0.100
06/17/2022,12:43:27,0.088
06/17/2022,12:43:28,0.097
06/17/2022,12:43:29,0.085
06/17/2022,12:43:30,0.084
06/17/2022,12:43:31,0.090
06/17/2022,12:43:32,0.085
06/17/2022,12:43:33,0.092
06/17/2022,12:43:34,0.091
06/17/2022,12:43:35,0.098
06/17/2022,12:43:36,0.110
06/17/2022,12:43:37,0.104
06/17/2022,12:43:38,0.101
06/17/2022,12:43:39,0.093
06/17/2022,12:43:40,0.096
06/17/2022,12:43:41,0.098
06/17/2022,12:43:42,0.101
06/17/2022,12:43:43,0.098
06/17/2022,12:43:44,0.103
06/17/2022,12:43:45,0.095
06/17/2022,12:43:46,0.097
06/17/2022,12:43:47,0.091
06/17/2022,12:43:48,0.088
06/17/2022,12:43:49,0.093
06/17/2022,12:43:50,0.084
06/17/2022,12:43:51,0.086
06/17/2022,12:43:52,0.117
06/17/2022,12:43:53,0.092
06/17/2022,12:43:54,0.094
06/17/2022,12:43:55,0.092
06/17/2022,12:43:56,0.103
06/17/2022,12:43:57,0.106
06/17/2022,12:43:58,0.088
06/17/2022,12:43:59,0.105
06/17/2022,12:44:00,0.095
06/17/2022,12:44:01,0.083
06/17/2022,12:44:02,0.097
06/17/2022,12:44:03,0.092
06/17/2022,12:44:04,0.089
06/17/2022,12:44:05,0.095
06/17/2022,12:44:06,0.098
06/17/2022,12:44:07,0.081
06/17/2022,12:44:08,0.113
06/17/2022,12:44:09,0.087
06/17/2022,12:44:10,0.080
06/17/2022,12:44:11,0.086
06/17/2022,12:44:12,0.080
06/17/2022,12:44:13,0.080
06/17/2022,12:44:14,0.076
06/17/2022,12:44:15,0.074
06/17/2022,12:44:16,0.084
06/17/2022,12:44:17,0.089
06/17/2022,12:44:18,0.090
06/17/2022,12:44:19,0.088
06/17/2022,12:44:20,0.083
06/17/2022,12:44:21,0.087
06/17/2022,12:44:22,0.070
06/17/2022,12:44:23,0.076
06/17/2022,12:44:24,0.077
