TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 7
Start Date:,06/17/2022
Start Time:,12:59:43
Duration (dd:hh:mm:ss):,00:00:28:08
Log Interval (mm:ss):,00:01
Number of points:,1688
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.080
,Minimum:,0.056
,Time of Minimum:,01:12:40
,Date of Minimum:,06/17/2022
,Maximum:,0.121
,Time of Maximum:,01:25:09
,Date of Maximum:,06/17/2022

,TWA:,0.005

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,12:59:44,0.079
06/17/2022,12:59:45,0.082
06/17/2022,12:59:46,0.083
06/17/2022,12:59:47,0.083
06/17/2022,12:59:48,0.087
06/17/2022,12:59:49,0.083
06/17/2022,12:59:50,0.086
06/17/2022,12:59:51,0.099
06/17/2022,12:59:52,0.086
06/17/2022,12:59:53,0.079
06/17/2022,12:59:54,0.085
06/17/2022,12:59:55,0.079
06/17/2022,12:59:56,0.076
06/17/2022,12:59:57,0.085
06/17/2022,12:59:58,0.081
06/17/2022,12:59:59,0.095
06/17/2022,13:00:00,0.089
06/17/2022,13:00:01,0.089
06/17/2022,13:00:02,0.077
06/17/2022,13:00:03,0.078
06/17/2022,13:00:04,0.078
06/17/2022,13:00:05,0.082
06/17/2022,13:00:06,0.089
06/17/2022,13:00:07,0.075
06/17/2022,13:00:08,0.077
06/17/2022,13:00:09,0.080
06/17/2022,13:00:10,0.074
06/17/2022,13:00:11,0.085
06/17/2022,13:00:12,0.071
06/17/2022,13:00:13,0.076
06/17/2022,13:00:14,0.079
06/17/2022,13:00:15,0.088
06/17/2022,13:00:16,0.081
06/17/2022,13:00:17,0.076
06/17/2022,13:00:18,0.082
06/17/2022,13:00:19,0.087
06/17/2022,13:00:20,0.085
06/17/2022,13:00:21,0.073
06/17/2022,13:00:22,0.075
06/17/2022,13:00:23,0.078
06/17/2022,13:00:24,0.091
06/17/2022,13:00:25,0.084
06/17/2022,13:00:26,0.078
06/17/2022,13:00:27,0.089
06/17/2022,13:00:28,0.092
06/17/2022,13:00:29,0.103
06/17/2022,13:00:30,0.094
06/17/2022,13:00:31,0.097
06/17/2022,13:00:32,0.091
06/17/2022,13:00:33,0.089
06/17/2022,13:00:34,0.102
06/17/2022,13:00:35,0.089
06/17/2022,13:00:36,0.084
06/17/2022,13:00:37,0.075
06/17/2022,13:00:38,0.087
06/17/2022,13:00:39,0.096
06/17/2022,13:00:40,0.083
06/17/2022,13:00:41,0.080
06/17/2022,13:00:42,0.085
06/17/2022,13:00:43,0.079
06/17/2022,13:00:44,0.086
06/17/2022,13:00:45,0.085
06/17/2022,13:00:46,0.087
06/17/2022,13:00:47,0.088
06/17/2022,13:00:48,0.091
06/17/2022,13:00:49,0.096
06/17/2022,13:00:50,0.121
06/17/2022,13:00:51,0.090
06/17/2022,13:00:52,0.078
06/17/2022,13:00:53,0.081
06/17/2022,13:00:54,0.083
06/17/2022,13:00:55,0.078
06/17/2022,13:00:56,0.079
06/17/2022,13:00:57,0.081
06/17/2022,13:00:58,0.080
06/17/2022,13:00:59,0.086
06/17/2022,13:01:00,0.080
06/17/2022,13:01:01,0.081
06/17/2022,13:01:02,0.092
06/17/2022,13:01:03,0.082
06/17/2022,13:01:04,0.087
06/17/2022,13:01:05,0.086
06/17/2022,13:01:06,0.086
06/17/2022,13:01:07,0.081
06/17/2022,13:01:08,0.077
06/17/2022,13:01:09,0.082
06/17/2022,13:01:10,0.080
06/17/2022,13:01:11,0.082
06/17/2022,13:01:12,0.088
06/17/2022,13:01:13,0.096
06/17/2022,13:01:14,0.085
06/17/2022,13:01:15,0.076
06/17/2022,13:01:16,0.076
06/17/2022,13:01:17,0.083
06/17/2022,13:01:18,0.081
06/17/2022,13:01:19,0.091
06/17/2022,13:01:20,0.083
06/17/2022,13:01:21,0.091
06/17/2022,13:01:22,0.083
06/17/2022,13:01:23,0.086
06/17/2022,13:01:24,0.087
06/17/2022,13:01:25,0.086
06/17/2022,13:01:26,0.086
06/17/2022,13:01:27,0.078
06/17/2022,13:01:28,0.082
06/17/2022,13:01:29,0.088
06/17/2022,13:01:30,0.076
06/17/2022,13:01:31,0.085
06/17/2022,13:01:32,0.081
06/17/2022,13:01:33,0.079
06/17/2022,13:01:34,0.080
06/17/2022,13:01:35,0.079
06/17/2022,13:01:36,0.079
06/17/2022,13:01:37,0.094
06/17/2022,13:01:38,0.076
06/17/2022,13:01:39,0.080
06/17/2022,13:01:40,0.082
06/17/2022,13:01:41,0.084
06/17/2022,13:01:42,0.087
06/17/2022,13:01:43,0.088
06/17/2022,13:01:44,0.088
06/17/2022,13:01:45,0.080
06/17/2022,13:01:46,0.080
06/17/2022,13:01:47,0.079
06/17/2022,13:01:48,0.074
06/17/2022,13:01:49,0.083
06/17/2022,13:01:50,0.095
06/17/2022,13:01:51,0.082
06/17/2022,13:01:52,0.091
06/17/2022,13:01:53,0.075
06/17/2022,13:01:54,0.079
06/17/2022,13:01:55,0.083
06/17/2022,13:01:56,0.082
06/17/2022,13:01:57,0.078
06/17/2022,13:01:58,0.081
06/17/2022,13:01:59,0.079
06/17/2022,13:02:00,0.072
06/17/2022,13:02:01,0.074
06/17/2022,13:02:02,0.086
06/17/2022,13:02:03,0.081
06/17/2022,13:02:04,0.079
06/17/2022,13:02:05,0.081
06/17/2022,13:02:06,0.084
06/17/2022,13:02:07,0.075
06/17/2022,13:02:08,0.084
06/17/2022,13:02:09,0.076
06/17/2022,13:02:10,0.076
06/17/2022,13:02:11,0.081
06/17/2022,13:02:12,0.074
06/17/2022,13:02:13,0.078
06/17/2022,13:02:14,0.080
06/17/2022,13:02:15,0.081
06/17/2022,13:02:16,0.077
06/17/2022,13:02:17,0.093
06/17/2022,13:02:18,0.088
06/17/2022,13:02:19,0.083
06/17/2022,13:02:20,0.072
06/17/2022,13:02:21,0.085
06/17/2022,13:02:22,0.081
06/17/2022,13:02:23,0.074
06/17/2022,13:02:24,0.072
06/17/2022,13:02:25,0.076
06/17/2022,13:02:26,0.087
06/17/2022,13:02:27,0.073
06/17/2022,13:02:28,0.072
06/17/2022,13:02:29,0.079
06/17/2022,13:02:30,0.071
06/17/2022,13:02:31,0.076
06/17/2022,13:02:32,0.088
06/17/2022,13:02:33,0.075
06/17/2022,13:02:34,0.074
06/17/2022,13:02:35,0.078
06/17/2022,13:02:36,0.092
06/17/2022,13:02:37,0.083
06/17/2022,13:02:38,0.080
06/17/2022,13:02:39,0.087
06/17/2022,13:02:40,0.080
06/17/2022,13:02:41,0.077
06/17/2022,13:02:42,0.083
06/17/2022,13:02:43,0.080
06/17/2022,13:02:44,0.074
06/17/2022,13:02:45,0.083
06/17/2022,13:02:46,0.076
06/17/2022,13:02:47,0.080
06/17/2022,13:02:48,0.086
06/17/2022,13:02:49,0.077
06/17/2022,13:02:50,0.072
06/17/2022,13:02:51,0.090
06/17/2022,13:02:52,0.075
06/17/2022,13:02:53,0.080
06/17/2022,13:02:54,0.077
06/17/2022,13:02:55,0.083
06/17/2022,13:02:56,0.073
06/17/2022,13:02:57,0.082
06/17/2022,13:02:58,0.075
06/17/2022,13:02:59,0.101
06/17/2022,13:03:00,0.071
06/17/2022,13:03:01,0.084
06/17/2022,13:03:02,0.076
06/17/2022,13:03:03,0.078
06/17/2022,13:03:04,0.077
06/17/2022,13:03:05,0.078
06/17/2022,13:03:06,0.083
06/17/2022,13:03:07,0.083
06/17/2022,13:03:08,0.086
06/17/2022,13:03:09,0.070
06/17/2022,13:03:10,0.090
