TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 13
Start Date:,06/17/2022
Start Time:,07:56:26
Duration (dd:hh:mm:ss):,00:00:26:44
Log Interval (mm:ss):,00:01
Number of points:,1604
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.123
,Minimum:,0.100
,Time of Minimum:,08:01:34
,Date of Minimum:,06/17/2022
,Maximum:,0.195
,Time of Maximum:,08:21:01
,Date of Maximum:,06/17/2022

,TWA:,0.007

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/17/2022,19:56:27,0.112
06/17/2022,19:56:28,0.111
06/17/2022,19:56:29,0.114
06/17/2022,19:56:30,0.118
06/17/2022,19:56:31,0.120
06/17/2022,19:56:32,0.120
06/17/2022,19:56:33,0.114
06/17/2022,19:56:34,0.111
06/17/2022,19:56:35,0.112
06/17/2022,19:56:36,0.114
06/17/2022,19:56:37,0.107
06/17/2022,19:56:38,0.109
06/17/2022,19:56:39,0.110
06/17/2022,19:56:40,0.112
06/17/2022,19:56:41,0.117
06/17/2022,19:56:42,0.104
06/17/2022,19:56:43,0.110
06/17/2022,19:56:44,0.128
06/17/2022,19:56:45,0.109
06/17/2022,19:56:46,0.111
06/17/2022,19:56:47,0.119
06/17/2022,19:56:48,0.115
06/17/2022,19:56:49,0.116
06/17/2022,19:56:50,0.112
06/17/2022,19:56:51,0.115
06/17/2022,19:56:52,0.111
06/17/2022,19:56:53,0.104
06/17/2022,19:56:54,0.107
06/17/2022,19:56:55,0.113
06/17/2022,19:56:56,0.118
06/17/2022,19:56:57,0.120
06/17/2022,19:56:58,0.129
06/17/2022,19:56:59,0.106
06/17/2022,19:57:00,0.111
06/17/2022,19:57:01,0.116
06/17/2022,19:57:02,0.118
06/17/2022,19:57:03,0.112
06/17/2022,19:57:04,0.106
06/17/2022,19:57:05,0.115
06/17/2022,19:57:06,0.123
06/17/2022,19:57:07,0.118
06/17/2022,19:57:08,0.114
06/17/2022,19:57:09,0.114
06/17/2022,19:57:10,0.111
06/17/2022,19:57:11,0.115
06/17/2022,19:57:12,0.117
06/17/2022,19:57:13,0.111
06/17/2022,19:57:14,0.112
06/17/2022,19:57:15,0.109
06/17/2022,19:57:16,0.112
06/17/2022,19:57:17,0.112
06/17/2022,19:57:18,0.118
06/17/2022,19:57:19,0.113
06/17/2022,19:57:20,0.105
06/17/2022,19:57:21,0.115
06/17/2022,19:57:22,0.104
06/17/2022,19:57:23,0.112
06/17/2022,19:57:24,0.111
06/17/2022,19:57:25,0.114
06/17/2022,19:57:26,0.110
06/17/2022,19:57:27,0.113
06/17/2022,19:57:28,0.116
06/17/2022,19:57:29,0.110
06/17/2022,19:57:30,0.118
06/17/2022,19:57:31,0.108
06/17/2022,19:57:32,0.113
06/17/2022,19:57:33,0.113
06/17/2022,19:57:34,0.129
06/17/2022,19:57:35,0.106
06/17/2022,19:57:36,0.110
06/17/2022,19:57:37,0.127
06/17/2022,19:57:38,0.112
06/17/2022,19:57:39,0.110
06/17/2022,19:57:40,0.114
06/17/2022,19:57:41,0.107
06/17/2022,19:57:42,0.102
06/17/2022,19:57:43,0.111
06/17/2022,19:57:44,0.110
06/17/2022,19:57:45,0.108
06/17/2022,19:57:46,0.100
06/17/2022,19:57:47,0.123
06/17/2022,19:57:48,0.117
06/17/2022,19:57:49,0.117
06/17/2022,19:57:50,0.113
06/17/2022,19:57:51,0.114
06/17/2022,19:57:52,0.110
06/17/2022,19:57:53,0.117
06/17/2022,19:57:54,0.101
06/17/2022,19:57:55,0.116
06/17/2022,19:57:56,0.112
06/17/2022,19:57:57,0.116
06/17/2022,19:57:58,0.106
06/17/2022,19:57:59,0.125
06/17/2022,19:58:00,0.111
06/17/2022,19:58:01,0.114
06/17/2022,19:58:02,0.117
06/17/2022,19:58:03,0.115
06/17/2022,19:58:04,0.110
06/17/2022,19:58:05,0.111
06/17/2022,19:58:06,0.114
06/17/2022,19:58:07,0.114
06/17/2022,19:58:08,0.122
06/17/2022,19:58:09,0.123
06/17/2022,19:58:10,0.107
06/17/2022,19:58:11,0.112
06/17/2022,19:58:12,0.107
06/17/2022,19:58:13,0.115
06/17/2022,19:58:14,0.118
06/17/2022,19:58:15,0.113
06/17/2022,19:58:16,0.109
