TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 3
Start Date:,06/17/2022
Start Time:,08:34:08
Duration (dd:hh:mm:ss):,00:00:39:27
Log Interval (mm:ss):,00:01
Number of points:,2367
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.136
,Minimum:,0.109
,Time of Minimum:,08:36:01
,Date of Minimum:,06/17/2022
,Maximum:,0.192
,Time of Maximum:,08:58:22
,Date of Maximum:,06/17/2022

,TWA:,0.011

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/17/2022
06/17/2022,08:36:54,0.130
06/17/2022,08:36:55,0.120
06/17/2022,08:36:56,0.122
06/17/2022,08:36:57,0.128
06/17/2022,08:36:58,0.125
06/17/2022,08:36:59,0.126
06/17/2022,08:37:00,0.119
06/17/2022,08:37:01,0.126
06/17/2022,08:37:02,0.116
06/17/2022,08:37:03,0.128
06/17/2022,08:37:04,0.118
06/17/2022,08:37:05,0.117
06/17/2022,08:37:06,0.135
06/17/2022,08:37:07,0.139
06/17/2022,08:37:08,0.123
06/17/2022,08:37:09,0.112
06/17/2022,08:37:10,0.127
06/17/2022,08:37:11,0.125
06/17/2022,08:37:12,0.120
06/17/2022,08:37:13,0.123
06/17/2022,08:37:14,0.121
06/17/2022,08:37:15,0.127
06/17/2022,08:37:16,0.136
06/17/2022,08:37:17,0.133
06/17/2022,08:37:18,0.121
06/17/2022,08:37:19,0.134
06/17/2022,08:37:20,0.127
06/17/2022,08:37:21,0.121
06/17/2022,08:37:22,0.122
06/17/2022,08:37:23,0.121
06/17/2022,08:37:24,0.127
06/17/2022,08:37:25,0.115
06/17/2022,08:37:26,0.121
06/17/2022,08:37:27,0.120
06/17/2022,08:37:28,0.130
06/17/2022,08:37:29,0.117
06/17/2022,08:37:30,0.110
06/17/2022,08:37:31,0.123
06/17/2022,08:37:32,0.125
06/17/2022,08:37:33,0.139
