TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 50
Start Date:,06/12/2022
Start Time:,12:35:49
Duration (dd:hh:mm:ss):,00:00:19:54
Log Interval (mm:ss):,00:01
Number of points:,1194
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.073
,Minimum:,0.059
,Time of Minimum:,12:53:22
,Date of Minimum:,06/12/2022
,Maximum:,0.204
,Time of Maximum:,12:40:32
,Date of Maximum:,06/12/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/12/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/12/2022,12:35:50,0.081
06/12/2022,12:35:51,0.080
06/12/2022,12:35:52,0.068
06/12/2022,12:35:53,0.080
06/12/2022,12:35:54,0.073
06/12/2022,12:35:55,0.072
06/12/2022,12:35:56,0.071
06/12/2022,12:35:57,0.072
06/12/2022,12:35:58,0.070
06/12/2022,12:35:59,0.083
06/12/2022,12:36:00,0.077
06/12/2022,12:36:01,0.067
06/12/2022,12:36:02,0.086
06/12/2022,12:36:03,0.070
06/12/2022,12:36:04,0.083
06/12/2022,12:36:05,0.072
06/12/2022,12:36:06,0.077
06/12/2022,12:36:07,0.072
06/12/2022,12:36:08,0.075
06/12/2022,12:36:09,0.075
06/12/2022,12:36:10,0.072
06/12/2022,12:36:11,0.080
06/12/2022,12:36:12,0.063
06/12/2022,12:36:13,0.065
06/12/2022,12:36:14,0.063
06/12/2022,12:36:15,0.067
06/12/2022,12:36:16,0.073
06/12/2022,12:36:17,0.080
06/12/2022,12:36:18,0.067
06/12/2022,12:36:19,0.076
06/12/2022,12:36:20,0.083
06/12/2022,12:36:21,0.071
06/12/2022,12:36:22,0.075
06/12/2022,12:36:23,0.070
06/12/2022,12:36:24,0.083
06/12/2022,12:36:25,0.073
06/12/2022,12:36:26,0.079
06/12/2022,12:36:27,0.079
06/12/2022,12:36:28,0.067
06/12/2022,12:36:29,0.069
06/12/2022,12:36:30,0.074
06/12/2022,12:36:31,0.077
06/12/2022,12:36:32,0.074
06/12/2022,12:36:33,0.071
06/12/2022,12:36:34,0.072
06/12/2022,12:36:35,0.073
06/12/2022,12:36:36,0.071
06/12/2022,12:36:37,0.068
06/12/2022,12:36:38,0.066
06/12/2022,12:36:39,0.064
06/12/2022,12:36:40,0.061
06/12/2022,12:36:41,0.070
06/12/2022,12:36:42,0.084
06/12/2022,12:36:43,0.072
06/12/2022,12:36:44,0.075
06/12/2022,12:36:45,0.072
06/12/2022,12:36:46,0.071
06/12/2022,12:36:47,0.071
06/12/2022,12:36:48,0.071
06/12/2022,12:36:49,0.073
06/12/2022,12:36:50,0.069
06/12/2022,12:36:51,0.067
06/12/2022,12:36:52,0.070
06/12/2022,12:36:53,0.073
06/12/2022,12:36:54,0.070
06/12/2022,12:36:55,0.070
06/12/2022,12:36:56,0.070
06/12/2022,12:36:57,0.078
06/12/2022,12:36:58,0.074
06/12/2022,12:36:59,0.068
06/12/2022,12:37:00,0.067
06/12/2022,12:37:01,0.073
06/12/2022,12:37:02,0.070
06/12/2022,12:37:03,0.064
06/12/2022,12:37:04,0.067
06/12/2022,12:37:05,0.062
06/12/2022,12:37:06,0.072
06/12/2022,12:37:07,0.074
06/12/2022,12:37:08,0.079
06/12/2022,12:37:09,0.066
06/12/2022,12:37:10,0.068
06/12/2022,12:37:11,0.074
06/12/2022,12:37:12,0.076
06/12/2022,12:37:13,0.071
06/12/2022,12:37:14,0.066
06/12/2022,12:37:15,0.071
06/12/2022,12:37:16,0.069
06/12/2022,12:37:17,0.069
06/12/2022,12:37:18,0.084
06/12/2022,12:37:19,0.073
06/12/2022,12:37:20,0.072
06/12/2022,12:37:21,0.074
06/12/2022,12:37:22,0.064
06/12/2022,12:37:23,0.079
06/12/2022,12:37:24,0.066
06/12/2022,12:37:25,0.068
06/12/2022,12:37:26,0.074
06/12/2022,12:37:27,0.071
06/12/2022,12:37:28,0.077
06/12/2022,12:37:29,0.074
06/12/2022,12:37:30,0.069
06/12/2022,12:37:31,0.070
06/12/2022,12:37:32,0.075
06/12/2022,12:37:33,0.074
06/12/2022,12:37:34,0.079
06/12/2022,12:37:35,0.076
06/12/2022,12:37:36,0.076
06/12/2022,12:37:37,0.075
06/12/2022,12:37:38,0.078
06/12/2022,12:37:39,0.077
06/12/2022,12:37:40,0.077
06/12/2022,12:37:41,0.077
06/12/2022,12:37:42,0.083
06/12/2022,12:37:43,0.072
06/12/2022,12:37:44,0.079
06/12/2022,12:37:45,0.094
06/12/2022,12:37:46,0.092
06/12/2022,12:37:47,0.092
06/12/2022,12:37:48,0.086
06/12/2022,12:37:49,0.088
06/12/2022,12:37:50,0.084
06/12/2022,12:37:51,0.077
06/12/2022,12:37:52,0.075
06/12/2022,12:37:53,0.072
06/12/2022,12:37:54,0.070
06/12/2022,12:37:55,0.070
06/12/2022,12:37:56,0.080
06/12/2022,12:37:57,0.074
06/12/2022,12:37:58,0.068
06/12/2022,12:37:59,0.068
06/12/2022,12:38:00,0.075
06/12/2022,12:38:01,0.065
06/12/2022,12:38:02,0.073
06/12/2022,12:38:03,0.082
06/12/2022,12:38:04,0.074
06/12/2022,12:38:05,0.072
06/12/2022,12:38:06,0.073
06/12/2022,12:38:07,0.069
06/12/2022,12:38:08,0.074
06/12/2022,12:38:09,0.071
06/12/2022,12:38:10,0.066
06/12/2022,12:38:11,0.074
06/12/2022,12:38:12,0.069
06/12/2022,12:38:13,0.070
06/12/2022,12:38:14,0.069
06/12/2022,12:38:15,0.074
06/12/2022,12:38:16,0.073
06/12/2022,12:38:17,0.067
06/12/2022,12:38:18,0.076
06/12/2022,12:38:19,0.063
06/12/2022,12:38:20,0.075
06/12/2022,12:38:21,0.071
06/12/2022,12:38:22,0.070
06/12/2022,12:38:23,0.077
06/12/2022,12:38:24,0.065
06/12/2022,12:38:25,0.073
06/12/2022,12:38:26,0.069
06/12/2022,12:38:27,0.079
06/12/2022,12:38:28,0.074
06/12/2022,12:38:29,0.066
06/12/2022,12:38:30,0.087
06/12/2022,12:38:31,0.073
06/12/2022,12:38:32,0.073
06/12/2022,12:38:33,0.082
06/12/2022,12:38:34,0.071
06/12/2022,12:38:35,0.073
06/12/2022,12:38:36,0.068
06/12/2022,12:38:37,0.074
06/12/2022,12:38:38,0.069
06/12/2022,12:38:39,0.078
06/12/2022,12:38:40,0.071
06/12/2022,12:38:41,0.078
06/12/2022,12:38:42,0.065
06/12/2022,12:38:43,0.066
06/12/2022,12:38:44,0.080
06/12/2022,12:38:45,0.066
06/12/2022,12:38:46,0.067
06/12/2022,12:38:47,0.074
06/12/2022,12:38:48,0.075
06/12/2022,12:38:49,0.067
06/12/2022,12:38:50,0.071
06/12/2022,12:38:51,0.084
06/12/2022,12:38:52,0.076
06/12/2022,12:38:53,0.073
06/12/2022,12:38:54,0.069
06/12/2022,12:38:55,0.084
06/12/2022,12:38:56,0.075
06/12/2022,12:38:57,0.081
06/12/2022,12:38:58,0.071
06/12/2022,12:38:59,0.069
06/12/2022,12:39:00,0.071
06/12/2022,12:39:01,0.071
06/12/2022,12:39:02,0.072
06/12/2022,12:39:03,0.075
06/12/2022,12:39:04,0.073
06/12/2022,12:39:05,0.081
06/12/2022,12:39:06,0.077
06/12/2022,12:39:07,0.074
06/12/2022,12:39:08,0.069
06/12/2022,12:39:09,0.076
06/12/2022,12:39:10,0.066
06/12/2022,12:39:11,0.076
06/12/2022,12:39:12,0.075
06/12/2022,12:39:13,0.065
06/12/2022,12:39:14,0.068
06/12/2022,12:39:15,0.081
06/12/2022,12:39:16,0.068
06/12/2022,12:39:17,0.075
06/12/2022,12:39:18,0.082
06/12/2022,12:39:19,0.076
06/12/2022,12:39:20,0.078
06/12/2022,12:39:21,0.082
06/12/2022,12:39:22,0.084
06/12/2022,12:39:23,0.063
06/12/2022,12:39:24,0.063
06/12/2022,12:39:25,0.077
06/12/2022,12:39:26,0.081
06/12/2022,12:39:27,0.070
06/12/2022,12:39:28,0.076
06/12/2022,12:39:29,0.067
06/12/2022,12:39:30,0.079
06/12/2022,12:39:31,0.068
06/12/2022,12:39:32,0.070
06/12/2022,12:39:33,0.075
06/12/2022,12:39:34,0.081
06/12/2022,12:39:35,0.080
06/12/2022,12:39:36,0.063
06/12/2022,12:39:37,0.069
06/12/2022,12:39:38,0.064
06/12/2022,12:39:39,0.069
06/12/2022,12:39:40,0.069
06/12/2022,12:39:41,0.074
06/12/2022,12:39:42,0.074
06/12/2022,12:39:43,0.065
06/12/2022,12:39:44,0.076
06/12/2022,12:39:45,0.075
06/12/2022,12:39:46,0.066
06/12/2022,12:39:47,0.072
06/12/2022,12:39:48,0.070
06/12/2022,12:39:49,0.067
06/12/2022,12:39:50,0.070
06/12/2022,12:39:51,0.078
06/12/2022,12:39:52,0.070
06/12/2022,12:39:53,0.076
06/12/2022,12:39:54,0.080
06/12/2022,12:39:55,0.067
06/12/2022,12:39:56,0.070
