TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 52
Start Date:,06/12/2022
Start Time:,05:39:09
Duration (dd:hh:mm:ss):,00:00:18:00
Log Interval (mm:ss):,00:01
Number of points:,1080
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.040
,Minimum:,0.019
,Time of Minimum:,05:55:31
,Date of Minimum:,06/12/2022
,Maximum:,0.091
,Time of Maximum:,05:39:42
,Date of Maximum:,06/12/2022

,TWA:,0.002

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/12/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/12/2022,17:39:10,0.064
06/12/2022,17:39:11,0.080
06/12/2022,17:39:12,0.068
06/12/2022,17:39:13,0.073
06/12/2022,17:39:14,0.072
06/12/2022,17:39:15,0.074
06/12/2022,17:39:16,0.065
06/12/2022,17:39:17,0.074
06/12/2022,17:39:18,0.075
06/12/2022,17:39:19,0.079
06/12/2022,17:39:20,0.073
06/12/2022,17:39:21,0.068
06/12/2022,17:39:22,0.077
06/12/2022,17:39:23,0.065
06/12/2022,17:39:24,0.067
06/12/2022,17:39:25,0.067
06/12/2022,17:39:26,0.064
06/12/2022,17:39:27,0.070
06/12/2022,17:39:28,0.068
06/12/2022,17:39:29,0.071
06/12/2022,17:39:30,0.075
06/12/2022,17:39:31,0.071
06/12/2022,17:39:32,0.077
06/12/2022,17:39:33,0.071
06/12/2022,17:39:34,0.073
06/12/2022,17:39:35,0.073
06/12/2022,17:39:36,0.084
06/12/2022,17:39:37,0.071
06/12/2022,17:39:38,0.071
06/12/2022,17:39:39,0.080
06/12/2022,17:39:40,0.079
06/12/2022,17:39:41,0.071
06/12/2022,17:39:42,0.091
06/12/2022,17:39:43,0.067
06/12/2022,17:39:44,0.076
06/12/2022,17:39:45,0.078
06/12/2022,17:39:46,0.082
06/12/2022,17:39:47,0.077
06/12/2022,17:39:48,0.074
06/12/2022,17:39:49,0.067
06/12/2022,17:39:50,0.076
06/12/2022,17:39:51,0.072
06/12/2022,17:39:52,0.081
06/12/2022,17:39:53,0.072
06/12/2022,17:39:54,0.071
06/12/2022,17:39:55,0.071
06/12/2022,17:39:56,0.074
06/12/2022,17:39:57,0.081
06/12/2022,17:39:58,0.073
06/12/2022,17:39:59,0.073
06/12/2022,17:40:00,0.076
06/12/2022,17:40:01,0.073
06/12/2022,17:40:02,0.064
06/12/2022,17:40:03,0.070
06/12/2022,17:40:04,0.083
06/12/2022,17:40:05,0.074
06/12/2022,17:40:06,0.071
06/12/2022,17:40:07,0.070
06/12/2022,17:40:08,0.071
06/12/2022,17:40:09,0.066
06/12/2022,17:40:10,0.081
06/12/2022,17:40:11,0.068
06/12/2022,17:40:12,0.071
06/12/2022,17:40:13,0.078
06/12/2022,17:40:14,0.068
06/12/2022,17:40:15,0.067
06/12/2022,17:40:16,0.077
06/12/2022,17:40:17,0.069
06/12/2022,17:40:18,0.071
06/12/2022,17:40:19,0.073
06/12/2022,17:40:20,0.073
06/12/2022,17:40:21,0.070
06/12/2022,17:40:22,0.067
06/12/2022,17:40:23,0.069
06/12/2022,17:40:24,0.067
06/12/2022,17:40:25,0.065
06/12/2022,17:40:26,0.068
06/12/2022,17:40:27,0.068
06/12/2022,17:40:28,0.064
06/12/2022,17:40:29,0.071
06/12/2022,17:40:30,0.065
06/12/2022,17:40:31,0.073
06/12/2022,17:40:32,0.078
06/12/2022,17:40:33,0.072
06/12/2022,17:40:34,0.073
06/12/2022,17:40:35,0.074
06/12/2022,17:40:36,0.062
06/12/2022,17:40:37,0.070
06/12/2022,17:40:38,0.084
06/12/2022,17:40:39,0.066
06/12/2022,17:40:40,0.058
06/12/2022,17:40:41,0.069
06/12/2022,17:40:42,0.075
06/12/2022,17:40:43,0.069
06/12/2022,17:40:44,0.069
06/12/2022,17:40:45,0.071
06/12/2022,17:40:46,0.074
06/12/2022,17:40:47,0.071
06/12/2022,17:40:48,0.060
06/12/2022,17:40:49,0.068
06/12/2022,17:40:50,0.073
06/12/2022,17:40:51,0.073
06/12/2022,17:40:52,0.080
06/12/2022,17:40:53,0.070
06/12/2022,17:40:54,0.081
06/12/2022,17:40:55,0.070
06/12/2022,17:40:56,0.079
06/12/2022,17:40:57,0.075
06/12/2022,17:40:58,0.065
06/12/2022,17:40:59,0.074
06/12/2022,17:41:00,0.071
06/12/2022,17:41:01,0.067
06/12/2022,17:41:02,0.074
06/12/2022,17:41:03,0.067
06/12/2022,17:41:04,0.074
06/12/2022,17:41:05,0.065
06/12/2022,17:41:06,0.066
06/12/2022,17:41:07,0.071
06/12/2022,17:41:08,0.063
06/12/2022,17:41:09,0.071
06/12/2022,17:41:10,0.079
06/12/2022,17:41:11,0.067
06/12/2022,17:41:12,0.063
06/12/2022,17:41:13,0.067
06/12/2022,17:41:14,0.079
06/12/2022,17:41:15,0.068
06/12/2022,17:41:16,0.065
06/12/2022,17:41:17,0.069
06/12/2022,17:41:18,0.066
06/12/2022,17:41:19,0.072
06/12/2022,17:41:20,0.069
06/12/2022,17:41:21,0.071
06/12/2022,17:41:22,0.065
06/12/2022,17:41:23,0.060
06/12/2022,17:41:24,0.063
06/12/2022,17:41:25,0.072
06/12/2022,17:41:26,0.063
06/12/2022,17:41:27,0.065
06/12/2022,17:41:28,0.064
06/12/2022,17:41:29,0.063
06/12/2022,17:41:30,0.061
06/12/2022,17:41:31,0.058
06/12/2022,17:41:32,0.059
06/12/2022,17:41:33,0.061
06/12/2022,17:41:34,0.069
06/12/2022,17:41:35,0.065
06/12/2022,17:41:36,0.061
06/12/2022,17:41:37,0.058
06/12/2022,17:41:38,0.062
06/12/2022,17:41:39,0.057
06/12/2022,17:41:40,0.060
06/12/2022,17:41:41,0.066
06/12/2022,17:41:42,0.055
06/12/2022,17:41:43,0.065
06/12/2022,17:41:44,0.061
06/12/2022,17:41:45,0.065
06/12/2022,17:41:46,0.063
06/12/2022,17:41:47,0.062
06/12/2022,17:41:48,0.061
06/12/2022,17:41:49,0.052
06/12/2022,17:41:50,0.056
06/12/2022,17:41:51,0.062
06/12/2022,17:41:52,0.063
06/12/2022,17:41:53,0.057
06/12/2022,17:41:54,0.061
06/12/2022,17:41:55,0.064
06/12/2022,17:41:56,0.065
06/12/2022,17:41:57,0.057
06/12/2022,17:41:58,0.052
06/12/2022,17:41:59,0.049
06/12/2022,17:42:00,0.070
06/12/2022,17:42:01,0.056
06/12/2022,17:42:02,0.055
06/12/2022,17:42:03,0.059
06/12/2022,17:42:04,0.061
06/12/2022,17:42:05,0.060
06/12/2022,17:42:06,0.055
06/12/2022,17:42:07,0.055
06/12/2022,17:42:08,0.059
06/12/2022,17:42:09,0.057
06/12/2022,17:42:10,0.050
06/12/2022,17:42:11,0.054
06/12/2022,17:42:12,0.053
06/12/2022,17:42:13,0.063
06/12/2022,17:42:14,0.056
06/12/2022,17:42:15,0.052
06/12/2022,17:42:16,0.053
06/12/2022,17:42:17,0.047
06/12/2022,17:42:18,0.054
06/12/2022,17:42:19,0.058
06/12/2022,17:42:20,0.055
06/12/2022,17:42:21,0.059
06/12/2022,17:42:22,0.046
06/12/2022,17:42:23,0.054
06/12/2022,17:42:24,0.057
06/12/2022,17:42:25,0.053
06/12/2022,17:42:26,0.062
06/12/2022,17:42:27,0.051
06/12/2022,17:42:28,0.055
06/12/2022,17:42:29,0.049
06/12/2022,17:42:30,0.052
06/12/2022,17:42:31,0.056
06/12/2022,17:42:32,0.062
06/12/2022,17:42:33,0.057
06/12/2022,17:42:34,0.061
06/12/2022,17:42:35,0.050
06/12/2022,17:42:36,0.053
06/12/2022,17:42:37,0.052
06/12/2022,17:42:38,0.054
06/12/2022,17:42:39,0.052
06/12/2022,17:42:40,0.047
06/12/2022,17:42:41,0.060
06/12/2022,17:42:42,0.050
06/12/2022,17:42:43,0.055
06/12/2022,17:42:44,0.055
06/12/2022,17:42:45,0.057
06/12/2022,17:42:46,0.053
06/12/2022,17:42:47,0.057
06/12/2022,17:42:48,0.048
06/12/2022,17:42:49,0.053
06/12/2022,17:42:50,0.051
06/12/2022,17:42:51,0.052
06/12/2022,17:42:52,0.057
06/12/2022,17:42:53,0.050
06/12/2022,17:42:54,0.048
06/12/2022,17:42:55,0.048
06/12/2022,17:42:56,0.052
06/12/2022,17:42:57,0.053
06/12/2022,17:42:58,0.055
06/12/2022,17:42:59,0.056
06/12/2022,17:43:00,0.054
06/12/2022,17:43:01,0.066
06/12/2022,17:43:02,0.048
06/12/2022,17:43:03,0.045
06/12/2022,17:43:04,0.047
06/12/2022,17:43:05,0.051
06/12/2022,17:43:06,0.047
06/12/2022,17:43:07,0.056
06/12/2022,17:43:08,0.048
06/12/2022,17:43:09,0.049
06/12/2022,17:43:10,0.044
06/12/2022,17:43:11,0.050
06/12/2022,17:43:12,0.057
06/12/2022,17:43:13,0.046
06/12/2022,17:43:14,0.046
06/12/2022,17:43:15,0.049
06/12/2022,17:43:16,0.044
06/12/2022,17:43:17,0.052
06/12/2022,17:43:18,0.057
06/12/2022,17:43:19,0.041
06/12/2022,17:43:20,0.051
06/12/2022,17:43:21,0.047
06/12/2022,17:43:22,0.050
06/12/2022,17:43:23,0.048
06/12/2022,17:43:24,0.044
06/12/2022,17:43:25,0.047
06/12/2022,17:43:26,0.052
06/12/2022,17:43:27,0.045
06/12/2022,17:43:28,0.047
06/12/2022,17:43:29,0.047
06/12/2022,17:43:30,0.048
06/12/2022,17:43:31,0.047
06/12/2022,17:43:32,0.046
06/12/2022,17:43:33,0.059
06/12/2022,17:43:34,0.046
06/12/2022,17:43:35,0.044
06/12/2022,17:43:36,0.044
06/12/2022,17:43:37,0.049
06/12/2022,17:43:38,0.051
06/12/2022,17:43:39,0.055
06/12/2022,17:43:40,0.050
06/12/2022,17:43:41,0.044
06/12/2022,17:43:42,0.038
06/12/2022,17:43:43,0.045
06/12/2022,17:43:44,0.048
06/12/2022,17:43:45,0.047
06/12/2022,17:43:46,0.042
06/12/2022,17:43:47,0.047
06/12/2022,17:43:48,0.052
06/12/2022,17:43:49,0.041
06/12/2022,17:43:50,0.047
06/12/2022,17:43:51,0.042
06/12/2022,17:43:52,0.048
06/12/2022,17:43:53,0.043
06/12/2022,17:43:54,0.048
06/12/2022,17:43:55,0.043
06/12/2022,17:43:56,0.041
06/12/2022,17:43:57,0.046
06/12/2022,17:43:58,0.052
06/12/2022,17:43:59,0.043
06/12/2022,17:44:00,0.047
06/12/2022,17:44:01,0.049
06/12/2022,17:44:02,0.050
06/12/2022,17:44:03,0.043
06/12/2022,17:44:04,0.049
06/12/2022,17:44:05,0.041
06/12/2022,17:44:06,0.044
06/12/2022,17:44:07,0.044
06/12/2022,17:44:08,0.050
06/12/2022,17:44:09,0.044
06/12/2022,17:44:10,0.049
06/12/2022,17:44:11,0.040
06/12/2022,17:44:12,0.048
06/12/2022,17:44:13,0.046
06/12/2022,17:44:14,0.042
06/12/2022,17:44:15,0.051
06/12/2022,17:44:16,0.046
06/12/2022,17:44:17,0.044
06/12/2022,17:44:18,0.044
06/12/2022,17:44:19,0.045
06/12/2022,17:44:20,0.039
06/12/2022,17:44:21,0.040
06/12/2022,17:44:22,0.045
06/12/2022,17:44:23,0.041
06/12/2022,17:44:24,0.039
06/12/2022,17:44:25,0.041
06/12/2022,17:44:26,0.049
06/12/2022,17:44:27,0.049
06/12/2022,17:44:28,0.042
06/12/2022,17:44:29,0.043
06/12/2022,17:44:30,0.045
06/12/2022,17:44:31,0.043
06/12/2022,17:44:32,0.038
06/12/2022,17:44:33,0.047
06/12/2022,17:44:34,0.040
06/12/2022,17:44:35,0.043
06/12/2022,17:44:36,0.046
06/12/2022,17:44:37,0.046
06/12/2022,17:44:38,0.051
06/12/2022,17:44:39,0.082
06/12/2022,17:44:40,0.042
06/12/2022,17:44:41,0.037
06/12/2022,17:44:42,0.040
06/12/2022,17:44:43,0.041
06/12/2022,17:44:44,0.046
06/12/2022,17:44:45,0.039
06/12/2022,17:44:46,0.041
06/12/2022,17:44:47,0.049
06/12/2022,17:44:48,0.040
06/12/2022,17:44:49,0.041
06/12/2022,17:44:50,0.042
06/12/2022,17:44:51,0.042
06/12/2022,17:44:52,0.036
06/12/2022,17:44:53,0.037
06/12/2022,17:44:54,0.041
06/12/2022,17:44:55,0.038
06/12/2022,17:44:56,0.041
06/12/2022,17:44:57,0.041
06/12/2022,17:44:58,0.039
06/12/2022,17:44:59,0.048
06/12/2022,17:45:00,0.041
06/12/2022,17:45:01,0.040
06/12/2022,17:45:02,0.042
06/12/2022,17:45:03,0.037
06/12/2022,17:45:04,0.041
06/12/2022,17:45:05,0.045
06/12/2022,17:45:06,0.042
06/12/2022,17:45:07,0.037
06/12/2022,17:45:08,0.041
06/12/2022,17:45:09,0.043
06/12/2022,17:45:10,0.044
06/12/2022,17:45:11,0.042
06/12/2022,17:45:12,0.033
06/12/2022,17:45:13,0.037
06/12/2022,17:45:14,0.036
06/12/2022,17:45:15,0.035
06/12/2022,17:45:16,0.037
06/12/2022,17:45:17,0.043
06/12/2022,17:45:18,0.039
06/12/2022,17:45:19,0.036
06/12/2022,17:45:20,0.041
06/12/2022,17:45:21,0.035
