TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 49
Start Date:,06/12/2022
Start Time:,12:15:14
Duration (dd:hh:mm:ss):,00:00:19:09
Log Interval (mm:ss):,00:01
Number of points:,1149
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.073
,Minimum:,0.059
,Time of Minimum:,12:29:52
,Date of Minimum:,06/12/2022
,Maximum:,0.264
,Time of Maximum:,12:25:26
,Date of Maximum:,06/12/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/12/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/12/2022,12:15:15,0.078
06/12/2022,12:15:16,0.077
06/12/2022,12:15:17,0.084
06/12/2022,12:15:18,0.077
06/12/2022,12:15:19,0.069
06/12/2022,12:15:20,0.076
06/12/2022,12:15:21,0.080
06/12/2022,12:15:22,0.078
06/12/2022,12:15:23,0.077
06/12/2022,12:15:24,0.073
06/12/2022,12:15:25,0.074
06/12/2022,12:15:26,0.075
06/12/2022,12:15:27,0.070
06/12/2022,12:15:28,0.073
06/12/2022,12:15:29,0.070
06/12/2022,12:15:30,0.081
06/12/2022,12:15:31,0.069
06/12/2022,12:15:32,0.071
06/12/2022,12:15:33,0.075
06/12/2022,12:15:34,0.083
06/12/2022,12:15:35,0.087
06/12/2022,12:15:36,0.078
06/12/2022,12:15:37,0.073
06/12/2022,12:15:38,0.069
06/12/2022,12:15:39,0.073
06/12/2022,12:15:40,0.071
06/12/2022,12:15:41,0.069
06/12/2022,12:15:42,0.078
06/12/2022,12:15:43,0.076
06/12/2022,12:15:44,0.070
06/12/2022,12:15:45,0.082
06/12/2022,12:15:46,0.076
06/12/2022,12:15:47,0.084
06/12/2022,12:15:48,0.071
06/12/2022,12:15:49,0.076
06/12/2022,12:15:50,0.085
06/12/2022,12:15:51,0.092
06/12/2022,12:15:52,0.083
06/12/2022,12:15:53,0.081
06/12/2022,12:15:54,0.080
06/12/2022,12:15:55,0.086
06/12/2022,12:15:56,0.076
06/12/2022,12:15:57,0.088
06/12/2022,12:15:58,0.085
06/12/2022,12:15:59,0.081
06/12/2022,12:16:00,0.076
06/12/2022,12:16:01,0.078
06/12/2022,12:16:02,0.076
06/12/2022,12:16:03,0.077
06/12/2022,12:16:04,0.076
06/12/2022,12:16:05,0.084
06/12/2022,12:16:06,0.073
06/12/2022,12:16:07,0.080
06/12/2022,12:16:08,0.072
06/12/2022,12:16:09,0.078
06/12/2022,12:16:10,0.082
06/12/2022,12:16:11,0.073
06/12/2022,12:16:12,0.071
06/12/2022,12:16:13,0.069
06/12/2022,12:16:14,0.069
06/12/2022,12:16:15,0.079
06/12/2022,12:16:16,0.076
06/12/2022,12:16:17,0.078
06/12/2022,12:16:18,0.076
06/12/2022,12:16:19,0.080
06/12/2022,12:16:20,0.083
06/12/2022,12:16:21,0.073
06/12/2022,12:16:22,0.068
06/12/2022,12:16:23,0.075
06/12/2022,12:16:24,0.083
06/12/2022,12:16:25,0.083
06/12/2022,12:16:26,0.080
06/12/2022,12:16:27,0.086
06/12/2022,12:16:28,0.072
06/12/2022,12:16:29,0.072
06/12/2022,12:16:30,0.089
06/12/2022,12:16:31,0.079
06/12/2022,12:16:32,0.074
06/12/2022,12:16:33,0.074
06/12/2022,12:16:34,0.077
06/12/2022,12:16:35,0.076
06/12/2022,12:16:36,0.077
06/12/2022,12:16:37,0.081
06/12/2022,12:16:38,0.079
06/12/2022,12:16:39,0.072
06/12/2022,12:16:40,0.084
06/12/2022,12:16:41,0.075
06/12/2022,12:16:42,0.084
06/12/2022,12:16:43,0.088
06/12/2022,12:16:44,0.080
06/12/2022,12:16:45,0.080
06/12/2022,12:16:46,0.087
06/12/2022,12:16:47,0.083
06/12/2022,12:16:48,0.074
06/12/2022,12:16:49,0.071
06/12/2022,12:16:50,0.073
06/12/2022,12:16:51,0.072
06/12/2022,12:16:52,0.070
06/12/2022,12:16:53,0.075
06/12/2022,12:16:54,0.081
06/12/2022,12:16:55,0.076
06/12/2022,12:16:56,0.106
06/12/2022,12:16:57,0.181
06/12/2022,12:16:58,0.117
06/12/2022,12:16:59,0.114
06/12/2022,12:17:00,0.085
06/12/2022,12:17:01,0.090
06/12/2022,12:17:02,0.078
06/12/2022,12:17:03,0.069
06/12/2022,12:17:04,0.078
06/12/2022,12:17:05,0.074
06/12/2022,12:17:06,0.066
06/12/2022,12:17:07,0.074
06/12/2022,12:17:08,0.083
06/12/2022,12:17:09,0.076
06/12/2022,12:17:10,0.074
06/12/2022,12:17:11,0.077
06/12/2022,12:17:12,0.079
06/12/2022,12:17:13,0.078
06/12/2022,12:17:14,0.069
06/12/2022,12:17:15,0.078
06/12/2022,12:17:16,0.079
06/12/2022,12:17:17,0.072
06/12/2022,12:17:18,0.075
06/12/2022,12:17:19,0.077
06/12/2022,12:17:20,0.075
06/12/2022,12:17:21,0.077
06/12/2022,12:17:22,0.074
06/12/2022,12:17:23,0.072
06/12/2022,12:17:24,0.077
06/12/2022,12:17:25,0.089
06/12/2022,12:17:26,0.070
06/12/2022,12:17:27,0.073
06/12/2022,12:17:28,0.075
06/12/2022,12:17:29,0.067
06/12/2022,12:17:30,0.075
06/12/2022,12:17:31,0.068
06/12/2022,12:17:32,0.081
06/12/2022,12:17:33,0.082
06/12/2022,12:17:34,0.086
06/12/2022,12:17:35,0.076
06/12/2022,12:17:36,0.072
06/12/2022,12:17:37,0.082
06/12/2022,12:17:38,0.078
06/12/2022,12:17:39,0.086
06/12/2022,12:17:40,0.084
06/12/2022,12:17:41,0.079
06/12/2022,12:17:42,0.074
06/12/2022,12:17:43,0.090
06/12/2022,12:17:44,0.079
06/12/2022,12:17:45,0.086
06/12/2022,12:17:46,0.075
06/12/2022,12:17:47,0.082
06/12/2022,12:17:48,0.075
06/12/2022,12:17:49,0.086
06/12/2022,12:17:50,0.081
06/12/2022,12:17:51,0.074
06/12/2022,12:17:52,0.065
06/12/2022,12:17:53,0.068
06/12/2022,12:17:54,0.075
06/12/2022,12:17:55,0.081
06/12/2022,12:17:56,0.079
06/12/2022,12:17:57,0.072
06/12/2022,12:17:58,0.087
06/12/2022,12:17:59,0.081
06/12/2022,12:18:00,0.082
06/12/2022,12:18:01,0.074
06/12/2022,12:18:02,0.076
06/12/2022,12:18:03,0.079
06/12/2022,12:18:04,0.079
06/12/2022,12:18:05,0.070
06/12/2022,12:18:06,0.072
06/12/2022,12:18:07,0.072
06/12/2022,12:18:08,0.077
06/12/2022,12:18:09,0.066
06/12/2022,12:18:10,0.066
06/12/2022,12:18:11,0.075
06/12/2022,12:18:12,0.071
06/12/2022,12:18:13,0.065
06/12/2022,12:18:14,0.075
06/12/2022,12:18:15,0.067
06/12/2022,12:18:16,0.074
06/12/2022,12:18:17,0.066
06/12/2022,12:18:18,0.073
06/12/2022,12:18:19,0.064
06/12/2022,12:18:20,0.064
06/12/2022,12:18:21,0.063
06/12/2022,12:18:22,0.071
06/12/2022,12:18:23,0.070
06/12/2022,12:18:24,0.078
06/12/2022,12:18:25,0.070
06/12/2022,12:18:26,0.076
06/12/2022,12:18:27,0.069
06/12/2022,12:18:28,0.061
06/12/2022,12:18:29,0.071
06/12/2022,12:18:30,0.079
06/12/2022,12:18:31,0.074
06/12/2022,12:18:32,0.071
06/12/2022,12:18:33,0.073
06/12/2022,12:18:34,0.076
06/12/2022,12:18:35,0.081
06/12/2022,12:18:36,0.068
06/12/2022,12:18:37,0.076
06/12/2022,12:18:38,0.076
06/12/2022,12:18:39,0.070
06/12/2022,12:18:40,0.074
06/12/2022,12:18:41,0.071
06/12/2022,12:18:42,0.065
06/12/2022,12:18:43,0.080
06/12/2022,12:18:44,0.072
06/12/2022,12:18:45,0.070
06/12/2022,12:18:46,0.069
06/12/2022,12:18:47,0.078
06/12/2022,12:18:48,0.077
06/12/2022,12:18:49,0.073
06/12/2022,12:18:50,0.074
06/12/2022,12:18:51,0.066
06/12/2022,12:18:52,0.070
06/12/2022,12:18:53,0.069
06/12/2022,12:18:54,0.071
06/12/2022,12:18:55,0.073
06/12/2022,12:18:56,0.076
06/12/2022,12:18:57,0.066
06/12/2022,12:18:58,0.064
06/12/2022,12:18:59,0.075
06/12/2022,12:19:00,0.071
06/12/2022,12:19:01,0.074
06/12/2022,12:19:02,0.077
06/12/2022,12:19:03,0.073
06/12/2022,12:19:04,0.073
06/12/2022,12:19:05,0.068
06/12/2022,12:19:06,0.074
06/12/2022,12:19:07,0.080
06/12/2022,12:19:08,0.065
06/12/2022,12:19:09,0.067
06/12/2022,12:19:10,0.074
06/12/2022,12:19:11,0.062
06/12/2022,12:19:12,0.067
06/12/2022,12:19:13,0.072
06/12/2022,12:19:14,0.071
06/12/2022,12:19:15,0.068
06/12/2022,12:19:16,0.074
06/12/2022,12:19:17,0.070
06/12/2022,12:19:18,0.068
06/12/2022,12:19:19,0.072
06/12/2022,12:19:20,0.077
06/12/2022,12:19:21,0.074
