TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 44
Start Date:,06/12/2022
Start Time:,07:33:45
Duration (dd:hh:mm:ss):,00:00:38:58
Log Interval (mm:ss):,00:01
Number of points:,2338
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.041
,Time of Minimum:,07:54:06
,Date of Minimum:,06/12/2022
,Maximum:,0.158
,Time of Maximum:,08:10:28
,Date of Maximum:,06/12/2022

,TWA:,0.005

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/12/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/12/2022,07:33:46,0.047
06/12/2022,07:33:47,0.051
06/12/2022,07:33:48,0.057
06/12/2022,07:33:49,0.065
06/12/2022,07:33:50,0.053
06/12/2022,07:33:51,0.056
06/12/2022,07:33:52,0.057
06/12/2022,07:33:53,0.056
06/12/2022,07:33:54,0.068
06/12/2022,07:33:55,0.053
06/12/2022,07:33:56,0.058
06/12/2022,07:33:57,0.053
06/12/2022,07:33:58,0.059
06/12/2022,07:33:59,0.058
06/12/2022,07:34:00,0.050
06/12/2022,07:34:01,0.051
06/12/2022,07:34:02,0.065
06/12/2022,07:34:03,0.057
06/12/2022,07:34:04,0.057
06/12/2022,07:34:05,0.048
06/12/2022,07:34:06,0.060
06/12/2022,07:34:07,0.057
06/12/2022,07:34:08,0.053
06/12/2022,07:34:09,0.053
06/12/2022,07:34:10,0.052
06/12/2022,07:34:11,0.057
06/12/2022,07:34:12,0.065
06/12/2022,07:34:13,0.057
06/12/2022,07:34:14,0.052
06/12/2022,07:34:15,0.057
06/12/2022,07:34:16,0.058
06/12/2022,07:34:17,0.051
06/12/2022,07:34:18,0.057
06/12/2022,07:34:19,0.051
06/12/2022,07:34:20,0.057
06/12/2022,07:34:21,0.055
06/12/2022,07:34:22,0.064
06/12/2022,07:34:23,0.051
06/12/2022,07:34:24,0.049
06/12/2022,07:34:25,0.052
06/12/2022,07:34:26,0.075
06/12/2022,07:34:27,0.056
06/12/2022,07:34:28,0.052
06/12/2022,07:34:29,0.060
06/12/2022,07:34:30,0.056
06/12/2022,07:34:31,0.054
06/12/2022,07:34:32,0.058
06/12/2022,07:34:33,0.066
06/12/2022,07:34:34,0.061
06/12/2022,07:34:35,0.048
06/12/2022,07:34:36,0.052
06/12/2022,07:34:37,0.048
06/12/2022,07:34:38,0.057
06/12/2022,07:34:39,0.061
06/12/2022,07:34:40,0.059
06/12/2022,07:34:41,0.049
06/12/2022,07:34:42,0.058
06/12/2022,07:34:43,0.058
06/12/2022,07:34:44,0.056
06/12/2022,07:34:45,0.067
06/12/2022,07:34:46,0.064
06/12/2022,07:34:47,0.056
06/12/2022,07:34:48,0.063
06/12/2022,07:34:49,0.047
06/12/2022,07:34:50,0.057
06/12/2022,07:34:51,0.063
06/12/2022,07:34:52,0.057
06/12/2022,07:34:53,0.053
06/12/2022,07:34:54,0.060
