TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 55
Start Date:,06/12/2022
Start Time:,07:35:48
Duration (dd:hh:mm:ss):,00:00:25:26
Log Interval (mm:ss):,00:01
Number of points:,1526
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.084
,Minimum:,0.064
,Time of Minimum:,07:44:03
,Date of Minimum:,06/12/2022
,Maximum:,0.116
,Time of Maximum:,07:59:31
,Date of Maximum:,06/12/2022

,TWA:,0.004

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/12/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/12/2022,19:35:49,0.085
06/12/2022,19:35:50,0.078
06/12/2022,19:35:51,0.085
06/12/2022,19:35:52,0.081
06/12/2022,19:35:53,0.083
06/12/2022,19:35:54,0.081
06/12/2022,19:35:55,0.101
06/12/2022,19:35:56,0.079
06/12/2022,19:35:57,0.079
06/12/2022,19:35:58,0.091
06/12/2022,19:35:59,0.080
06/12/2022,19:36:00,0.090
06/12/2022,19:36:01,0.089
06/12/2022,19:36:02,0.083
06/12/2022,19:36:03,0.081
06/12/2022,19:36:04,0.076
06/12/2022,19:36:05,0.090
06/12/2022,19:36:06,0.082
06/12/2022,19:36:07,0.090
06/12/2022,19:36:08,0.074
06/12/2022,19:36:09,0.082
06/12/2022,19:36:10,0.075
06/12/2022,19:36:11,0.079
06/12/2022,19:36:12,0.088
06/12/2022,19:36:13,0.082
06/12/2022,19:36:14,0.079
06/12/2022,19:36:15,0.082
06/12/2022,19:36:16,0.090
06/12/2022,19:36:17,0.081
06/12/2022,19:36:18,0.086
06/12/2022,19:36:19,0.082
06/12/2022,19:36:20,0.094
06/12/2022,19:36:21,0.095
06/12/2022,19:36:22,0.076
06/12/2022,19:36:23,0.086
06/12/2022,19:36:24,0.088
06/12/2022,19:36:25,0.081
06/12/2022,19:36:26,0.098
06/12/2022,19:36:27,0.088
06/12/2022,19:36:28,0.092
06/12/2022,19:36:29,0.079
06/12/2022,19:36:30,0.087
06/12/2022,19:36:31,0.079
06/12/2022,19:36:32,0.084
06/12/2022,19:36:33,0.089
06/12/2022,19:36:34,0.075
06/12/2022,19:36:35,0.076
06/12/2022,19:36:36,0.078
06/12/2022,19:36:37,0.084
06/12/2022,19:36:38,0.081
06/12/2022,19:36:39,0.082
06/12/2022,19:36:40,0.081
06/12/2022,19:36:41,0.083
06/12/2022,19:36:42,0.092
06/12/2022,19:36:43,0.078
06/12/2022,19:36:44,0.085
06/12/2022,19:36:45,0.085
06/12/2022,19:36:46,0.083
06/12/2022,19:36:47,0.090
06/12/2022,19:36:48,0.084
06/12/2022,19:36:49,0.091
06/12/2022,19:36:50,0.091
06/12/2022,19:36:51,0.088
06/12/2022,19:36:52,0.079
06/12/2022,19:36:53,0.081
06/12/2022,19:36:54,0.085
06/12/2022,19:36:55,0.083
06/12/2022,19:36:56,0.090
06/12/2022,19:36:57,0.091
06/12/2022,19:36:58,0.078
06/12/2022,19:36:59,0.073
06/12/2022,19:37:00,0.078
06/12/2022,19:37:01,0.080
06/12/2022,19:37:02,0.075
06/12/2022,19:37:03,0.077
06/12/2022,19:37:04,0.082
06/12/2022,19:37:05,0.082
06/12/2022,19:37:06,0.093
06/12/2022,19:37:07,0.087
06/12/2022,19:37:08,0.083
06/12/2022,19:37:09,0.091
06/12/2022,19:37:10,0.083
06/12/2022,19:37:11,0.081
06/12/2022,19:37:12,0.093
