TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 2
Start Date:,06/18/2022
Start Time:,02:43:42
Duration (dd:hh:mm:ss):,00:00:33:13
Log Interval (mm:ss):,00:01
Number of points:,1993
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.085
,Minimum:,0.055
,Time of Minimum:,03:13:53
,Date of Minimum:,06/18/2022
,Maximum:,0.129
,Time of Maximum:,03:04:00
,Date of Maximum:,06/18/2022

,TWA:,0.006

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/18/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/18/2022,14:43:43,0.115
06/18/2022,14:43:44,0.092
06/18/2022,14:43:45,0.103
06/18/2022,14:43:46,0.098
06/18/2022,14:43:47,0.116
06/18/2022,14:43:48,0.101
06/18/2022,14:43:49,0.117
06/18/2022,14:43:50,0.118
06/18/2022,14:43:51,0.112
06/18/2022,14:43:52,0.115
06/18/2022,14:43:53,0.107
06/18/2022,14:43:54,0.098
06/18/2022,14:43:55,0.104
06/18/2022,14:43:56,0.109
06/18/2022,14:43:57,0.104
06/18/2022,14:43:58,0.100
06/18/2022,14:43:59,0.107
06/18/2022,14:44:00,0.113
06/18/2022,14:44:01,0.107
06/18/2022,14:44:02,0.116
06/18/2022,14:44:03,0.098
06/18/2022,14:44:04,0.112
06/18/2022,14:44:05,0.105
06/18/2022,14:44:06,0.099
06/18/2022,14:44:07,0.099
06/18/2022,14:44:08,0.109
06/18/2022,14:44:09,0.108
06/18/2022,14:44:10,0.102
06/18/2022,14:44:11,0.127
06/18/2022,14:44:12,0.117
06/18/2022,14:44:13,0.118
06/18/2022,14:44:14,0.124
06/18/2022,14:44:15,0.109
06/18/2022,14:44:16,0.106
06/18/2022,14:44:17,0.119
06/18/2022,14:44:18,0.102
06/18/2022,14:44:19,0.114
06/18/2022,14:44:20,0.109
06/18/2022,14:44:21,0.108
06/18/2022,14:44:22,0.108
06/18/2022,14:44:23,0.110
06/18/2022,14:44:24,0.109
06/18/2022,14:44:25,0.107
06/18/2022,14:44:26,0.105
06/18/2022,14:44:27,0.113
06/18/2022,14:44:28,0.116
06/18/2022,14:44:29,0.100
06/18/2022,14:44:30,0.104
06/18/2022,14:44:31,0.116
06/18/2022,14:44:32,0.115
06/18/2022,14:44:33,0.110
06/18/2022,14:44:34,0.114
06/18/2022,14:44:35,0.109
06/18/2022,14:44:36,0.115
06/18/2022,14:44:37,0.104
06/18/2022,14:44:38,0.098
06/18/2022,14:44:39,0.111
06/18/2022,14:44:40,0.126
06/18/2022,14:44:41,0.114
06/18/2022,14:44:42,0.115
06/18/2022,14:44:43,0.109
06/18/2022,14:44:44,0.117
06/18/2022,14:44:45,0.113
06/18/2022,14:44:46,0.103
06/18/2022,14:44:47,0.115
06/18/2022,14:44:48,0.111
06/18/2022,14:44:49,0.118
06/18/2022,14:44:50,0.120
06/18/2022,14:44:51,0.104
06/18/2022,14:44:52,0.120
06/18/2022,14:44:53,0.102
06/18/2022,14:44:54,0.120
06/18/2022,14:44:55,0.118
06/18/2022,14:44:56,0.101
06/18/2022,14:44:57,0.106
06/18/2022,14:44:58,0.109
06/18/2022,14:44:59,0.115
06/18/2022,14:45:00,0.108
06/18/2022,14:45:01,0.107
06/18/2022,14:45:02,0.115
06/18/2022,14:45:03,0.122
06/18/2022,14:45:04,0.112
06/18/2022,14:45:05,0.105
06/18/2022,14:45:06,0.093
06/18/2022,14:45:07,0.098
06/18/2022,14:45:08,0.101
06/18/2022,14:45:09,0.099
06/18/2022,14:45:10,0.101
06/18/2022,14:45:11,0.095
06/18/2022,14:45:12,0.097
06/18/2022,14:45:13,0.104
06/18/2022,14:45:14,0.099
06/18/2022,14:45:15,0.098
06/18/2022,14:45:16,0.104
06/18/2022,14:45:17,0.099
06/18/2022,14:45:18,0.109
06/18/2022,14:45:19,0.119
06/18/2022,14:45:20,0.111
06/18/2022,14:45:21,0.099
06/18/2022,14:45:22,0.093
06/18/2022,14:45:23,0.108
06/18/2022,14:45:24,0.107
06/18/2022,14:45:25,0.121
06/18/2022,14:45:26,0.107
06/18/2022,14:45:27,0.111
06/18/2022,14:45:28,0.098
06/18/2022,14:45:29,0.112
06/18/2022,14:45:30,0.114
06/18/2022,14:45:31,0.109
06/18/2022,14:45:32,0.099
06/18/2022,14:45:33,0.103
06/18/2022,14:45:34,0.112
06/18/2022,14:45:35,0.102
06/18/2022,14:45:36,0.098
06/18/2022,14:45:37,0.098
06/18/2022,14:45:38,0.112
06/18/2022,14:45:39,0.112
06/18/2022,14:45:40,0.106
06/18/2022,14:45:41,0.106
06/18/2022,14:45:42,0.111
06/18/2022,14:45:43,0.107
06/18/2022,14:45:44,0.112
06/18/2022,14:45:45,0.119
06/18/2022,14:45:46,0.119
06/18/2022,14:45:47,0.114
06/18/2022,14:45:48,0.102
06/18/2022,14:45:49,0.116
06/18/2022,14:45:50,0.100
06/18/2022,14:45:51,0.101
06/18/2022,14:45:52,0.100
06/18/2022,14:45:53,0.109
06/18/2022,14:45:54,0.112
06/18/2022,14:45:55,0.097
06/18/2022,14:45:56,0.104
06/18/2022,14:45:57,0.097
06/18/2022,14:45:58,0.111
06/18/2022,14:45:59,0.097
06/18/2022,14:46:00,0.093
06/18/2022,14:46:01,0.106
06/18/2022,14:46:02,0.110
06/18/2022,14:46:03,0.107
06/18/2022,14:46:04,0.107
06/18/2022,14:46:05,0.107
06/18/2022,14:46:06,0.115
06/18/2022,14:46:07,0.096
06/18/2022,14:46:08,0.107
06/18/2022,14:46:09,0.104
06/18/2022,14:46:10,0.103
06/18/2022,14:46:11,0.095
06/18/2022,14:46:12,0.104
06/18/2022,14:46:13,0.095
06/18/2022,14:46:14,0.107
06/18/2022,14:46:15,0.096
06/18/2022,14:46:16,0.107
06/18/2022,14:46:17,0.101
06/18/2022,14:46:18,0.099
06/18/2022,14:46:19,0.103
06/18/2022,14:46:20,0.103
06/18/2022,14:46:21,0.108
06/18/2022,14:46:22,0.106
06/18/2022,14:46:23,0.107
06/18/2022,14:46:24,0.104
06/18/2022,14:46:25,0.095
06/18/2022,14:46:26,0.096
06/18/2022,14:46:27,0.104
06/18/2022,14:46:28,0.106
06/18/2022,14:46:29,0.095
06/18/2022,14:46:30,0.096
06/18/2022,14:46:31,0.108
06/18/2022,14:46:32,0.106
06/18/2022,14:46:33,0.108
06/18/2022,14:46:34,0.108
06/18/2022,14:46:35,0.098
06/18/2022,14:46:36,0.112
06/18/2022,14:46:37,0.094
06/18/2022,14:46:38,0.114
06/18/2022,14:46:39,0.095
06/18/2022,14:46:40,0.094
06/18/2022,14:46:41,0.102
06/18/2022,14:46:42,0.100
06/18/2022,14:46:43,0.108
06/18/2022,14:46:44,0.101
06/18/2022,14:46:45,0.097
06/18/2022,14:46:46,0.095
06/18/2022,14:46:47,0.101
06/18/2022,14:46:48,0.102
06/18/2022,14:46:49,0.093
06/18/2022,14:46:50,0.097
06/18/2022,14:46:51,0.099
06/18/2022,14:46:52,0.111
06/18/2022,14:46:53,0.100
06/18/2022,14:46:54,0.100
06/18/2022,14:46:55,0.102
06/18/2022,14:46:56,0.107
06/18/2022,14:46:57,0.097
06/18/2022,14:46:58,0.100
06/18/2022,14:46:59,0.112
06/18/2022,14:47:00,0.103
06/18/2022,14:47:01,0.100
06/18/2022,14:47:02,0.103
06/18/2022,14:47:03,0.112
06/18/2022,14:47:04,0.098
06/18/2022,14:47:05,0.107
06/18/2022,14:47:06,0.096
06/18/2022,14:47:07,0.103
06/18/2022,14:47:08,0.110
06/18/2022,14:47:09,0.100
06/18/2022,14:47:10,0.127
06/18/2022,14:47:11,0.097
06/18/2022,14:47:12,0.097
06/18/2022,14:47:13,0.101
06/18/2022,14:47:14,0.098
06/18/2022,14:47:15,0.114
