TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 8
Start Date:,06/18/2022
Start Time:,07:28:55
Duration (dd:hh:mm:ss):,00:00:18:02
Log Interval (mm:ss):,00:01
Number of points:,1082
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.077
,Minimum:,0.063
,Time of Minimum:,07:42:34
,Date of Minimum:,06/18/2022
,Maximum:,0.123
,Time of Maximum:,07:29:59
,Date of Maximum:,06/18/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/18/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/18/2022,19:28:56,0.086
06/18/2022,19:28:57,0.084
06/18/2022,19:28:58,0.084
06/18/2022,19:28:59,0.086
06/18/2022,19:29:00,0.071
06/18/2022,19:29:01,0.085
06/18/2022,19:29:02,0.079
06/18/2022,19:29:03,0.082
06/18/2022,19:29:04,0.092
06/18/2022,19:29:05,0.097
06/18/2022,19:29:06,0.080
06/18/2022,19:29:07,0.076
06/18/2022,19:29:08,0.082
06/18/2022,19:29:09,0.089
06/18/2022,19:29:10,0.081
06/18/2022,19:29:11,0.079
06/18/2022,19:29:12,0.077
06/18/2022,19:29:13,0.080
06/18/2022,19:29:14,0.077
06/18/2022,19:29:15,0.087
06/18/2022,19:29:16,0.077
06/18/2022,19:29:17,0.086
06/18/2022,19:29:18,0.088
06/18/2022,19:29:19,0.088
06/18/2022,19:29:20,0.090
06/18/2022,19:29:21,0.077
06/18/2022,19:29:22,0.082
06/18/2022,19:29:23,0.074
06/18/2022,19:29:24,0.080
06/18/2022,19:29:25,0.075
06/18/2022,19:29:26,0.078
06/18/2022,19:29:27,0.088
06/18/2022,19:29:28,0.078
06/18/2022,19:29:29,0.083
06/18/2022,19:29:30,0.077
06/18/2022,19:29:31,0.079
06/18/2022,19:29:32,0.091
06/18/2022,19:29:33,0.082
06/18/2022,19:29:34,0.075
06/18/2022,19:29:35,0.074
06/18/2022,19:29:36,0.074
06/18/2022,19:29:37,0.081
06/18/2022,19:29:38,0.073
06/18/2022,19:29:39,0.087
06/18/2022,19:29:40,0.080
06/18/2022,19:29:41,0.081
06/18/2022,19:29:42,0.075
06/18/2022,19:29:43,0.075
06/18/2022,19:29:44,0.079
06/18/2022,19:29:45,0.085
06/18/2022,19:29:46,0.074
06/18/2022,19:29:47,0.092
06/18/2022,19:29:48,0.079
06/18/2022,19:29:49,0.074
06/18/2022,19:29:50,0.075
06/18/2022,19:29:51,0.069
06/18/2022,19:29:52,0.078
06/18/2022,19:29:53,0.076
06/18/2022,19:29:54,0.075
06/18/2022,19:29:55,0.083
06/18/2022,19:29:56,0.074
06/18/2022,19:29:57,0.082
06/18/2022,19:29:58,0.073
06/18/2022,19:29:59,0.123
06/18/2022,19:30:00,0.075
06/18/2022,19:30:01,0.074
06/18/2022,19:30:02,0.081
06/18/2022,19:30:03,0.088
06/18/2022,19:30:04,0.077
06/18/2022,19:30:05,0.075
06/18/2022,19:30:06,0.074
06/18/2022,19:30:07,0.078
06/18/2022,19:30:08,0.072
06/18/2022,19:30:09,0.072
06/18/2022,19:30:10,0.085
06/18/2022,19:30:11,0.084
06/18/2022,19:30:12,0.073
06/18/2022,19:30:13,0.080
06/18/2022,19:30:14,0.073
06/18/2022,19:30:15,0.073
06/18/2022,19:30:16,0.094
06/18/2022,19:30:17,0.069
06/18/2022,19:30:18,0.075
06/18/2022,19:30:19,0.075
06/18/2022,19:30:20,0.093
06/18/2022,19:30:21,0.084
06/18/2022,19:30:22,0.076
06/18/2022,19:30:23,0.086
06/18/2022,19:30:24,0.081
06/18/2022,19:30:25,0.080
06/18/2022,19:30:26,0.077
06/18/2022,19:30:27,0.072
06/18/2022,19:30:28,0.074
06/18/2022,19:30:29,0.080
06/18/2022,19:30:30,0.075
06/18/2022,19:30:31,0.072
06/18/2022,19:30:32,0.086
06/18/2022,19:30:33,0.072
06/18/2022,19:30:34,0.078
06/18/2022,19:30:35,0.072
06/18/2022,19:30:36,0.072
06/18/2022,19:30:37,0.081
06/18/2022,19:30:38,0.072
06/18/2022,19:30:39,0.079
06/18/2022,19:30:40,0.083
06/18/2022,19:30:41,0.075
06/18/2022,19:30:42,0.080
06/18/2022,19:30:43,0.072
06/18/2022,19:30:44,0.083
06/18/2022,19:30:45,0.066
06/18/2022,19:30:46,0.085
06/18/2022,19:30:47,0.086
06/18/2022,19:30:48,0.076
06/18/2022,19:30:49,0.076
06/18/2022,19:30:50,0.077
06/18/2022,19:30:51,0.073
06/18/2022,19:30:52,0.079
06/18/2022,19:30:53,0.089
06/18/2022,19:30:54,0.077
06/18/2022,19:30:55,0.075
06/18/2022,19:30:56,0.076
06/18/2022,19:30:57,0.073
06/18/2022,19:30:58,0.080
06/18/2022,19:30:59,0.086
06/18/2022,19:31:00,0.075
06/18/2022,19:31:01,0.080
06/18/2022,19:31:02,0.076
06/18/2022,19:31:03,0.076
06/18/2022,19:31:04,0.081
06/18/2022,19:31:05,0.090
06/18/2022,19:31:06,0.085
06/18/2022,19:31:07,0.078
06/18/2022,19:31:08,0.079
06/18/2022,19:31:09,0.078
06/18/2022,19:31:10,0.081
06/18/2022,19:31:11,0.080
06/18/2022,19:31:12,0.078
06/18/2022,19:31:13,0.074
06/18/2022,19:31:14,0.082
06/18/2022,19:31:15,0.080
06/18/2022,19:31:16,0.077
06/18/2022,19:31:17,0.076
06/18/2022,19:31:18,0.073
06/18/2022,19:31:19,0.076
06/18/2022,19:31:20,0.076
06/18/2022,19:31:21,0.080
06/18/2022,19:31:22,0.082
06/18/2022,19:31:23,0.075
06/18/2022,19:31:24,0.083
06/18/2022,19:31:25,0.075
06/18/2022,19:31:26,0.067
06/18/2022,19:31:27,0.081
06/18/2022,19:31:28,0.069
06/18/2022,19:31:29,0.093
06/18/2022,19:31:30,0.067
06/18/2022,19:31:31,0.083
06/18/2022,19:31:32,0.074
06/18/2022,19:31:33,0.065
06/18/2022,19:31:34,0.072
06/18/2022,19:31:35,0.072
06/18/2022,19:31:36,0.070
06/18/2022,19:31:37,0.069
06/18/2022,19:31:38,0.070
06/18/2022,19:31:39,0.072
06/18/2022,19:31:40,0.071
06/18/2022,19:31:41,0.075
06/18/2022,19:31:42,0.071
06/18/2022,19:31:43,0.087
06/18/2022,19:31:44,0.065
06/18/2022,19:31:45,0.072
06/18/2022,19:31:46,0.072
06/18/2022,19:31:47,0.084
06/18/2022,19:31:48,0.069
06/18/2022,19:31:49,0.075
06/18/2022,19:31:50,0.073
06/18/2022,19:31:51,0.078
06/18/2022,19:31:52,0.080
06/18/2022,19:31:53,0.075
06/18/2022,19:31:54,0.072
06/18/2022,19:31:55,0.074
06/18/2022,19:31:56,0.071
06/18/2022,19:31:57,0.087
06/18/2022,19:31:58,0.078
06/18/2022,19:31:59,0.084
06/18/2022,19:32:00,0.073
06/18/2022,19:32:01,0.086
06/18/2022,19:32:02,0.077
06/18/2022,19:32:03,0.080
06/18/2022,19:32:04,0.074
06/18/2022,19:32:05,0.076
06/18/2022,19:32:06,0.076
06/18/2022,19:32:07,0.079
06/18/2022,19:32:08,0.076
06/18/2022,19:32:09,0.073
06/18/2022,19:32:10,0.073
06/18/2022,19:32:11,0.081
06/18/2022,19:32:12,0.073
06/18/2022,19:32:13,0.080
06/18/2022,19:32:14,0.075
06/18/2022,19:32:15,0.071
06/18/2022,19:32:16,0.072
06/18/2022,19:32:17,0.082
06/18/2022,19:32:18,0.085
06/18/2022,19:32:19,0.080
06/18/2022,19:32:20,0.086
06/18/2022,19:32:21,0.078
06/18/2022,19:32:22,0.073
