TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 1
Start Date:,06/15/2022
Start Time:,07:36:08
Duration (dd:hh:mm:ss):,00:00:21:28
Log Interval (mm:ss):,00:01
Number of points:,1288
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.029
,Minimum:,0.011
,Time of Minimum:,07:56:31
,Date of Minimum:,06/15/2022
,Maximum:,0.063
,Time of Maximum:,07:36:38
,Date of Maximum:,06/15/2022

,TWA:,0.001

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/15/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/15/2022,07:36:09,0.061
06/15/2022,07:36:10,0.058
06/15/2022,07:36:11,0.047
06/15/2022,07:36:12,0.052
06/15/2022,07:36:13,0.046
06/15/2022,07:36:14,0.038
06/15/2022,07:36:15,0.060
06/15/2022,07:36:16,0.054
06/15/2022,07:36:17,0.051
06/15/2022,07:36:18,0.047
06/15/2022,07:36:19,0.050
06/15/2022,07:36:20,0.058
06/15/2022,07:36:21,0.048
06/15/2022,07:36:22,0.054
06/15/2022,07:36:23,0.049
06/15/2022,07:36:24,0.051
06/15/2022,07:36:25,0.046
06/15/2022,07:36:26,0.053
06/15/2022,07:36:27,0.046
06/15/2022,07:36:28,0.059
06/15/2022,07:36:29,0.046
06/15/2022,07:36:30,0.052
06/15/2022,07:36:31,0.047
06/15/2022,07:36:32,0.055
06/15/2022,07:36:33,0.045
06/15/2022,07:36:34,0.050
06/15/2022,07:36:35,0.048
06/15/2022,07:36:36,0.047
06/15/2022,07:36:37,0.050
06/15/2022,07:36:38,0.063
06/15/2022,07:36:39,0.051
06/15/2022,07:36:40,0.060
06/15/2022,07:36:41,0.056
06/15/2022,07:36:42,0.048
06/15/2022,07:36:43,0.044
06/15/2022,07:36:44,0.058
06/15/2022,07:36:45,0.056
06/15/2022,07:36:46,0.051
06/15/2022,07:36:47,0.046
06/15/2022,07:36:48,0.060
06/15/2022,07:36:49,0.045
06/15/2022,07:36:50,0.048
06/15/2022,07:36:51,0.056
06/15/2022,07:36:52,0.045
06/15/2022,07:36:53,0.048
06/15/2022,07:36:54,0.046
06/15/2022,07:36:55,0.059
06/15/2022,07:36:56,0.059
06/15/2022,07:36:57,0.049
06/15/2022,07:36:58,0.053
06/15/2022,07:36:59,0.048
06/15/2022,07:37:00,0.054
06/15/2022,07:37:01,0.044
06/15/2022,07:37:02,0.050
06/15/2022,07:37:03,0.050
06/15/2022,07:37:04,0.043
06/15/2022,07:37:05,0.047
06/15/2022,07:37:06,0.048
06/15/2022,07:37:07,0.049
06/15/2022,07:37:08,0.055
06/15/2022,07:37:09,0.056
06/15/2022,07:37:10,0.048
06/15/2022,07:37:11,0.049
06/15/2022,07:37:12,0.047
06/15/2022,07:37:13,0.050
06/15/2022,07:37:14,0.048
06/15/2022,07:37:15,0.043
06/15/2022,07:37:16,0.050
06/15/2022,07:37:17,0.053
06/15/2022,07:37:18,0.048
06/15/2022,07:37:19,0.052
06/15/2022,07:37:20,0.042
06/15/2022,07:37:21,0.044
06/15/2022,07:37:22,0.053
06/15/2022,07:37:23,0.051
06/15/2022,07:37:24,0.045
06/15/2022,07:37:25,0.044
06/15/2022,07:37:26,0.055
06/15/2022,07:37:27,0.043
06/15/2022,07:37:28,0.052
06/15/2022,07:37:29,0.047
06/15/2022,07:37:30,0.043
06/15/2022,07:37:31,0.043
06/15/2022,07:37:32,0.047
06/15/2022,07:37:33,0.044
06/15/2022,07:37:34,0.049
06/15/2022,07:37:35,0.045
06/15/2022,07:37:36,0.047
06/15/2022,07:37:37,0.045
06/15/2022,07:37:38,0.043
06/15/2022,07:37:39,0.050
06/15/2022,07:37:40,0.050
06/15/2022,07:37:41,0.049
06/15/2022,07:37:42,0.044
06/15/2022,07:37:43,0.040
06/15/2022,07:37:44,0.047
06/15/2022,07:37:45,0.057
06/15/2022,07:37:46,0.053
06/15/2022,07:37:47,0.039
06/15/2022,07:37:48,0.053
06/15/2022,07:37:49,0.047
06/15/2022,07:37:50,0.054
06/15/2022,07:37:51,0.040
06/15/2022,07:37:52,0.049
06/15/2022,07:37:53,0.050
06/15/2022,07:37:54,0.043
06/15/2022,07:37:55,0.042
06/15/2022,07:37:56,0.047
06/15/2022,07:37:57,0.042
06/15/2022,07:37:58,0.054
06/15/2022,07:37:59,0.039
06/15/2022,07:38:00,0.042
06/15/2022,07:38:01,0.042
06/15/2022,07:38:02,0.049
06/15/2022,07:38:03,0.042
06/15/2022,07:38:04,0.043
06/15/2022,07:38:05,0.045
06/15/2022,07:38:06,0.043
06/15/2022,07:38:07,0.044
06/15/2022,07:38:08,0.046
06/15/2022,07:38:09,0.050
06/15/2022,07:38:10,0.050
06/15/2022,07:38:11,0.045
06/15/2022,07:38:12,0.040
06/15/2022,07:38:13,0.042
06/15/2022,07:38:14,0.042
06/15/2022,07:38:15,0.039
06/15/2022,07:38:16,0.044
06/15/2022,07:38:17,0.042
06/15/2022,07:38:18,0.047
06/15/2022,07:38:19,0.050
06/15/2022,07:38:20,0.045
06/15/2022,07:38:21,0.047
06/15/2022,07:38:22,0.045
06/15/2022,07:38:23,0.051
06/15/2022,07:38:24,0.048
06/15/2022,07:38:25,0.040
06/15/2022,07:38:26,0.049
06/15/2022,07:38:27,0.048
06/15/2022,07:38:28,0.039
06/15/2022,07:38:29,0.045
06/15/2022,07:38:30,0.046
06/15/2022,07:38:31,0.049
06/15/2022,07:38:32,0.049
06/15/2022,07:38:33,0.053
06/15/2022,07:38:34,0.053
06/15/2022,07:38:35,0.048
06/15/2022,07:38:36,0.046
06/15/2022,07:38:37,0.037
06/15/2022,07:38:38,0.049
06/15/2022,07:38:39,0.043
06/15/2022,07:38:40,0.046
06/15/2022,07:38:41,0.039
06/15/2022,07:38:42,0.047
06/15/2022,07:38:43,0.044
06/15/2022,07:38:44,0.043
06/15/2022,07:38:45,0.045
06/15/2022,07:38:46,0.050
06/15/2022,07:38:47,0.048
06/15/2022,07:38:48,0.045
06/15/2022,07:38:49,0.043
06/15/2022,07:38:50,0.037
06/15/2022,07:38:51,0.041
06/15/2022,07:38:52,0.054
06/15/2022,07:38:53,0.054
06/15/2022,07:38:54,0.043
06/15/2022,07:38:55,0.038
06/15/2022,07:38:56,0.046
06/15/2022,07:38:57,0.047
06/15/2022,07:38:58,0.048
06/15/2022,07:38:59,0.046
06/15/2022,07:39:00,0.043
06/15/2022,07:39:01,0.041
06/15/2022,07:39:02,0.043
06/15/2022,07:39:03,0.047
06/15/2022,07:39:04,0.040
06/15/2022,07:39:05,0.044
06/15/2022,07:39:06,0.042
06/15/2022,07:39:07,0.046
06/15/2022,07:39:08,0.039
06/15/2022,07:39:09,0.045
06/15/2022,07:39:10,0.041
06/15/2022,07:39:11,0.043
06/15/2022,07:39:12,0.055
06/15/2022,07:39:13,0.045
06/15/2022,07:39:14,0.038
06/15/2022,07:39:15,0.041
06/15/2022,07:39:16,0.043
06/15/2022,07:39:17,0.042
06/15/2022,07:39:18,0.037
06/15/2022,07:39:19,0.044
06/15/2022,07:39:20,0.053
06/15/2022,07:39:21,0.045
06/15/2022,07:39:22,0.042
06/15/2022,07:39:23,0.037
06/15/2022,07:39:24,0.051
06/15/2022,07:39:25,0.050
06/15/2022,07:39:26,0.045
06/15/2022,07:39:27,0.044
06/15/2022,07:39:28,0.049
06/15/2022,07:39:29,0.045
06/15/2022,07:39:30,0.052
06/15/2022,07:39:31,0.045
