TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 12
Start Date:,06/15/2022
Start Time:,07:25:24
Duration (dd:hh:mm:ss):,00:00:26:18
Log Interval (mm:ss):,00:01
Number of points:,1578
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.054
,Minimum:,0.041
,Time of Minimum:,07:43:30
,Date of Minimum:,06/15/2022
,Maximum:,0.145
,Time of Maximum:,07:44:27
,Date of Maximum:,06/15/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/15/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/15/2022,19:25:25,0.057
06/15/2022,19:25:26,0.051
06/15/2022,19:25:27,0.058
06/15/2022,19:25:28,0.053
06/15/2022,19:25:29,0.057
06/15/2022,19:25:30,0.060
06/15/2022,19:25:31,0.053
06/15/2022,19:25:32,0.047
06/15/2022,19:25:33,0.054
06/15/2022,19:25:34,0.056
06/15/2022,19:25:35,0.054
06/15/2022,19:25:36,0.057
06/15/2022,19:25:37,0.051
06/15/2022,19:25:38,0.072
06/15/2022,19:25:39,0.058
06/15/2022,19:25:40,0.052
06/15/2022,19:25:41,0.061
06/15/2022,19:25:42,0.047
06/15/2022,19:25:43,0.057
06/15/2022,19:25:44,0.056
06/15/2022,19:25:45,0.053
06/15/2022,19:25:46,0.044
06/15/2022,19:25:47,0.055
06/15/2022,19:25:48,0.056
06/15/2022,19:25:49,0.068
06/15/2022,19:25:50,0.059
06/15/2022,19:25:51,0.051
06/15/2022,19:25:52,0.056
06/15/2022,19:25:53,0.054
06/15/2022,19:25:54,0.053
06/15/2022,19:25:55,0.051
06/15/2022,19:25:56,0.053
06/15/2022,19:25:57,0.053
06/15/2022,19:25:58,0.051
06/15/2022,19:25:59,0.054
06/15/2022,19:26:00,0.065
06/15/2022,19:26:01,0.056
06/15/2022,19:26:02,0.057
06/15/2022,19:26:03,0.051
06/15/2022,19:26:04,0.056
06/15/2022,19:26:05,0.051
06/15/2022,19:26:06,0.048
06/15/2022,19:26:07,0.062
06/15/2022,19:26:08,0.052
06/15/2022,19:26:09,0.062
06/15/2022,19:26:10,0.068
06/15/2022,19:26:11,0.052
06/15/2022,19:26:12,0.054
06/15/2022,19:26:13,0.061
06/15/2022,19:26:14,0.054
06/15/2022,19:26:15,0.057
06/15/2022,19:26:16,0.069
06/15/2022,19:26:17,0.053
06/15/2022,19:26:18,0.059
06/15/2022,19:26:19,0.053
06/15/2022,19:26:20,0.053
06/15/2022,19:26:21,0.058
06/15/2022,19:26:22,0.055
06/15/2022,19:26:23,0.051
06/15/2022,19:26:24,0.054
06/15/2022,19:26:25,0.048
06/15/2022,19:26:26,0.049
06/15/2022,19:26:27,0.048
06/15/2022,19:26:28,0.061
06/15/2022,19:26:29,0.053
06/15/2022,19:26:30,0.051
06/15/2022,19:26:31,0.051
06/15/2022,19:26:32,0.053
06/15/2022,19:26:33,0.057
06/15/2022,19:26:34,0.064
06/15/2022,19:26:35,0.057
06/15/2022,19:26:36,0.055
06/15/2022,19:26:37,0.057
06/15/2022,19:26:38,0.068
06/15/2022,19:26:39,0.049
06/15/2022,19:26:40,0.049
06/15/2022,19:26:41,0.052
06/15/2022,19:26:42,0.057
06/15/2022,19:26:43,0.049
06/15/2022,19:26:44,0.049
06/15/2022,19:26:45,0.063
06/15/2022,19:26:46,0.058
06/15/2022,19:26:47,0.056
06/15/2022,19:26:48,0.050
06/15/2022,19:26:49,0.063
06/15/2022,19:26:50,0.053
06/15/2022,19:26:51,0.059
06/15/2022,19:26:52,0.047
06/15/2022,19:26:53,0.047
06/15/2022,19:26:54,0.052
06/15/2022,19:26:55,0.065
06/15/2022,19:26:56,0.049
06/15/2022,19:26:57,0.055
06/15/2022,19:26:58,0.064
06/15/2022,19:26:59,0.055
06/15/2022,19:27:00,0.045
06/15/2022,19:27:01,0.043
06/15/2022,19:27:02,0.055
06/15/2022,19:27:03,0.060
06/15/2022,19:27:04,0.052
06/15/2022,19:27:05,0.050
06/15/2022,19:27:06,0.048
06/15/2022,19:27:07,0.055
06/15/2022,19:27:08,0.048
06/15/2022,19:27:09,0.051
06/15/2022,19:27:10,0.053
06/15/2022,19:27:11,0.054
06/15/2022,19:27:12,0.047
06/15/2022,19:27:13,0.054
06/15/2022,19:27:14,0.054
06/15/2022,19:27:15,0.061
06/15/2022,19:27:16,0.045
06/15/2022,19:27:17,0.053
06/15/2022,19:27:18,0.055
06/15/2022,19:27:19,0.053
06/15/2022,19:27:20,0.058
06/15/2022,19:27:21,0.063
06/15/2022,19:27:22,0.052
06/15/2022,19:27:23,0.050
06/15/2022,19:27:24,0.056
06/15/2022,19:27:25,0.054
06/15/2022,19:27:26,0.047
06/15/2022,19:27:27,0.050
06/15/2022,19:27:28,0.050
06/15/2022,19:27:29,0.054
06/15/2022,19:27:30,0.058
06/15/2022,19:27:31,0.051
06/15/2022,19:27:32,0.050
06/15/2022,19:27:33,0.051
06/15/2022,19:27:34,0.054
06/15/2022,19:27:35,0.059
06/15/2022,19:27:36,0.042
06/15/2022,19:27:37,0.057
06/15/2022,19:27:38,0.055
06/15/2022,19:27:39,0.055
06/15/2022,19:27:40,0.055
06/15/2022,19:27:41,0.055
06/15/2022,19:27:42,0.056
06/15/2022,19:27:43,0.067
06/15/2022,19:27:44,0.045
06/15/2022,19:27:45,0.056
06/15/2022,19:27:46,0.054
06/15/2022,19:27:47,0.062
06/15/2022,19:27:48,0.060
06/15/2022,19:27:49,0.052
06/15/2022,19:27:50,0.046
06/15/2022,19:27:51,0.059
06/15/2022,19:27:52,0.050
06/15/2022,19:27:53,0.051
06/15/2022,19:27:54,0.050
06/15/2022,19:27:55,0.062
06/15/2022,19:27:56,0.051
06/15/2022,19:27:57,0.047
06/15/2022,19:27:58,0.050
06/15/2022,19:27:59,0.060
06/15/2022,19:28:00,0.069
06/15/2022,19:28:01,0.067
06/15/2022,19:28:02,0.059
06/15/2022,19:28:03,0.055
06/15/2022,19:28:04,0.057
06/15/2022,19:28:05,0.056
06/15/2022,19:28:06,0.055
