TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 5
Start Date:,06/15/2022
Start Time:,11:47:21
Duration (dd:hh:mm:ss):,00:00:10:37
Log Interval (mm:ss):,00:01
Number of points:,637
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.049
,Minimum:,0.030
,Time of Minimum:,11:57:14
,Date of Minimum:,06/15/2022
,Maximum:,0.408
,Time of Maximum:,11:52:40
,Date of Maximum:,06/15/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/15/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/15/2022,11:47:22,0.049
06/15/2022,11:47:23,0.054
06/15/2022,11:47:24,0.059
06/15/2022,11:47:25,0.062
06/15/2022,11:47:26,0.059
06/15/2022,11:47:27,0.054
06/15/2022,11:47:28,0.057
06/15/2022,11:47:29,0.062
06/15/2022,11:47:30,0.065
06/15/2022,11:47:31,0.056
06/15/2022,11:47:32,0.073
06/15/2022,11:47:33,0.066
06/15/2022,11:47:34,0.063
06/15/2022,11:47:35,0.056
06/15/2022,11:47:36,0.060
06/15/2022,11:47:37,0.057
06/15/2022,11:47:38,0.057
06/15/2022,11:47:39,0.065
06/15/2022,11:47:40,0.059
06/15/2022,11:47:41,0.055
06/15/2022,11:47:42,0.064
06/15/2022,11:47:43,0.056
06/15/2022,11:47:44,0.066
06/15/2022,11:47:45,0.055
06/15/2022,11:47:46,0.056
06/15/2022,11:47:47,0.060
06/15/2022,11:47:48,0.057
06/15/2022,11:47:49,0.061
06/15/2022,11:47:50,0.059
06/15/2022,11:47:51,0.061
06/15/2022,11:47:52,0.072
06/15/2022,11:47:53,0.059
06/15/2022,11:47:54,0.061
06/15/2022,11:47:55,0.057
06/15/2022,11:47:56,0.058
06/15/2022,11:47:57,0.062
06/15/2022,11:47:58,0.051
06/15/2022,11:47:59,0.066
06/15/2022,11:48:00,0.053
06/15/2022,11:48:01,0.057
06/15/2022,11:48:02,0.054
