TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 6
Start Date:,06/15/2022
Start Time:,11:58:22
Duration (dd:hh:mm:ss):,00:00:20:10
Log Interval (mm:ss):,00:01
Number of points:,1210
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.054
,Minimum:,0.042
,Time of Minimum:,12:13:09
,Date of Minimum:,06/15/2022
,Maximum:,0.098
,Time of Maximum:,12:05:28
,Date of Maximum:,06/15/2022

,TWA:,0.002

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/15/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/15/2022,11:58:23,0.067
06/15/2022,11:58:24,0.063
06/15/2022,11:58:25,0.048
06/15/2022,11:58:26,0.051
06/15/2022,11:58:27,0.058
06/15/2022,11:58:28,0.060
06/15/2022,11:58:29,0.062
06/15/2022,11:58:30,0.056
06/15/2022,11:58:31,0.066
06/15/2022,11:58:32,0.072
06/15/2022,11:58:33,0.058
06/15/2022,11:58:34,0.053
06/15/2022,11:58:35,0.058
06/15/2022,11:58:36,0.062
06/15/2022,11:58:37,0.063
06/15/2022,11:58:38,0.065
06/15/2022,11:58:39,0.057
06/15/2022,11:58:40,0.055
06/15/2022,11:58:41,0.058
06/15/2022,11:58:42,0.067
06/15/2022,11:58:43,0.052
06/15/2022,11:58:44,0.056
06/15/2022,11:58:45,0.051
06/15/2022,11:58:46,0.057
06/15/2022,11:58:47,0.064
06/15/2022,11:58:48,0.062
06/15/2022,11:58:49,0.052
06/15/2022,11:58:50,0.058
06/15/2022,11:58:51,0.078
06/15/2022,11:58:52,0.054
06/15/2022,11:58:53,0.062
06/15/2022,11:58:54,0.061
06/15/2022,11:58:55,0.054
06/15/2022,11:58:56,0.067
06/15/2022,11:58:57,0.053
06/15/2022,11:58:58,0.056
06/15/2022,11:58:59,0.057
06/15/2022,11:59:00,0.058
06/15/2022,11:59:01,0.055
06/15/2022,11:59:02,0.063
06/15/2022,11:59:03,0.061
06/15/2022,11:59:04,0.068
06/15/2022,11:59:05,0.061
06/15/2022,11:59:06,0.058
06/15/2022,11:59:07,0.061
06/15/2022,11:59:08,0.069
06/15/2022,11:59:09,0.065
06/15/2022,11:59:10,0.052
06/15/2022,11:59:11,0.058
06/15/2022,11:59:12,0.061
06/15/2022,11:59:13,0.057
06/15/2022,11:59:14,0.055
06/15/2022,11:59:15,0.061
06/15/2022,11:59:16,0.067
06/15/2022,11:59:17,0.057
06/15/2022,11:59:18,0.067
06/15/2022,11:59:19,0.055
06/15/2022,11:59:20,0.058
06/15/2022,11:59:21,0.056
06/15/2022,11:59:22,0.080
06/15/2022,11:59:23,0.057
06/15/2022,11:59:24,0.059
06/15/2022,11:59:25,0.059
06/15/2022,11:59:26,0.055
06/15/2022,11:59:27,0.063
06/15/2022,11:59:28,0.052
06/15/2022,11:59:29,0.058
06/15/2022,11:59:30,0.053
06/15/2022,11:59:31,0.063
06/15/2022,11:59:32,0.055
06/15/2022,11:59:33,0.061
06/15/2022,11:59:34,0.063
06/15/2022,11:59:35,0.060
06/15/2022,11:59:36,0.060
06/15/2022,11:59:37,0.063
06/15/2022,11:59:38,0.060
06/15/2022,11:59:39,0.066
06/15/2022,11:59:40,0.062
06/15/2022,11:59:41,0.059
06/15/2022,11:59:42,0.060
06/15/2022,11:59:43,0.065
06/15/2022,11:59:44,0.059
06/15/2022,11:59:45,0.055
06/15/2022,11:59:46,0.064
06/15/2022,11:59:47,0.059
06/15/2022,11:59:48,0.065
06/15/2022,11:59:49,0.055
06/15/2022,11:59:50,0.054
06/15/2022,11:59:51,0.063
06/15/2022,11:59:52,0.065
06/15/2022,11:59:53,0.059
06/15/2022,11:59:54,0.064
06/15/2022,11:59:55,0.055
06/15/2022,11:59:56,0.065
06/15/2022,11:59:57,0.065
06/15/2022,11:59:58,0.054
06/15/2022,11:59:59,0.059
06/15/2022,12:00:00,0.061
06/15/2022,12:00:01,0.057
06/15/2022,12:00:02,0.055
06/15/2022,12:00:03,0.053
06/15/2022,12:00:04,0.055
06/15/2022,12:00:05,0.059
06/15/2022,12:00:06,0.063
06/15/2022,12:00:07,0.059
06/15/2022,12:00:08,0.059
06/15/2022,12:00:09,0.060
06/15/2022,12:00:10,0.054
06/15/2022,12:00:11,0.062
06/15/2022,12:00:12,0.062
06/15/2022,12:00:13,0.061
06/15/2022,12:00:14,0.068
06/15/2022,12:00:15,0.062
06/15/2022,12:00:16,0.053
06/15/2022,12:00:17,0.062
06/15/2022,12:00:18,0.055
06/15/2022,12:00:19,0.082
06/15/2022,12:00:20,0.062
06/15/2022,12:00:21,0.055
06/15/2022,12:00:22,0.068
06/15/2022,12:00:23,0.060
06/15/2022,12:00:24,0.055
06/15/2022,12:00:25,0.053
06/15/2022,12:00:26,0.056
06/15/2022,12:00:27,0.064
06/15/2022,12:00:28,0.057
06/15/2022,12:00:29,0.053
06/15/2022,12:00:30,0.059
06/15/2022,12:00:31,0.067
06/15/2022,12:00:32,0.053
06/15/2022,12:00:33,0.054
06/15/2022,12:00:34,0.060
06/15/2022,12:00:35,0.062
06/15/2022,12:00:36,0.058
06/15/2022,12:00:37,0.050
06/15/2022,12:00:38,0.063
06/15/2022,12:00:39,0.074
06/15/2022,12:00:40,0.055
06/15/2022,12:00:41,0.060
06/15/2022,12:00:42,0.054
06/15/2022,12:00:43,0.055
06/15/2022,12:00:44,0.058
06/15/2022,12:00:45,0.056
06/15/2022,12:00:46,0.060
06/15/2022,12:00:47,0.063
06/15/2022,12:00:48,0.056
06/15/2022,12:00:49,0.050
06/15/2022,12:00:50,0.054
06/15/2022,12:00:51,0.060
06/15/2022,12:00:52,0.058
06/15/2022,12:00:53,0.053
06/15/2022,12:00:54,0.066
06/15/2022,12:00:55,0.056
06/15/2022,12:00:56,0.059
06/15/2022,12:00:57,0.060
06/15/2022,12:00:58,0.054
06/15/2022,12:00:59,0.052
06/15/2022,12:01:00,0.058
06/15/2022,12:01:01,0.056
06/15/2022,12:01:02,0.071
06/15/2022,12:01:03,0.045
06/15/2022,12:01:04,0.051
