TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 7
Start Date:,06/15/2022
Start Time:,12:21:30
Duration (dd:hh:mm:ss):,00:00:19:31
Log Interval (mm:ss):,00:01
Number of points:,1171
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.044
,Time of Minimum:,12:26:30
,Date of Minimum:,06/15/2022
,Maximum:,0.106
,Time of Maximum:,12:32:13
,Date of Maximum:,06/15/2022

,TWA:,0.002

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/15/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/15/2022,12:21:31,0.046
06/15/2022,12:21:32,0.052
06/15/2022,12:21:33,0.050
06/15/2022,12:21:34,0.049
06/15/2022,12:21:35,0.069
06/15/2022,12:21:36,0.045
06/15/2022,12:21:37,0.048
06/15/2022,12:21:38,0.053
06/15/2022,12:21:39,0.054
06/15/2022,12:21:40,0.060
06/15/2022,12:21:41,0.053
06/15/2022,12:21:42,0.056
06/15/2022,12:21:43,0.057
06/15/2022,12:21:44,0.062
06/15/2022,12:21:45,0.059
06/15/2022,12:21:46,0.050
06/15/2022,12:21:47,0.053
06/15/2022,12:21:48,0.051
06/15/2022,12:21:49,0.050
06/15/2022,12:21:50,0.055
06/15/2022,12:21:51,0.053
06/15/2022,12:21:52,0.057
06/15/2022,12:21:53,0.057
06/15/2022,12:21:54,0.058
06/15/2022,12:21:55,0.057
06/15/2022,12:21:56,0.060
06/15/2022,12:21:57,0.055
06/15/2022,12:21:58,0.052
06/15/2022,12:21:59,0.061
06/15/2022,12:22:00,0.055
06/15/2022,12:22:01,0.052
06/15/2022,12:22:02,0.056
06/15/2022,12:22:03,0.059
06/15/2022,12:22:04,0.058
06/15/2022,12:22:05,0.056
06/15/2022,12:22:06,0.054
06/15/2022,12:22:07,0.051
06/15/2022,12:22:08,0.049
06/15/2022,12:22:09,0.050
06/15/2022,12:22:10,0.056
06/15/2022,12:22:11,0.053
06/15/2022,12:22:12,0.064
06/15/2022,12:22:13,0.051
06/15/2022,12:22:14,0.059
06/15/2022,12:22:15,0.056
06/15/2022,12:22:16,0.058
06/15/2022,12:22:17,0.056
06/15/2022,12:22:18,0.053
06/15/2022,12:22:19,0.054
06/15/2022,12:22:20,0.057
06/15/2022,12:22:21,0.050
06/15/2022,12:22:22,0.056
06/15/2022,12:22:23,0.049
06/15/2022,12:22:24,0.056
06/15/2022,12:22:25,0.055
06/15/2022,12:22:26,0.049
06/15/2022,12:22:27,0.046
06/15/2022,12:22:28,0.056
06/15/2022,12:22:29,0.053
06/15/2022,12:22:30,0.054
06/15/2022,12:22:31,0.060
06/15/2022,12:22:32,0.054
06/15/2022,12:22:33,0.060
06/15/2022,12:22:34,0.057
06/15/2022,12:22:35,0.056
06/15/2022,12:22:36,0.052
06/15/2022,12:22:37,0.058
06/15/2022,12:22:38,0.055
06/15/2022,12:22:39,0.055
