TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 9
Start Date:,06/15/2022
Start Time:,05:35:31
Duration (dd:hh:mm:ss):,00:00:21:28
Log Interval (mm:ss):,00:01
Number of points:,1288
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.647
,Minimum:,0.042
,Time of Minimum:,05:56:25
,Date of Minimum:,06/15/2022
,Maximum:,1.940
,Time of Maximum:,05:36:24
,Date of Maximum:,06/15/2022

,TWA:,0.029

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/15/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/15/2022,17:35:32,0.052
06/15/2022,17:35:33,0.056
06/15/2022,17:35:34,0.051
06/15/2022,17:35:35,0.049
06/15/2022,17:35:36,0.055
06/15/2022,17:35:37,0.052
06/15/2022,17:35:38,0.052
06/15/2022,17:35:39,0.044
06/15/2022,17:35:40,0.053
06/15/2022,17:35:41,0.054
06/15/2022,17:35:42,0.051
06/15/2022,17:35:43,0.049
06/15/2022,17:35:44,0.051
06/15/2022,17:35:45,0.053
06/15/2022,17:35:46,0.056
06/15/2022,17:35:47,0.051
06/15/2022,17:35:48,0.053
06/15/2022,17:35:49,0.051
06/15/2022,17:35:50,0.049
06/15/2022,17:35:51,0.048
06/15/2022,17:35:52,0.051
06/15/2022,17:35:53,0.054
06/15/2022,17:35:54,0.044
06/15/2022,17:35:55,0.050
06/15/2022,17:35:56,0.054
06/15/2022,17:35:57,0.050
06/15/2022,17:35:58,0.057
06/15/2022,17:35:59,0.059
06/15/2022,17:36:00,0.057
06/15/2022,17:36:01,0.059
06/15/2022,17:36:02,0.048
06/15/2022,17:36:03,0.048
06/15/2022,17:36:04,0.051
06/15/2022,17:36:05,0.051
06/15/2022,17:36:06,0.047
06/15/2022,17:36:07,0.053
06/15/2022,17:36:08,0.048
06/15/2022,17:36:09,0.059
06/15/2022,17:36:10,0.059
06/15/2022,17:36:11,0.051
06/15/2022,17:36:12,0.057
06/15/2022,17:36:13,0.055
06/15/2022,17:36:14,0.052
06/15/2022,17:36:15,0.056
06/15/2022,17:36:16,0.053
06/15/2022,17:36:17,0.054
06/15/2022,17:36:18,0.055
06/15/2022,17:36:19,0.519
06/15/2022,17:36:20,0.884
06/15/2022,17:36:21,0.778
06/15/2022,17:36:22,1.150
06/15/2022,17:36:23,1.450
06/15/2022,17:36:24,1.940
06/15/2022,17:36:25,1.830
06/15/2022,17:36:26,1.550
06/15/2022,17:36:27,1.540
06/15/2022,17:36:28,1.420
06/15/2022,17:36:29,1.230
06/15/2022,17:36:30,1.260
06/15/2022,17:36:31,1.140
06/15/2022,17:36:32,0.886
06/15/2022,17:36:33,0.857
06/15/2022,17:36:34,1.060
06/15/2022,17:36:35,1.090
06/15/2022,17:36:36,1.240
06/15/2022,17:36:37,1.330
06/15/2022,17:36:38,1.460
06/15/2022,17:36:39,1.530
06/15/2022,17:36:40,1.380
06/15/2022,17:36:41,1.360
06/15/2022,17:36:42,1.380
06/15/2022,17:36:43,1.390
06/15/2022,17:36:44,1.310
06/15/2022,17:36:45,1.320
06/15/2022,17:36:46,1.300
06/15/2022,17:36:47,1.380
06/15/2022,17:36:48,1.350
06/15/2022,17:36:49,1.360
06/15/2022,17:36:50,1.390
06/15/2022,17:36:51,1.380
06/15/2022,17:36:52,1.360
06/15/2022,17:36:53,1.360
06/15/2022,17:36:54,1.330
06/15/2022,17:36:55,1.390
06/15/2022,17:36:56,1.370
06/15/2022,17:36:57,1.390
06/15/2022,17:36:58,1.340
06/15/2022,17:36:59,1.370
06/15/2022,17:37:00,1.430
06/15/2022,17:37:01,1.360
06/15/2022,17:37:02,1.360
06/15/2022,17:37:03,1.310
06/15/2022,17:37:04,1.340
06/15/2022,17:37:05,1.360
06/15/2022,17:37:06,1.370
06/15/2022,17:37:07,1.310
06/15/2022,17:37:08,1.280
06/15/2022,17:37:09,1.340
06/15/2022,17:37:10,1.290
06/15/2022,17:37:11,1.250
06/15/2022,17:37:12,1.340
06/15/2022,17:37:13,1.310
06/15/2022,17:37:14,1.320
06/15/2022,17:37:15,1.300
06/15/2022,17:37:16,1.290
06/15/2022,17:37:17,1.280
06/15/2022,17:37:18,1.260
06/15/2022,17:37:19,1.260
06/15/2022,17:37:20,1.260
06/15/2022,17:37:21,1.260
06/15/2022,17:37:22,1.230
06/15/2022,17:37:23,1.320
06/15/2022,17:37:24,1.320
06/15/2022,17:37:25,1.280
06/15/2022,17:37:26,1.310
06/15/2022,17:37:27,1.300
06/15/2022,17:37:28,1.290
06/15/2022,17:37:29,1.250
06/15/2022,17:37:30,1.280
06/15/2022,17:37:31,1.220
06/15/2022,17:37:32,1.240
06/15/2022,17:37:33,1.290
06/15/2022,17:37:34,1.270
06/15/2022,17:37:35,1.290
06/15/2022,17:37:36,1.170
06/15/2022,17:37:37,0.958
06/15/2022,17:37:38,1.160
06/15/2022,17:37:39,1.150
06/15/2022,17:37:40,1.130
06/15/2022,17:37:41,1.110
06/15/2022,17:37:42,1.170
06/15/2022,17:37:43,1.190
06/15/2022,17:37:44,1.170
06/15/2022,17:37:45,1.170
06/15/2022,17:37:46,1.140
06/15/2022,17:37:47,1.190
06/15/2022,17:37:48,1.190
06/15/2022,17:37:49,1.150
06/15/2022,17:37:50,1.200
06/15/2022,17:37:51,1.200
06/15/2022,17:37:52,1.140
06/15/2022,17:37:53,1.140
06/15/2022,17:37:54,1.120
06/15/2022,17:37:55,1.110
06/15/2022,17:37:56,1.140
06/15/2022,17:37:57,1.140
06/15/2022,17:37:58,1.120
06/15/2022,17:37:59,1.070
06/15/2022,17:38:00,1.070
06/15/2022,17:38:01,1.100
06/15/2022,17:38:02,1.110
06/15/2022,17:38:03,1.080
06/15/2022,17:38:04,1.130
06/15/2022,17:38:05,1.100
06/15/2022,17:38:06,1.090
06/15/2022,17:38:07,1.060
06/15/2022,17:38:08,1.110
06/15/2022,17:38:09,1.040
06/15/2022,17:38:10,1.080
06/15/2022,17:38:11,1.080
06/15/2022,17:38:12,1.080
06/15/2022,17:38:13,1.100
06/15/2022,17:38:14,1.080
06/15/2022,17:38:15,1.090
06/15/2022,17:38:16,1.070
06/15/2022,17:38:17,1.080
06/15/2022,17:38:18,1.060
06/15/2022,17:38:19,1.060
06/15/2022,17:38:20,1.050
06/15/2022,17:38:21,1.120
06/15/2022,17:38:22,1.110
06/15/2022,17:38:23,1.140
