TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 5
Start Date:,06/16/2022
Start Time:,01:25:16
Duration (dd:hh:mm:ss):,00:00:17:57
Log Interval (mm:ss):,00:01
Number of points:,1077
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.081
,Minimum:,0.051
,Time of Minimum:,01:31:15
,Date of Minimum:,06/16/2022
,Maximum:,0.133
,Time of Maximum:,01:37:40
,Date of Maximum:,06/16/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/16/2022
06/16/2022,13:28:02,0.064
06/16/2022,13:28:03,0.065
06/16/2022,13:28:04,0.054
06/16/2022,13:28:05,0.062
06/16/2022,13:28:06,0.064
06/16/2022,13:28:07,0.063
06/16/2022,13:28:08,0.064
06/16/2022,13:28:09,0.054
06/16/2022,13:28:10,0.061
06/16/2022,13:28:11,0.060
06/16/2022,13:28:12,0.069
06/16/2022,13:28:13,0.066
06/16/2022,13:28:14,0.061
06/16/2022,13:28:15,0.064
06/16/2022,13:28:16,0.058
06/16/2022,13:28:17,0.063
06/16/2022,13:28:18,0.057
06/16/2022,13:28:19,0.061
06/16/2022,13:28:20,0.060
06/16/2022,13:28:21,0.063
06/16/2022,13:28:22,0.065
06/16/2022,13:28:23,0.061
06/16/2022,13:28:24,0.057
06/16/2022,13:28:25,0.055
06/16/2022,13:28:26,0.060
06/16/2022,13:28:27,0.057
06/16/2022,13:28:28,0.064
06/16/2022,13:28:29,0.066
06/16/2022,13:28:30,0.068
06/16/2022,13:28:31,0.065
06/16/2022,13:28:32,0.059
06/16/2022,13:28:33,0.058
06/16/2022,13:28:34,0.065
06/16/2022,13:28:35,0.063
06/16/2022,13:28:36,0.069
06/16/2022,13:28:37,0.068
06/16/2022,13:28:38,0.071
06/16/2022,13:28:39,0.075
06/16/2022,13:28:40,0.060
06/16/2022,13:28:41,0.066
06/16/2022,13:28:42,0.065
06/16/2022,13:28:43,0.066
06/16/2022,13:28:44,0.070
06/16/2022,13:28:45,0.069
06/16/2022,13:28:46,0.061
06/16/2022,13:28:47,0.061
06/16/2022,13:28:48,0.060
06/16/2022,13:28:49,0.063
06/16/2022,13:28:50,0.060
06/16/2022,13:28:51,0.067
06/16/2022,13:28:52,0.057
06/16/2022,13:28:53,0.060
06/16/2022,13:28:54,0.065
06/16/2022,13:28:55,0.068
06/16/2022,13:28:56,0.070
06/16/2022,13:28:57,0.064
06/16/2022,13:28:58,0.067
06/16/2022,13:28:59,0.061
06/16/2022,13:29:00,0.072
06/16/2022,13:29:01,0.058
06/16/2022,13:29:02,0.064
06/16/2022,13:29:03,0.067
06/16/2022,13:29:04,0.065
06/16/2022,13:29:05,0.060
06/16/2022,13:29:06,0.067
06/16/2022,13:29:07,0.061
06/16/2022,13:29:08,0.073
06/16/2022,13:29:09,0.066
06/16/2022,13:29:10,0.052
06/16/2022,13:29:11,0.060
06/16/2022,13:29:12,0.055
06/16/2022,13:29:13,0.058
06/16/2022,13:29:14,0.054
06/16/2022,13:29:15,0.055
06/16/2022,13:29:16,0.062
06/16/2022,13:29:17,0.058
06/16/2022,13:29:18,0.058
06/16/2022,13:29:19,0.060
06/16/2022,13:29:20,0.062
06/16/2022,13:29:21,0.065
06/16/2022,13:29:22,0.069
06/16/2022,13:29:23,0.062
06/16/2022,13:29:24,0.060
06/16/2022,13:29:25,0.055
06/16/2022,13:29:26,0.070
06/16/2022,13:29:27,0.068
06/16/2022,13:29:28,0.070
06/16/2022,13:29:29,0.055
06/16/2022,13:29:30,0.055
06/16/2022,13:29:31,0.061
06/16/2022,13:29:32,0.066
06/16/2022,13:29:33,0.067
06/16/2022,13:29:34,0.060
06/16/2022,13:29:35,0.062
06/16/2022,13:29:36,0.061
06/16/2022,13:29:37,0.067
06/16/2022,13:29:38,0.068
06/16/2022,13:29:39,0.063
06/16/2022,13:29:40,0.059
06/16/2022,13:29:41,0.063
06/16/2022,13:29:42,0.059
06/16/2022,13:29:43,0.057
06/16/2022,13:29:44,0.057
06/16/2022,13:29:45,0.060
06/16/2022,13:29:46,0.062
06/16/2022,13:29:47,0.057
06/16/2022,13:29:48,0.057
06/16/2022,13:29:49,0.071
06/16/2022,13:29:50,0.071
06/16/2022,13:29:51,0.063
06/16/2022,13:29:52,0.058
06/16/2022,13:29:53,0.062
06/16/2022,13:29:54,0.059
06/16/2022,13:29:55,0.072
06/16/2022,13:29:56,0.069
06/16/2022,13:29:57,0.064
06/16/2022,13:29:58,0.061
06/16/2022,13:29:59,0.067
06/16/2022,13:30:00,0.078
06/16/2022,13:30:01,0.059
06/16/2022,13:30:02,0.070
06/16/2022,13:30:03,0.060
06/16/2022,13:30:04,0.062
06/16/2022,13:30:05,0.075
06/16/2022,13:30:06,0.067
06/16/2022,13:30:07,0.063
06/16/2022,13:30:08,0.061
06/16/2022,13:30:09,0.064
06/16/2022,13:30:10,0.059
06/16/2022,13:30:11,0.064
06/16/2022,13:30:12,0.060
06/16/2022,13:30:13,0.075
06/16/2022,13:30:14,0.069
06/16/2022,13:30:15,0.065
06/16/2022,13:30:16,0.070
06/16/2022,13:30:17,0.060
06/16/2022,13:30:18,0.063
06/16/2022,13:30:19,0.058
06/16/2022,13:30:20,0.061
06/16/2022,13:30:21,0.068
06/16/2022,13:30:22,0.062
06/16/2022,13:30:23,0.073
06/16/2022,13:30:24,0.060
06/16/2022,13:30:25,0.060
06/16/2022,13:30:26,0.059
06/16/2022,13:30:27,0.053
06/16/2022,13:30:28,0.061
06/16/2022,13:30:29,0.064
06/16/2022,13:30:30,0.069
06/16/2022,13:30:31,0.060
06/16/2022,13:30:32,0.058
06/16/2022,13:30:33,0.069
06/16/2022,13:30:34,0.068
06/16/2022,13:30:35,0.060
06/16/2022,13:30:36,0.060
06/16/2022,13:30:37,0.060
06/16/2022,13:30:38,0.060
06/16/2022,13:30:39,0.073
06/16/2022,13:30:40,0.060
06/16/2022,13:30:41,0.061
06/16/2022,13:30:42,0.067
06/16/2022,13:30:43,0.066
06/16/2022,13:30:44,0.057
06/16/2022,13:30:45,0.063
06/16/2022,13:30:46,0.063
06/16/2022,13:30:47,0.058
06/16/2022,13:30:48,0.062
06/16/2022,13:30:49,0.061
06/16/2022,13:30:50,0.066
06/16/2022,13:30:51,0.064
06/16/2022,13:30:52,0.061
06/16/2022,13:30:53,0.062
06/16/2022,13:30:54,0.061
06/16/2022,13:30:55,0.059
06/16/2022,13:30:56,0.066
06/16/2022,13:30:57,0.066
06/16/2022,13:30:58,0.059
06/16/2022,13:30:59,0.056
06/16/2022,13:31:00,0.058
06/16/2022,13:31:01,0.073
06/16/2022,13:31:02,0.054
06/16/2022,13:31:03,0.066
06/16/2022,13:31:04,0.058
06/16/2022,13:31:05,0.063
06/16/2022,13:31:06,0.059
06/16/2022,13:31:07,0.061
06/16/2022,13:31:08,0.072
06/16/2022,13:31:09,0.067
06/16/2022,13:31:10,0.062
06/16/2022,13:31:11,0.070
06/16/2022,13:31:12,0.064
06/16/2022,13:31:13,0.070
06/16/2022,13:31:14,0.065
06/16/2022,13:31:15,0.051
06/16/2022,13:31:16,0.062
06/16/2022,13:31:17,0.060
06/16/2022,13:31:18,0.056
06/16/2022,13:31:19,0.064
06/16/2022,13:31:20,0.054
06/16/2022,13:31:21,0.072
06/16/2022,13:31:22,0.064
06/16/2022,13:31:23,0.059
06/16/2022,13:31:24,0.063
06/16/2022,13:31:25,0.052
06/16/2022,13:31:26,0.063
06/16/2022,13:31:27,0.060
06/16/2022,13:31:28,0.068
06/16/2022,13:31:29,0.074
06/16/2022,13:31:30,0.062
06/16/2022,13:31:31,0.063
06/16/2022,13:31:32,0.063
06/16/2022,13:31:33,0.062
06/16/2022,13:31:34,0.058
06/16/2022,13:31:35,0.064
06/16/2022,13:31:36,0.061
06/16/2022,13:31:37,0.058
06/16/2022,13:31:38,0.053
06/16/2022,13:31:39,0.069
06/16/2022,13:31:40,0.062
06/16/2022,13:31:41,0.065
06/16/2022,13:31:42,0.063
06/16/2022,13:31:43,0.069
06/16/2022,13:31:44,0.062
06/16/2022,13:31:45,0.077
06/16/2022,13:31:46,0.061
06/16/2022,13:31:47,0.070
06/16/2022,13:31:48,0.065
06/16/2022,13:31:49,0.061
06/16/2022,13:31:50,0.071
06/16/2022,13:31:51,0.065
06/16/2022,13:31:52,0.056
06/16/2022,13:31:53,0.069
06/16/2022,13:31:54,0.070
06/16/2022,13:31:55,0.064
06/16/2022,13:31:56,0.062
06/16/2022,13:31:57,0.067
06/16/2022,13:31:58,0.068
06/16/2022,13:31:59,0.061
06/16/2022,13:32:00,0.064
06/16/2022,13:32:01,0.072
06/16/2022,13:32:02,0.054
06/16/2022,13:32:03,0.059
06/16/2022,13:32:04,0.064
06/16/2022,13:32:05,0.069
06/16/2022,13:32:06,0.062
06/16/2022,13:32:07,0.062
06/16/2022,13:32:08,0.064
06/16/2022,13:32:09,0.065
06/16/2022,13:32:10,0.059
06/16/2022,13:32:11,0.068
06/16/2022,13:32:12,0.080
06/16/2022,13:32:13,0.060
06/16/2022,13:32:14,0.066
06/16/2022,13:32:15,0.075
06/16/2022,13:32:16,0.072
06/16/2022,13:32:17,0.058
06/16/2022,13:32:18,0.064
06/16/2022,13:32:19,0.064
06/16/2022,13:32:20,0.066
06/16/2022,13:32:21,0.066
06/16/2022,13:32:22,0.068
06/16/2022,13:32:23,0.063
06/16/2022,13:32:24,0.063
06/16/2022,13:32:25,0.066
06/16/2022,13:32:26,0.068
06/16/2022,13:32:27,0.067
06/16/2022,13:32:28,0.070
06/16/2022,13:32:29,0.060
06/16/2022,13:32:30,0.065
06/16/2022,13:32:31,0.070
06/16/2022,13:32:32,0.070
06/16/2022,13:32:33,0.070
06/16/2022,13:32:34,0.067
06/16/2022,13:32:35,0.064
06/16/2022,13:32:36,0.074
06/16/2022,13:32:37,0.066
06/16/2022,13:32:38,0.075
06/16/2022,13:32:39,0.080
06/16/2022,13:32:40,0.063
06/16/2022,13:32:41,0.072
06/16/2022,13:32:42,0.073
06/16/2022,13:32:43,0.069
06/16/2022,13:32:44,0.066
06/16/2022,13:32:45,0.074
06/16/2022,13:32:46,0.076
06/16/2022,13:32:47,0.068
06/16/2022,13:32:48,0.071
06/16/2022,13:32:49,0.070
06/16/2022,13:32:50,0.074
06/16/2022,13:32:51,0.066
06/16/2022,13:32:52,0.062
06/16/2022,13:32:53,0.068
06/16/2022,13:32:54,0.072
06/16/2022,13:32:55,0.070
06/16/2022,13:32:56,0.087
06/16/2022,13:32:57,0.085
06/16/2022,13:32:58,0.080
06/16/2022,13:32:59,0.070
06/16/2022,13:33:00,0.064
06/16/2022,13:33:01,0.067
06/16/2022,13:33:02,0.063
06/16/2022,13:33:03,0.068
06/16/2022,13:33:04,0.059
06/16/2022,13:33:05,0.064
06/16/2022,13:33:06,0.072
06/16/2022,13:33:07,0.064
06/16/2022,13:33:08,0.064
06/16/2022,13:33:09,0.060
06/16/2022,13:33:10,0.058
06/16/2022,13:33:11,0.059
06/16/2022,13:33:12,0.068
06/16/2022,13:33:13,0.066
06/16/2022,13:33:14,0.063
06/16/2022,13:33:15,0.061
06/16/2022,13:33:16,0.065
06/16/2022,13:33:17,0.065
06/16/2022,13:33:18,0.071
06/16/2022,13:33:19,0.068
06/16/2022,13:33:20,0.061
06/16/2022,13:33:21,0.076
06/16/2022,13:33:22,0.062
06/16/2022,13:33:23,0.066
06/16/2022,13:33:24,0.066
06/16/2022,13:33:25,0.065
06/16/2022,13:33:26,0.069
06/16/2022,13:33:27,0.062
06/16/2022,13:33:28,0.064
06/16/2022,13:33:29,0.060
06/16/2022,13:33:30,0.068
06/16/2022,13:33:31,0.076
06/16/2022,13:33:32,0.063
06/16/2022,13:33:33,0.068
06/16/2022,13:33:34,0.072
06/16/2022,13:33:35,0.063
06/16/2022,13:33:36,0.080
06/16/2022,13:33:37,0.065
06/16/2022,13:33:38,0.074
06/16/2022,13:33:39,0.077
06/16/2022,13:33:40,0.076
06/16/2022,13:33:41,0.068
06/16/2022,13:33:42,0.070
06/16/2022,13:33:43,0.067
06/16/2022,13:33:44,0.064
06/16/2022,13:33:45,0.072
06/16/2022,13:33:46,0.059
06/16/2022,13:33:47,0.064
06/16/2022,13:33:48,0.071
06/16/2022,13:33:49,0.065
06/16/2022,13:33:50,0.068
06/16/2022,13:33:51,0.065
06/16/2022,13:33:52,0.067
06/16/2022,13:33:53,0.071
06/16/2022,13:33:54,0.072
06/16/2022,13:33:55,0.063
06/16/2022,13:33:56,0.063
06/16/2022,13:33:57,0.060
06/16/2022,13:33:58,0.064
06/16/2022,13:33:59,0.059
06/16/2022,13:34:00,0.072
06/16/2022,13:34:01,0.053
06/16/2022,13:34:02,0.063
06/16/2022,13:34:03,0.067
06/16/2022,13:34:04,0.075
06/16/2022,13:34:05,0.065
06/16/2022,13:34:06,0.056
06/16/2022,13:34:07,0.054
06/16/2022,13:34:08,0.067
06/16/2022,13:34:09,0.068
06/16/2022,13:34:10,0.064
06/16/2022,13:34:11,0.054
06/16/2022,13:34:12,0.059
06/16/2022,13:34:13,0.057
06/16/2022,13:34:14,0.068
06/16/2022,13:34:15,0.058
06/16/2022,13:34:16,0.066
06/16/2022,13:34:17,0.062
06/16/2022,13:34:18,0.062
06/16/2022,13:34:19,0.068
06/16/2022,13:34:20,0.063
06/16/2022,13:34:21,0.052
06/16/2022,13:34:22,0.057
06/16/2022,13:34:23,0.073
06/16/2022,13:34:24,0.057
06/16/2022,13:34:25,0.067
06/16/2022,13:34:26,0.067
06/16/2022,13:34:27,0.063
06/16/2022,13:34:28,0.064
06/16/2022,13:34:29,0.067
06/16/2022,13:34:30,0.062
06/16/2022,13:34:31,0.060
06/16/2022,13:34:32,0.058
06/16/2022,13:34:33,0.058
06/16/2022,13:34:34,0.055
06/16/2022,13:34:35,0.058
06/16/2022,13:34:36,0.061
06/16/2022,13:34:37,0.063
06/16/2022,13:34:38,0.066
06/16/2022,13:34:39,0.057
06/16/2022,13:34:40,0.062
06/16/2022,13:34:41,0.053
06/16/2022,13:34:42,0.071
06/16/2022,13:34:43,0.065
06/16/2022,13:34:44,0.058
06/16/2022,13:34:45,0.070
06/16/2022,13:34:46,0.076
06/16/2022,13:34:47,0.073
06/16/2022,13:34:48,0.067
06/16/2022,13:34:49,0.073
06/16/2022,13:34:50,0.069
06/16/2022,13:34:51,0.064
06/16/2022,13:34:52,0.081
06/16/2022,13:34:53,0.072
06/16/2022,13:34:54,0.075
06/16/2022,13:34:55,0.086
06/16/2022,13:34:56,0.084
06/16/2022,13:34:57,0.098
06/16/2022,13:34:58,0.101
06/16/2022,13:34:59,0.106
06/16/2022,13:35:00,0.093
06/16/2022,13:35:01,0.100
06/16/2022,13:35:02,0.097
06/16/2022,13:35:03,0.094
06/16/2022,13:35:04,0.095
06/16/2022,13:35:05,0.097
06/16/2022,13:35:06,0.101
06/16/2022,13:35:07,0.101
06/16/2022,13:35:08,0.102
06/16/2022,13:35:09,0.092
06/16/2022,13:35:10,0.091
06/16/2022,13:35:11,0.092
06/16/2022,13:35:12,0.092
06/16/2022,13:35:13,0.085
06/16/2022,13:35:14,0.089
06/16/2022,13:35:15,0.081
06/16/2022,13:35:16,0.086
06/16/2022,13:35:17,0.090
06/16/2022,13:35:18,0.086
06/16/2022,13:35:19,0.089
06/16/2022,13:35:20,0.084
06/16/2022,13:35:21,0.079
06/16/2022,13:35:22,0.089
06/16/2022,13:35:23,0.083
06/16/2022,13:35:24,0.086
06/16/2022,13:35:25,0.101
06/16/2022,13:35:26,0.097
06/16/2022,13:35:27,0.105
06/16/2022,13:35:28,0.090
06/16/2022,13:35:29,0.090
06/16/2022,13:35:30,0.095
06/16/2022,13:35:31,0.096
06/16/2022,13:35:32,0.099
06/16/2022,13:35:33,0.088
06/16/2022,13:35:34,0.104
06/16/2022,13:35:35,0.104
06/16/2022,13:35:36,0.102
06/16/2022,13:35:37,0.100
06/16/2022,13:35:38,0.090
06/16/2022,13:35:39,0.094
06/16/2022,13:35:40,0.094
06/16/2022,13:35:41,0.103
06/16/2022,13:35:42,0.083
06/16/2022,13:35:43,0.099
06/16/2022,13:35:44,0.091
06/16/2022,13:35:45,0.095
06/16/2022,13:35:46,0.087
06/16/2022,13:35:47,0.100
06/16/2022,13:35:48,0.103
06/16/2022,13:35:49,0.107
06/16/2022,13:35:50,0.097
06/16/2022,13:35:51,0.090
06/16/2022,13:35:52,0.090
06/16/2022,13:35:53,0.097
06/16/2022,13:35:54,0.094
06/16/2022,13:35:55,0.092
06/16/2022,13:35:56,0.100
06/16/2022,13:35:57,0.088
06/16/2022,13:35:58,0.094
06/16/2022,13:35:59,0.096
06/16/2022,13:36:00,0.094
06/16/2022,13:36:01,0.100
06/16/2022,13:36:02,0.097
06/16/2022,13:36:03,0.095
06/16/2022,13:36:04,0.087
06/16/2022,13:36:05,0.099
06/16/2022,13:36:06,0.101
06/16/2022,13:36:07,0.093
