TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 6
Start Date:,06/16/2022
Start Time:,01:44:22
Duration (dd:hh:mm:ss):,00:00:09:43
Log Interval (mm:ss):,00:01
Number of points:,583
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.064
,Minimum:,0.036
,Time of Minimum:,01:53:17
,Date of Minimum:,06/16/2022
,Maximum:,0.113
,Time of Maximum:,01:44:28
,Date of Maximum:,06/16/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/16/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/16/2022,13:44:23,0.099
06/16/2022,13:44:24,0.090
06/16/2022,13:44:25,0.094
06/16/2022,13:44:26,0.099
06/16/2022,13:44:27,0.094
06/16/2022,13:44:28,0.113
06/16/2022,13:44:29,0.090
06/16/2022,13:44:30,0.104
06/16/2022,13:44:31,0.100
06/16/2022,13:44:32,0.087
06/16/2022,13:44:33,0.105
06/16/2022,13:44:34,0.101
06/16/2022,13:44:35,0.095
06/16/2022,13:44:36,0.092
06/16/2022,13:44:37,0.086
06/16/2022,13:44:38,0.096
06/16/2022,13:44:39,0.093
06/16/2022,13:44:40,0.089
06/16/2022,13:44:41,0.088
06/16/2022,13:44:42,0.095
06/16/2022,13:44:43,0.097
06/16/2022,13:44:44,0.093
06/16/2022,13:44:45,0.096
06/16/2022,13:44:46,0.092
06/16/2022,13:44:47,0.096
06/16/2022,13:44:48,0.086
06/16/2022,13:44:49,0.103
06/16/2022,13:44:50,0.097
06/16/2022,13:44:51,0.095
06/16/2022,13:44:52,0.089
06/16/2022,13:44:53,0.095
06/16/2022,13:44:54,0.094
06/16/2022,13:44:55,0.110
06/16/2022,13:44:56,0.089
06/16/2022,13:44:57,0.089
06/16/2022,13:44:58,0.089
06/16/2022,13:44:59,0.089
06/16/2022,13:45:00,0.089
06/16/2022,13:45:01,0.096
06/16/2022,13:45:02,0.089
06/16/2022,13:45:03,0.103
06/16/2022,13:45:04,0.112
06/16/2022,13:45:05,0.088
06/16/2022,13:45:06,0.095
06/16/2022,13:45:07,0.094
06/16/2022,13:45:08,0.105
06/16/2022,13:45:09,0.099
06/16/2022,13:45:10,0.099
06/16/2022,13:45:11,0.082
06/16/2022,13:45:12,0.079
06/16/2022,13:45:13,0.112
06/16/2022,13:45:14,0.094
06/16/2022,13:45:15,0.084
06/16/2022,13:45:16,0.084
06/16/2022,13:45:17,0.086
06/16/2022,13:45:18,0.082
06/16/2022,13:45:19,0.085
06/16/2022,13:45:20,0.087
06/16/2022,13:45:21,0.084
06/16/2022,13:45:22,0.096
06/16/2022,13:45:23,0.089
06/16/2022,13:45:24,0.088
06/16/2022,13:45:25,0.085
06/16/2022,13:45:26,0.081
06/16/2022,13:45:27,0.087
06/16/2022,13:45:28,0.085
06/16/2022,13:45:29,0.088
06/16/2022,13:45:30,0.097
06/16/2022,13:45:31,0.092
06/16/2022,13:45:32,0.090
06/16/2022,13:45:33,0.097
06/16/2022,13:45:34,0.082
06/16/2022,13:45:35,0.091
06/16/2022,13:45:36,0.085
06/16/2022,13:45:37,0.104
06/16/2022,13:45:38,0.094
06/16/2022,13:45:39,0.095
06/16/2022,13:45:40,0.087
06/16/2022,13:45:41,0.089
06/16/2022,13:45:42,0.088
06/16/2022,13:45:43,0.085
06/16/2022,13:45:44,0.088
06/16/2022,13:45:45,0.084
06/16/2022,13:45:46,0.080
06/16/2022,13:45:47,0.080
06/16/2022,13:45:48,0.073
06/16/2022,13:45:49,0.082
06/16/2022,13:45:50,0.079
06/16/2022,13:45:51,0.080
06/16/2022,13:45:52,0.070
06/16/2022,13:45:53,0.087
06/16/2022,13:45:54,0.091
06/16/2022,13:45:55,0.085
06/16/2022,13:45:56,0.082
06/16/2022,13:45:57,0.070
06/16/2022,13:45:58,0.079
06/16/2022,13:45:59,0.088
06/16/2022,13:46:00,0.087
06/16/2022,13:46:01,0.082
06/16/2022,13:46:02,0.084
06/16/2022,13:46:03,0.093
06/16/2022,13:46:04,0.078
06/16/2022,13:46:05,0.083
06/16/2022,13:46:06,0.093
06/16/2022,13:46:07,0.086
06/16/2022,13:46:08,0.084
06/16/2022,13:46:09,0.083
06/16/2022,13:46:10,0.077
06/16/2022,13:46:11,0.071
06/16/2022,13:46:12,0.079
06/16/2022,13:46:13,0.083
06/16/2022,13:46:14,0.073
06/16/2022,13:46:15,0.078
06/16/2022,13:46:16,0.076
06/16/2022,13:46:17,0.078
06/16/2022,13:46:18,0.071
06/16/2022,13:46:19,0.080
06/16/2022,13:46:20,0.076
06/16/2022,13:46:21,0.090
06/16/2022,13:46:22,0.082
06/16/2022,13:46:23,0.077
06/16/2022,13:46:24,0.075
06/16/2022,13:46:25,0.077
06/16/2022,13:46:26,0.086
06/16/2022,13:46:27,0.076
06/16/2022,13:46:28,0.075
06/16/2022,13:46:29,0.081
06/16/2022,13:46:30,0.090
06/16/2022,13:46:31,0.084
06/16/2022,13:46:32,0.078
06/16/2022,13:46:33,0.081
06/16/2022,13:46:34,0.074
06/16/2022,13:46:35,0.074
06/16/2022,13:46:36,0.067
06/16/2022,13:46:37,0.071
06/16/2022,13:46:38,0.068
06/16/2022,13:46:39,0.102
06/16/2022,13:46:40,0.073
06/16/2022,13:46:41,0.085
06/16/2022,13:46:42,0.082
06/16/2022,13:46:43,0.079
06/16/2022,13:46:44,0.078
06/16/2022,13:46:45,0.076
06/16/2022,13:46:46,0.070
06/16/2022,13:46:47,0.075
06/16/2022,13:46:48,0.067
