TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 1
Start Date:,06/16/2022
Start Time:,07:14:45
Duration (dd:hh:mm:ss):,00:00:17:50
Log Interval (mm:ss):,00:01
Number of points:,1070
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.090
,Minimum:,0.042
,Time of Minimum:,07:29:41
,Date of Minimum:,06/16/2022
,Maximum:,0.180
,Time of Maximum:,07:15:24
,Date of Maximum:,06/16/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/16/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/16/2022,07:14:46,0.089
06/16/2022,07:14:47,0.076
06/16/2022,07:14:48,0.089
06/16/2022,07:14:49,0.103
06/16/2022,07:14:50,0.139
06/16/2022,07:14:51,0.126
06/16/2022,07:14:52,0.110
06/16/2022,07:14:53,0.098
06/16/2022,07:14:54,0.085
06/16/2022,07:14:55,0.119
06/16/2022,07:14:56,0.116
06/16/2022,07:14:57,0.118
06/16/2022,07:14:58,0.139
06/16/2022,07:14:59,0.140
06/16/2022,07:15:00,0.152
06/16/2022,07:15:01,0.127
06/16/2022,07:15:02,0.108
06/16/2022,07:15:03,0.124
06/16/2022,07:15:04,0.122
06/16/2022,07:15:05,0.126
06/16/2022,07:15:06,0.121
06/16/2022,07:15:07,0.142
06/16/2022,07:15:08,0.134
06/16/2022,07:15:09,0.125
06/16/2022,07:15:10,0.149
06/16/2022,07:15:11,0.144
06/16/2022,07:15:12,0.137
06/16/2022,07:15:13,0.139
06/16/2022,07:15:14,0.157
06/16/2022,07:15:15,0.161
06/16/2022,07:15:16,0.151
06/16/2022,07:15:17,0.165
06/16/2022,07:15:18,0.151
06/16/2022,07:15:19,0.145
06/16/2022,07:15:20,0.149
06/16/2022,07:15:21,0.164
06/16/2022,07:15:22,0.133
06/16/2022,07:15:23,0.153
06/16/2022,07:15:24,0.180
06/16/2022,07:15:25,0.142
06/16/2022,07:15:26,0.158
06/16/2022,07:15:27,0.160
06/16/2022,07:15:28,0.169
06/16/2022,07:15:29,0.151
06/16/2022,07:15:30,0.165
06/16/2022,07:15:31,0.154
06/16/2022,07:15:32,0.169
06/16/2022,07:15:33,0.157
06/16/2022,07:15:34,0.153
06/16/2022,07:15:35,0.153
06/16/2022,07:15:36,0.153
06/16/2022,07:15:37,0.155
06/16/2022,07:15:38,0.160
06/16/2022,07:15:39,0.166
06/16/2022,07:15:40,0.165
06/16/2022,07:15:41,0.158
06/16/2022,07:15:42,0.147
06/16/2022,07:15:43,0.148
06/16/2022,07:15:44,0.161
06/16/2022,07:15:45,0.151
06/16/2022,07:15:46,0.165
06/16/2022,07:15:47,0.153
06/16/2022,07:15:48,0.163
06/16/2022,07:15:49,0.159
06/16/2022,07:15:50,0.150
06/16/2022,07:15:51,0.159
06/16/2022,07:15:52,0.165
06/16/2022,07:15:53,0.149
06/16/2022,07:15:54,0.151
06/16/2022,07:15:55,0.154
06/16/2022,07:15:56,0.155
06/16/2022,07:15:57,0.179
06/16/2022,07:15:58,0.137
06/16/2022,07:15:59,0.162
06/16/2022,07:16:00,0.158
06/16/2022,07:16:01,0.145
06/16/2022,07:16:02,0.159
06/16/2022,07:16:03,0.161
06/16/2022,07:16:04,0.153
06/16/2022,07:16:05,0.160
06/16/2022,07:16:06,0.159
06/16/2022,07:16:07,0.158
06/16/2022,07:16:08,0.158
06/16/2022,07:16:09,0.147
06/16/2022,07:16:10,0.151
06/16/2022,07:16:11,0.158
06/16/2022,07:16:12,0.146
06/16/2022,07:16:13,0.168
06/16/2022,07:16:14,0.143
06/16/2022,07:16:15,0.160
06/16/2022,07:16:16,0.155
06/16/2022,07:16:17,0.156
06/16/2022,07:16:18,0.147
06/16/2022,07:16:19,0.158
06/16/2022,07:16:20,0.146
06/16/2022,07:16:21,0.165
06/16/2022,07:16:22,0.142
06/16/2022,07:16:23,0.149
06/16/2022,07:16:24,0.157
06/16/2022,07:16:25,0.159
06/16/2022,07:16:26,0.135
06/16/2022,07:16:27,0.165
06/16/2022,07:16:28,0.149
06/16/2022,07:16:29,0.143
06/16/2022,07:16:30,0.144
06/16/2022,07:16:31,0.145
06/16/2022,07:16:32,0.149
06/16/2022,07:16:33,0.144
06/16/2022,07:16:34,0.145
06/16/2022,07:16:35,0.166
06/16/2022,07:16:36,0.153
06/16/2022,07:16:37,0.145
06/16/2022,07:16:38,0.158
06/16/2022,07:16:39,0.156
06/16/2022,07:16:40,0.141
06/16/2022,07:16:41,0.153
06/16/2022,07:16:42,0.150
06/16/2022,07:16:43,0.154
06/16/2022,07:16:44,0.173
06/16/2022,07:16:45,0.147
06/16/2022,07:16:46,0.149
06/16/2022,07:16:47,0.171
06/16/2022,07:16:48,0.150
06/16/2022,07:16:49,0.144
06/16/2022,07:16:50,0.144
06/16/2022,07:16:51,0.161
06/16/2022,07:16:52,0.145
06/16/2022,07:16:53,0.139
06/16/2022,07:16:54,0.160
06/16/2022,07:16:55,0.141
06/16/2022,07:16:56,0.145
06/16/2022,07:16:57,0.170
06/16/2022,07:16:58,0.133
06/16/2022,07:16:59,0.151
06/16/2022,07:17:00,0.143
06/16/2022,07:17:01,0.167
06/16/2022,07:17:02,0.151
06/16/2022,07:17:03,0.137
06/16/2022,07:17:04,0.138
06/16/2022,07:17:05,0.134
06/16/2022,07:17:06,0.133
06/16/2022,07:17:07,0.151
06/16/2022,07:17:08,0.154
06/16/2022,07:17:09,0.150
06/16/2022,07:17:10,0.129
06/16/2022,07:17:11,0.153
06/16/2022,07:17:12,0.140
06/16/2022,07:17:13,0.146
06/16/2022,07:17:14,0.143
06/16/2022,07:17:15,0.140
06/16/2022,07:17:16,0.139
06/16/2022,07:17:17,0.139
06/16/2022,07:17:18,0.149
06/16/2022,07:17:19,0.139
06/16/2022,07:17:20,0.139
06/16/2022,07:17:21,0.152
06/16/2022,07:17:22,0.140
06/16/2022,07:17:23,0.146
06/16/2022,07:17:24,0.139
06/16/2022,07:17:25,0.136
06/16/2022,07:17:26,0.125
06/16/2022,07:17:27,0.152
06/16/2022,07:17:28,0.140
06/16/2022,07:17:29,0.145
06/16/2022,07:17:30,0.124
06/16/2022,07:17:31,0.143
06/16/2022,07:17:32,0.154
06/16/2022,07:17:33,0.144
06/16/2022,07:17:34,0.137
06/16/2022,07:17:35,0.134
06/16/2022,07:17:36,0.131
06/16/2022,07:17:37,0.134
06/16/2022,07:17:38,0.137
06/16/2022,07:17:39,0.130
06/16/2022,07:17:40,0.135
06/16/2022,07:17:41,0.125
06/16/2022,07:17:42,0.132
06/16/2022,07:17:43,0.140
06/16/2022,07:17:44,0.129
06/16/2022,07:17:45,0.133
06/16/2022,07:17:46,0.133
06/16/2022,07:17:47,0.141
06/16/2022,07:17:48,0.133
06/16/2022,07:17:49,0.132
06/16/2022,07:17:50,0.145
06/16/2022,07:17:51,0.140
06/16/2022,07:17:52,0.150
06/16/2022,07:17:53,0.127
06/16/2022,07:17:54,0.132
06/16/2022,07:17:55,0.138
06/16/2022,07:17:56,0.143
06/16/2022,07:17:57,0.132
06/16/2022,07:17:58,0.129
06/16/2022,07:17:59,0.143
06/16/2022,07:18:00,0.126
06/16/2022,07:18:01,0.131
06/16/2022,07:18:02,0.131
06/16/2022,07:18:03,0.124
06/16/2022,07:18:04,0.119
06/16/2022,07:18:05,0.137
06/16/2022,07:18:06,0.128
06/16/2022,07:18:07,0.136
06/16/2022,07:18:08,0.126
06/16/2022,07:18:09,0.129
06/16/2022,07:18:10,0.138
06/16/2022,07:18:11,0.126
06/16/2022,07:18:12,0.145
06/16/2022,07:18:13,0.138
06/16/2022,07:18:14,0.132
06/16/2022,07:18:15,0.136
06/16/2022,07:18:16,0.120
06/16/2022,07:18:17,0.150
06/16/2022,07:18:18,0.133
06/16/2022,07:18:19,0.127
06/16/2022,07:18:20,0.139
06/16/2022,07:18:21,0.130
06/16/2022,07:18:22,0.129
06/16/2022,07:18:23,0.139
06/16/2022,07:18:24,0.144
06/16/2022,07:18:25,0.129
06/16/2022,07:18:26,0.126
06/16/2022,07:18:27,0.146
06/16/2022,07:18:28,0.119
06/16/2022,07:18:29,0.125
06/16/2022,07:18:30,0.132
06/16/2022,07:18:31,0.119
