TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 10
Start Date:,06/16/2022
Start Time:,06:14:10
Duration (dd:hh:mm:ss):,00:00:39:03
Log Interval (mm:ss):,00:01
Number of points:,2343
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.075
,Minimum:,0.059
,Time of Minimum:,06:31:11
,Date of Minimum:,06/16/2022
,Maximum:,0.174
,Time of Maximum:,06:52:28
,Date of Maximum:,06/16/2022

,TWA:,0.006

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/16/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/16/2022,18:14:11,0.079
06/16/2022,18:14:12,0.069
06/16/2022,18:14:13,0.087
06/16/2022,18:14:14,0.074
06/16/2022,18:14:15,0.074
06/16/2022,18:14:16,0.076
06/16/2022,18:14:17,0.073
06/16/2022,18:14:18,0.075
06/16/2022,18:14:19,0.072
06/16/2022,18:14:20,0.074
06/16/2022,18:14:21,0.073
06/16/2022,18:14:22,0.076
06/16/2022,18:14:23,0.080
06/16/2022,18:14:24,0.069
06/16/2022,18:14:25,0.077
06/16/2022,18:14:26,0.075
06/16/2022,18:14:27,0.072
06/16/2022,18:14:28,0.080
06/16/2022,18:14:29,0.082
06/16/2022,18:14:30,0.075
06/16/2022,18:14:31,0.078
06/16/2022,18:14:32,0.073
06/16/2022,18:14:33,0.078
06/16/2022,18:14:34,0.080
06/16/2022,18:14:35,0.075
06/16/2022,18:14:36,0.088
06/16/2022,18:14:37,0.091
06/16/2022,18:14:38,0.081
06/16/2022,18:14:39,0.077
06/16/2022,18:14:40,0.077
06/16/2022,18:14:41,0.075
06/16/2022,18:14:42,0.091
06/16/2022,18:14:43,0.076
06/16/2022,18:14:44,0.078
06/16/2022,18:14:45,0.077
06/16/2022,18:14:46,0.075
06/16/2022,18:14:47,0.074
06/16/2022,18:14:48,0.083
06/16/2022,18:14:49,0.082
06/16/2022,18:14:50,0.078
06/16/2022,18:14:51,0.091
06/16/2022,18:14:52,0.089
06/16/2022,18:14:53,0.088
06/16/2022,18:14:54,0.075
06/16/2022,18:14:55,0.075
06/16/2022,18:14:56,0.085
06/16/2022,18:14:57,0.071
06/16/2022,18:14:58,0.075
06/16/2022,18:14:59,0.079
06/16/2022,18:15:00,0.079
06/16/2022,18:15:01,0.073
06/16/2022,18:15:02,0.083
06/16/2022,18:15:03,0.078
06/16/2022,18:15:04,0.082
06/16/2022,18:15:05,0.077
06/16/2022,18:15:06,0.092
06/16/2022,18:15:07,0.082
06/16/2022,18:15:08,0.081
06/16/2022,18:15:09,0.085
06/16/2022,18:15:10,0.080
06/16/2022,18:15:11,0.084
06/16/2022,18:15:12,0.097
06/16/2022,18:15:13,0.079
06/16/2022,18:15:14,0.076
06/16/2022,18:15:15,0.075
06/16/2022,18:15:16,0.075
06/16/2022,18:15:17,0.076
06/16/2022,18:15:18,0.072
06/16/2022,18:15:19,0.081
06/16/2022,18:15:20,0.091
06/16/2022,18:15:21,0.080
06/16/2022,18:15:22,0.074
06/16/2022,18:15:23,0.081
06/16/2022,18:15:24,0.076
06/16/2022,18:15:25,0.079
06/16/2022,18:15:26,0.077
