TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 9
Start Date:,06/16/2022
Start Time:,05:49:52
Duration (dd:hh:mm:ss):,00:00:21:18
Log Interval (mm:ss):,00:01
Number of points:,1278
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.047
,Minimum:,0.024
,Time of Minimum:,06:08:38
,Date of Minimum:,06/16/2022
,Maximum:,0.142
,Time of Maximum:,06:11:02
,Date of Maximum:,06/16/2022

,TWA:,0.002

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/16/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/16/2022,17:49:53,0.094
06/16/2022,17:49:54,0.103
06/16/2022,17:49:55,0.090
06/16/2022,17:49:56,0.094
06/16/2022,17:49:57,0.109
06/16/2022,17:49:58,0.109
06/16/2022,17:49:59,0.101
06/16/2022,17:50:00,0.096
06/16/2022,17:50:01,0.105
06/16/2022,17:50:02,0.099
06/16/2022,17:50:03,0.110
06/16/2022,17:50:04,0.099
06/16/2022,17:50:05,0.094
06/16/2022,17:50:06,0.108
06/16/2022,17:50:07,0.108
06/16/2022,17:50:08,0.110
06/16/2022,17:50:09,0.103
06/16/2022,17:50:10,0.101
06/16/2022,17:50:11,0.100
06/16/2022,17:50:12,0.089
06/16/2022,17:50:13,0.103
06/16/2022,17:50:14,0.095
06/16/2022,17:50:15,0.110
06/16/2022,17:50:16,0.099
06/16/2022,17:50:17,0.103
06/16/2022,17:50:18,0.096
06/16/2022,17:50:19,0.088
06/16/2022,17:50:20,0.097
06/16/2022,17:50:21,0.100
06/16/2022,17:50:22,0.091
06/16/2022,17:50:23,0.092
06/16/2022,17:50:24,0.082
06/16/2022,17:50:25,0.080
06/16/2022,17:50:26,0.091
06/16/2022,17:50:27,0.079
06/16/2022,17:50:28,0.095
06/16/2022,17:50:29,0.096
06/16/2022,17:50:30,0.085
06/16/2022,17:50:31,0.090
06/16/2022,17:50:32,0.089
06/16/2022,17:50:33,0.092
06/16/2022,17:50:34,0.086
06/16/2022,17:50:35,0.082
06/16/2022,17:50:36,0.104
06/16/2022,17:50:37,0.091
06/16/2022,17:50:38,0.077
06/16/2022,17:50:39,0.089
06/16/2022,17:50:40,0.076
06/16/2022,17:50:41,0.077
06/16/2022,17:50:42,0.082
06/16/2022,17:50:43,0.083
06/16/2022,17:50:44,0.080
06/16/2022,17:50:45,0.123
06/16/2022,17:50:46,0.079
06/16/2022,17:50:47,0.073
06/16/2022,17:50:48,0.080
06/16/2022,17:50:49,0.067
06/16/2022,17:50:50,0.075
06/16/2022,17:50:51,0.076
06/16/2022,17:50:52,0.078
06/16/2022,17:50:53,0.062
06/16/2022,17:50:54,0.065
06/16/2022,17:50:55,0.074
06/16/2022,17:50:56,0.075
06/16/2022,17:50:57,0.076
06/16/2022,17:50:58,0.065
06/16/2022,17:50:59,0.062
06/16/2022,17:51:00,0.070
06/16/2022,17:51:01,0.065
06/16/2022,17:51:02,0.078
06/16/2022,17:51:03,0.071
06/16/2022,17:51:04,0.061
06/16/2022,17:51:05,0.067
06/16/2022,17:51:06,0.064
06/16/2022,17:51:07,0.071
06/16/2022,17:51:08,0.062
06/16/2022,17:51:09,0.067
06/16/2022,17:51:10,0.070
06/16/2022,17:51:11,0.071
06/16/2022,17:51:12,0.068
06/16/2022,17:51:13,0.068
06/16/2022,17:51:14,0.058
06/16/2022,17:51:15,0.071
06/16/2022,17:51:16,0.069
06/16/2022,17:51:17,0.071
06/16/2022,17:51:18,0.066
06/16/2022,17:51:19,0.063
06/16/2022,17:51:20,0.075
06/16/2022,17:51:21,0.070
06/16/2022,17:51:22,0.069
06/16/2022,17:51:23,0.077
06/16/2022,17:51:24,0.071
06/16/2022,17:51:25,0.070
06/16/2022,17:51:26,0.062
06/16/2022,17:51:27,0.068
06/16/2022,17:51:28,0.061
06/16/2022,17:51:29,0.062
06/16/2022,17:51:30,0.057
06/16/2022,17:51:31,0.055
06/16/2022,17:51:32,0.062
06/16/2022,17:51:33,0.065
06/16/2022,17:51:34,0.061
06/16/2022,17:51:35,0.073
06/16/2022,17:51:36,0.062
06/16/2022,17:51:37,0.065
06/16/2022,17:51:38,0.069
06/16/2022,17:51:39,0.064
06/16/2022,17:51:40,0.062
06/16/2022,17:51:41,0.068
06/16/2022,17:51:42,0.062
06/16/2022,17:51:43,0.063
06/16/2022,17:51:44,0.067
06/16/2022,17:51:45,0.062
06/16/2022,17:51:46,0.061
06/16/2022,17:51:47,0.065
06/16/2022,17:51:48,0.066
06/16/2022,17:51:49,0.060
06/16/2022,17:51:50,0.066
06/16/2022,17:51:51,0.068
06/16/2022,17:51:52,0.066
06/16/2022,17:51:53,0.068
06/16/2022,17:51:54,0.061
06/16/2022,17:51:55,0.064
06/16/2022,17:51:56,0.060
06/16/2022,17:51:57,0.061
06/16/2022,17:51:58,0.067
06/16/2022,17:51:59,0.065
06/16/2022,17:52:00,0.061
06/16/2022,17:52:01,0.059
06/16/2022,17:52:02,0.063
06/16/2022,17:52:03,0.061
06/16/2022,17:52:04,0.062
06/16/2022,17:52:05,0.070
06/16/2022,17:52:06,0.064
06/16/2022,17:52:07,0.063
06/16/2022,17:52:08,0.051
06/16/2022,17:52:09,0.055
06/16/2022,17:52:10,0.068
06/16/2022,17:52:11,0.059
06/16/2022,17:52:12,0.068
06/16/2022,17:52:13,0.057
06/16/2022,17:52:14,0.061
06/16/2022,17:52:15,0.056
06/16/2022,17:52:16,0.057
06/16/2022,17:52:17,0.056
06/16/2022,17:52:18,0.057
06/16/2022,17:52:19,0.057
06/16/2022,17:52:20,0.054
06/16/2022,17:52:21,0.064
06/16/2022,17:52:22,0.059
06/16/2022,17:52:23,0.067
06/16/2022,17:52:24,0.057
06/16/2022,17:52:25,0.056
06/16/2022,17:52:26,0.060
06/16/2022,17:52:27,0.058
06/16/2022,17:52:28,0.060
06/16/2022,17:52:29,0.053
06/16/2022,17:52:30,0.058
06/16/2022,17:52:31,0.055
06/16/2022,17:52:32,0.060
06/16/2022,17:52:33,0.054
06/16/2022,17:52:34,0.066
06/16/2022,17:52:35,0.055
06/16/2022,17:52:36,0.065
06/16/2022,17:52:37,0.062
06/16/2022,17:52:38,0.060
06/16/2022,17:52:39,0.065
06/16/2022,17:52:40,0.066
06/16/2022,17:52:41,0.060
06/16/2022,17:52:42,0.058
06/16/2022,17:52:43,0.061
06/16/2022,17:52:44,0.050
06/16/2022,17:52:45,0.060
06/16/2022,17:52:46,0.056
06/16/2022,17:52:47,0.055
06/16/2022,17:52:48,0.057
06/16/2022,17:52:49,0.057
06/16/2022,17:52:50,0.061
06/16/2022,17:52:51,0.062
06/16/2022,17:52:52,0.055
06/16/2022,17:52:53,0.056
06/16/2022,17:52:54,0.052
06/16/2022,17:52:55,0.066
06/16/2022,17:52:56,0.056
06/16/2022,17:52:57,0.051
06/16/2022,17:52:58,0.057
06/16/2022,17:52:59,0.053
06/16/2022,17:53:00,0.055
06/16/2022,17:53:01,0.055
06/16/2022,17:53:02,0.055
06/16/2022,17:53:03,0.052
06/16/2022,17:53:04,0.063
06/16/2022,17:53:05,0.047
06/16/2022,17:53:06,0.053
06/16/2022,17:53:07,0.057
