TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 11
Start Date:,06/19/2022
Start Time:,08:37:21
Duration (dd:hh:mm:ss):,00:00:49:27
Log Interval (mm:ss):,00:01
Number of points:,2967
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.060
,Minimum:,0.042
,Time of Minimum:,09:16:11
,Date of Minimum:,06/19/2022
,Maximum:,0.212
,Time of Maximum:,09:24:18
,Date of Maximum:,06/19/2022

,TWA:,0.006

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/18/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/19/2022,08:37:22,0.061
06/19/2022,08:37:23,0.066
06/19/2022,08:37:24,0.069
06/19/2022,08:37:25,0.065
06/19/2022,08:37:26,0.069
06/19/2022,08:37:27,0.067
06/19/2022,08:37:28,0.064
06/19/2022,08:37:29,0.067
06/19/2022,08:37:30,0.065
06/19/2022,08:37:31,0.079
06/19/2022,08:37:32,0.059
06/19/2022,08:37:33,0.062
06/19/2022,08:37:34,0.068
06/19/2022,08:37:35,0.068
06/19/2022,08:37:36,0.067
06/19/2022,08:37:37,0.068
06/19/2022,08:37:38,0.066
06/19/2022,08:37:39,0.062
06/19/2022,08:37:40,0.067
06/19/2022,08:37:41,0.079
06/19/2022,08:37:42,0.076
06/19/2022,08:37:43,0.064
06/19/2022,08:37:44,0.064
06/19/2022,08:37:45,0.062
06/19/2022,08:37:46,0.073
06/19/2022,08:37:47,0.087
06/19/2022,08:37:48,0.057
06/19/2022,08:37:49,0.063
06/19/2022,08:37:50,0.065
06/19/2022,08:37:51,0.070
06/19/2022,08:37:52,0.072
06/19/2022,08:37:53,0.075
06/19/2022,08:37:54,0.074
06/19/2022,08:37:55,0.076
06/19/2022,08:37:56,0.074
06/19/2022,08:37:57,0.079
06/19/2022,08:37:58,0.097
06/19/2022,08:37:59,0.069
06/19/2022,08:38:00,0.065
06/19/2022,08:38:01,0.069
06/19/2022,08:38:02,0.066
06/19/2022,08:38:03,0.071
06/19/2022,08:38:04,0.065
06/19/2022,08:38:05,0.061
06/19/2022,08:38:06,0.062
06/19/2022,08:38:07,0.064
06/19/2022,08:38:08,0.058
06/19/2022,08:38:09,0.072
06/19/2022,08:38:10,0.064
06/19/2022,08:38:11,0.071
06/19/2022,08:38:12,0.067
06/19/2022,08:38:13,0.082
06/19/2022,08:38:14,0.068
06/19/2022,08:38:15,0.061
06/19/2022,08:38:16,0.068
06/19/2022,08:38:17,0.071
06/19/2022,08:38:18,0.066
06/19/2022,08:38:19,0.064
06/19/2022,08:38:20,0.062
06/19/2022,08:38:21,0.073
06/19/2022,08:38:22,0.061
06/19/2022,08:38:23,0.068
06/19/2022,08:38:24,0.064
06/19/2022,08:38:25,0.102
06/19/2022,08:38:26,0.068
06/19/2022,08:38:27,0.062
06/19/2022,08:38:28,0.065
06/19/2022,08:38:29,0.063
06/19/2022,08:38:30,0.062
06/19/2022,08:38:31,0.057
06/19/2022,08:38:32,0.064
06/19/2022,08:38:33,0.070
06/19/2022,08:38:34,0.067
06/19/2022,08:38:35,0.069
06/19/2022,08:38:36,0.065
06/19/2022,08:38:37,0.066
06/19/2022,08:38:38,0.071
06/19/2022,08:38:39,0.066
06/19/2022,08:38:40,0.057
06/19/2022,08:38:41,0.068
06/19/2022,08:38:42,0.060
06/19/2022,08:38:43,0.065
06/19/2022,08:38:44,0.063
06/19/2022,08:38:45,0.062
06/19/2022,08:38:46,0.078
06/19/2022,08:38:47,0.064
06/19/2022,08:38:48,0.070
06/19/2022,08:38:49,0.066
06/19/2022,08:38:50,0.071
06/19/2022,08:38:51,0.062
06/19/2022,08:38:52,0.064
06/19/2022,08:38:53,0.065
06/19/2022,08:38:54,0.069
06/19/2022,08:38:55,0.061
06/19/2022,08:38:56,0.069
06/19/2022,08:38:57,0.070
06/19/2022,08:38:58,0.072
06/19/2022,08:38:59,0.065
06/19/2022,08:39:00,0.066
06/19/2022,08:39:01,0.069
06/19/2022,08:39:02,0.073
06/19/2022,08:39:03,0.062
06/19/2022,08:39:04,0.061
06/19/2022,08:39:05,0.069
06/19/2022,08:39:06,0.062
06/19/2022,08:39:07,0.065
06/19/2022,08:39:08,0.070
06/19/2022,08:39:09,0.064
06/19/2022,08:39:10,0.067
06/19/2022,08:39:11,0.073
06/19/2022,08:39:12,0.066
06/19/2022,08:39:13,0.073
06/19/2022,08:39:14,0.063
06/19/2022,08:39:15,0.061
06/19/2022,08:39:16,0.067
06/19/2022,08:39:17,0.064
06/19/2022,08:39:18,0.059
06/19/2022,08:39:19,0.064
06/19/2022,08:39:20,0.061
06/19/2022,08:39:21,0.062
06/19/2022,08:39:22,0.067
06/19/2022,08:39:23,0.065
06/19/2022,08:39:24,0.064
06/19/2022,08:39:25,0.069
06/19/2022,08:39:26,0.062
06/19/2022,08:39:27,0.067
06/19/2022,08:39:28,0.062
06/19/2022,08:39:29,0.064
06/19/2022,08:39:30,0.063
06/19/2022,08:39:31,0.068
06/19/2022,08:39:32,0.065
06/19/2022,08:39:33,0.074
06/19/2022,08:39:34,0.064
06/19/2022,08:39:35,0.078
06/19/2022,08:39:36,0.086
06/19/2022,08:39:37,0.087
06/19/2022,08:39:38,0.097
06/19/2022,08:39:39,0.129
06/19/2022,08:39:40,0.138
06/19/2022,08:39:41,0.142
06/19/2022,08:39:42,0.127
06/19/2022,08:39:43,0.113
06/19/2022,08:39:44,0.111
06/19/2022,08:39:45,0.116
06/19/2022,08:39:46,0.118
06/19/2022,08:39:47,0.101
06/19/2022,08:39:48,0.090
06/19/2022,08:39:49,0.086
06/19/2022,08:39:50,0.074
06/19/2022,08:39:51,0.079
06/19/2022,08:39:52,0.080
06/19/2022,08:39:53,0.064
06/19/2022,08:39:54,0.071
06/19/2022,08:39:55,0.070
06/19/2022,08:39:56,0.064
06/19/2022,08:39:57,0.064
06/19/2022,08:39:58,0.059
06/19/2022,08:39:59,0.066
06/19/2022,08:40:00,0.069
06/19/2022,08:40:01,0.081
06/19/2022,08:40:02,0.064
06/19/2022,08:40:03,0.069
06/19/2022,08:40:04,0.061
06/19/2022,08:40:05,0.062
06/19/2022,08:40:06,0.070
06/19/2022,08:40:07,0.064
06/19/2022,08:40:08,0.074
06/19/2022,08:40:09,0.062
06/19/2022,08:40:10,0.064
06/19/2022,08:40:11,0.068
06/19/2022,08:40:12,0.066
06/19/2022,08:40:13,0.082
06/19/2022,08:40:14,0.066
06/19/2022,08:40:15,0.068
06/19/2022,08:40:16,0.071
06/19/2022,08:40:17,0.077
06/19/2022,08:40:18,0.072
06/19/2022,08:40:19,0.064
06/19/2022,08:40:20,0.070
06/19/2022,08:40:21,0.065
06/19/2022,08:40:22,0.065
06/19/2022,08:40:23,0.070
06/19/2022,08:40:24,0.066
06/19/2022,08:40:25,0.071
06/19/2022,08:40:26,0.062
06/19/2022,08:40:27,0.062
06/19/2022,08:40:28,0.065
06/19/2022,08:40:29,0.061
06/19/2022,08:40:30,0.071
06/19/2022,08:40:31,0.070
06/19/2022,08:40:32,0.062
06/19/2022,08:40:33,0.069
06/19/2022,08:40:34,0.062
06/19/2022,08:40:35,0.067
06/19/2022,08:40:36,0.063
06/19/2022,08:40:37,0.062
06/19/2022,08:40:38,0.074
06/19/2022,08:40:39,0.079
06/19/2022,08:40:40,0.066
06/19/2022,08:40:41,0.071
06/19/2022,08:40:42,0.066
06/19/2022,08:40:43,0.070
06/19/2022,08:40:44,0.072
06/19/2022,08:40:45,0.060
06/19/2022,08:40:46,0.069
06/19/2022,08:40:47,0.064
06/19/2022,08:40:48,0.061
06/19/2022,08:40:49,0.067
06/19/2022,08:40:50,0.072
06/19/2022,08:40:51,0.069
06/19/2022,08:40:52,0.060
06/19/2022,08:40:53,0.061
06/19/2022,08:40:54,0.071
06/19/2022,08:40:55,0.067
06/19/2022,08:40:56,0.069
06/19/2022,08:40:57,0.063
06/19/2022,08:40:58,0.078
06/19/2022,08:40:59,0.069
06/19/2022,08:41:00,0.076
06/19/2022,08:41:01,0.056
06/19/2022,08:41:02,0.053
06/19/2022,08:41:03,0.064
06/19/2022,08:41:04,0.065
06/19/2022,08:41:05,0.064
06/19/2022,08:41:06,0.070
06/19/2022,08:41:07,0.065
06/19/2022,08:41:08,0.067
06/19/2022,08:41:09,0.070
06/19/2022,08:41:10,0.059
06/19/2022,08:41:11,0.060
06/19/2022,08:41:12,0.064
06/19/2022,08:41:13,0.058
06/19/2022,08:41:14,0.068
06/19/2022,08:41:15,0.062
06/19/2022,08:41:16,0.060
06/19/2022,08:41:17,0.060
06/19/2022,08:41:18,0.057
06/19/2022,08:41:19,0.061
06/19/2022,08:41:20,0.065
06/19/2022,08:41:21,0.056
06/19/2022,08:41:22,0.064
06/19/2022,08:41:23,0.058
06/19/2022,08:41:24,0.062
06/19/2022,08:41:25,0.063
06/19/2022,08:41:26,0.063
06/19/2022,08:41:27,0.052
06/19/2022,08:41:28,0.065
06/19/2022,08:41:29,0.054
06/19/2022,08:41:30,0.054
06/19/2022,08:41:31,0.062
06/19/2022,08:41:32,0.058
06/19/2022,08:41:33,0.060
06/19/2022,08:41:34,0.055
06/19/2022,08:41:35,0.063
06/19/2022,08:41:36,0.068
06/19/2022,08:41:37,0.056
06/19/2022,08:41:38,0.051
06/19/2022,08:41:39,0.061
06/19/2022,08:41:40,0.062
06/19/2022,08:41:41,0.064
06/19/2022,08:41:42,0.068
06/19/2022,08:41:43,0.073
06/19/2022,08:41:44,0.060
06/19/2022,08:41:45,0.060
06/19/2022,08:41:46,0.054
06/19/2022,08:41:47,0.061
06/19/2022,08:41:48,0.061
06/19/2022,08:41:49,0.060
06/19/2022,08:41:50,0.061
06/19/2022,08:41:51,0.062
06/19/2022,08:41:52,0.057
06/19/2022,08:41:53,0.059
06/19/2022,08:41:54,0.057
06/19/2022,08:41:55,0.071
06/19/2022,08:41:56,0.061
