TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 20
Start Date:,06/14/2022
Start Time:,05:31:44
Duration (dd:hh:mm:ss):,00:00:22:21
Log Interval (mm:ss):,00:01
Number of points:,1341
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.020
,Minimum:,0.011
,Time of Minimum:,05:34:56
,Date of Minimum:,06/14/2022
,Maximum:,0.050
,Time of Maximum:,05:43:01
,Date of Maximum:,06/14/2022

,TWA:,0.001

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/14/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/14/2022,17:31:45,0.023
06/14/2022,17:31:46,0.021
06/14/2022,17:31:47,0.022
06/14/2022,17:31:48,0.020
06/14/2022,17:31:49,0.019
06/14/2022,17:31:50,0.018
06/14/2022,17:31:51,0.022
06/14/2022,17:31:52,0.020
06/14/2022,17:31:53,0.022
06/14/2022,17:31:54,0.018
06/14/2022,17:31:55,0.023
06/14/2022,17:31:56,0.024
06/14/2022,17:31:57,0.023
06/14/2022,17:31:58,0.025
06/14/2022,17:31:59,0.020
06/14/2022,17:32:00,0.016
06/14/2022,17:32:01,0.017
06/14/2022,17:32:02,0.025
06/14/2022,17:32:03,0.016
06/14/2022,17:32:04,0.018
06/14/2022,17:32:05,0.017
06/14/2022,17:32:06,0.024
06/14/2022,17:32:07,0.018
06/14/2022,17:32:08,0.027
06/14/2022,17:32:09,0.023
06/14/2022,17:32:10,0.017
06/14/2022,17:32:11,0.018
06/14/2022,17:32:12,0.017
06/14/2022,17:32:13,0.018
06/14/2022,17:32:14,0.019
06/14/2022,17:32:15,0.017
06/14/2022,17:32:16,0.022
06/14/2022,17:32:17,0.019
06/14/2022,17:32:18,0.019
06/14/2022,17:32:19,0.020
06/14/2022,17:32:20,0.019
06/14/2022,17:32:21,0.022
06/14/2022,17:32:22,0.017
06/14/2022,17:32:23,0.020
06/14/2022,17:32:24,0.018
06/14/2022,17:32:25,0.021
06/14/2022,17:32:26,0.019
06/14/2022,17:32:27,0.017
06/14/2022,17:32:28,0.017
06/14/2022,17:32:29,0.019
06/14/2022,17:32:30,0.019
06/14/2022,17:32:31,0.017
06/14/2022,17:32:32,0.020
06/14/2022,17:32:33,0.018
06/14/2022,17:32:34,0.017
06/14/2022,17:32:35,0.016
06/14/2022,17:32:36,0.024
06/14/2022,17:32:37,0.018
06/14/2022,17:32:38,0.022
06/14/2022,17:32:39,0.016
06/14/2022,17:32:40,0.017
06/14/2022,17:32:41,0.016
06/14/2022,17:32:42,0.018
06/14/2022,17:32:43,0.017
06/14/2022,17:32:44,0.015
06/14/2022,17:32:45,0.015
06/14/2022,17:32:46,0.013
06/14/2022,17:32:47,0.020
06/14/2022,17:32:48,0.012
06/14/2022,17:32:49,0.014
06/14/2022,17:32:50,0.017
06/14/2022,17:32:51,0.024
06/14/2022,17:32:52,0.014
06/14/2022,17:32:53,0.019
06/14/2022,17:32:54,0.017
06/14/2022,17:32:55,0.016
06/14/2022,17:32:56,0.015
06/14/2022,17:32:57,0.020
06/14/2022,17:32:58,0.015
06/14/2022,17:32:59,0.020
06/14/2022,17:33:00,0.018
06/14/2022,17:33:01,0.019
06/14/2022,17:33:02,0.021
06/14/2022,17:33:03,0.019
06/14/2022,17:33:04,0.020
