TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 13
Start Date:,06/14/2022
Start Time:,07:34:23
Duration (dd:hh:mm:ss):,00:00:43:41
Log Interval (mm:ss):,00:01
Number of points:,2621
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.053
,Minimum:,0.039
,Time of Minimum:,08:17:52
,Date of Minimum:,06/14/2022
,Maximum:,0.147
,Time of Maximum:,07:35:10
,Date of Maximum:,06/14/2022

,TWA:,0.005

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/14/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/14/2022,07:34:24,0.055
06/14/2022,07:34:25,0.059
06/14/2022,07:34:26,0.066
06/14/2022,07:34:27,0.050
06/14/2022,07:34:28,0.053
06/14/2022,07:34:29,0.065
06/14/2022,07:34:30,0.055
06/14/2022,07:34:31,0.063
06/14/2022,07:34:32,0.058
06/14/2022,07:34:33,0.058
06/14/2022,07:34:34,0.051
06/14/2022,07:34:35,0.052
06/14/2022,07:34:36,0.048
06/14/2022,07:34:37,0.066
06/14/2022,07:34:38,0.054
06/14/2022,07:34:39,0.059
06/14/2022,07:34:40,0.060
06/14/2022,07:34:41,0.056
06/14/2022,07:34:42,0.059
06/14/2022,07:34:43,0.058
06/14/2022,07:34:44,0.057
06/14/2022,07:34:45,0.058
06/14/2022,07:34:46,0.067
06/14/2022,07:34:47,0.062
06/14/2022,07:34:48,0.052
06/14/2022,07:34:49,0.060
06/14/2022,07:34:50,0.065
06/14/2022,07:34:51,0.066
06/14/2022,07:34:52,0.065
06/14/2022,07:34:53,0.067
06/14/2022,07:34:54,0.059
06/14/2022,07:34:55,0.064
06/14/2022,07:34:56,0.056
06/14/2022,07:34:57,0.057
06/14/2022,07:34:58,0.060
06/14/2022,07:34:59,0.052
06/14/2022,07:35:00,0.055
06/14/2022,07:35:01,0.056
06/14/2022,07:35:02,0.050
06/14/2022,07:35:03,0.066
06/14/2022,07:35:04,0.056
06/14/2022,07:35:05,0.056
06/14/2022,07:35:06,0.062
06/14/2022,07:35:07,0.052
06/14/2022,07:35:08,0.064
06/14/2022,07:35:09,0.061
06/14/2022,07:35:10,0.147
06/14/2022,07:35:11,0.098
06/14/2022,07:35:12,0.092
06/14/2022,07:35:13,0.077
06/14/2022,07:35:14,0.066
06/14/2022,07:35:15,0.059
06/14/2022,07:35:16,0.062
06/14/2022,07:35:17,0.065
06/14/2022,07:35:18,0.069
06/14/2022,07:35:19,0.059
06/14/2022,07:35:20,0.054
06/14/2022,07:35:21,0.058
06/14/2022,07:35:22,0.063
06/14/2022,07:35:23,0.069
06/14/2022,07:35:24,0.060
06/14/2022,07:35:25,0.056
06/14/2022,07:35:26,0.050
06/14/2022,07:35:27,0.053
06/14/2022,07:35:28,0.063
06/14/2022,07:35:29,0.068
06/14/2022,07:35:30,0.057
06/14/2022,07:35:31,0.054
06/14/2022,07:35:32,0.053
06/14/2022,07:35:33,0.053
06/14/2022,07:35:34,0.053
06/14/2022,07:35:35,0.056
06/14/2022,07:35:36,0.050
06/14/2022,07:35:37,0.053
06/14/2022,07:35:38,0.061
06/14/2022,07:35:39,0.048
06/14/2022,07:35:40,0.051
06/14/2022,07:35:41,0.056
06/14/2022,07:35:42,0.057
06/14/2022,07:35:43,0.052
06/14/2022,07:35:44,0.052
