TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 23
Start Date:,06/14/2022
Start Time:,07:31:36
Duration (dd:hh:mm:ss):,00:00:41:04
Log Interval (mm:ss):,00:01
Number of points:,2464
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.025
,Minimum:,0.014
,Time of Minimum:,07:55:23
,Date of Minimum:,06/14/2022
,Maximum:,0.057
,Time of Maximum:,07:38:05
,Date of Maximum:,06/14/2022

,TWA:,0.002

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/14/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/14/2022,19:31:37,0.036
06/14/2022,19:31:38,0.029
06/14/2022,19:31:39,0.033
06/14/2022,19:31:40,0.035
06/14/2022,19:31:41,0.035
06/14/2022,19:31:42,0.039
06/14/2022,19:31:43,0.035
06/14/2022,19:31:44,0.030
06/14/2022,19:31:45,0.029
06/14/2022,19:31:46,0.026
06/14/2022,19:31:47,0.035
06/14/2022,19:31:48,0.028
06/14/2022,19:31:49,0.033
06/14/2022,19:31:50,0.032
06/14/2022,19:31:51,0.031
06/14/2022,19:31:52,0.034
06/14/2022,19:31:53,0.030
06/14/2022,19:31:54,0.032
06/14/2022,19:31:55,0.034
06/14/2022,19:31:56,0.031
06/14/2022,19:31:57,0.032
06/14/2022,19:31:58,0.028
06/14/2022,19:31:59,0.038
06/14/2022,19:32:00,0.046
06/14/2022,19:32:01,0.035
06/14/2022,19:32:02,0.035
06/14/2022,19:32:03,0.033
06/14/2022,19:32:04,0.044
06/14/2022,19:32:05,0.032
06/14/2022,19:32:06,0.038
06/14/2022,19:32:07,0.038
06/14/2022,19:32:08,0.031
06/14/2022,19:32:09,0.036
06/14/2022,19:32:10,0.036
06/14/2022,19:32:11,0.040
06/14/2022,19:32:12,0.033
06/14/2022,19:32:13,0.035
06/14/2022,19:32:14,0.036
06/14/2022,19:32:15,0.035
06/14/2022,19:32:16,0.037
06/14/2022,19:32:17,0.034
06/14/2022,19:32:18,0.036
06/14/2022,19:32:19,0.037
06/14/2022,19:32:20,0.032
06/14/2022,19:32:21,0.031
06/14/2022,19:32:22,0.042
06/14/2022,19:32:23,0.029
06/14/2022,19:32:24,0.034
06/14/2022,19:32:25,0.040
06/14/2022,19:32:26,0.037
06/14/2022,19:32:27,0.033
06/14/2022,19:32:28,0.034
06/14/2022,19:32:29,0.032
06/14/2022,19:32:30,0.032
06/14/2022,19:32:31,0.031
06/14/2022,19:32:32,0.029
06/14/2022,19:32:33,0.034
06/14/2022,19:32:34,0.039
06/14/2022,19:32:35,0.036
06/14/2022,19:32:36,0.028
06/14/2022,19:32:37,0.030
06/14/2022,19:32:38,0.033
06/14/2022,19:32:39,0.033
06/14/2022,19:32:40,0.029
06/14/2022,19:32:41,0.033
06/14/2022,19:32:42,0.032
06/14/2022,19:32:43,0.031
06/14/2022,19:32:44,0.033
06/14/2022,19:32:45,0.038
06/14/2022,19:32:46,0.031
06/14/2022,19:32:47,0.030
06/14/2022,19:32:48,0.033
06/14/2022,19:32:49,0.030
06/14/2022,19:32:50,0.033
06/14/2022,19:32:51,0.034
06/14/2022,19:32:52,0.034
06/14/2022,19:32:53,0.038
06/14/2022,19:32:54,0.040
06/14/2022,19:32:55,0.036
06/14/2022,19:32:56,0.046
06/14/2022,19:32:57,0.034
06/14/2022,19:32:58,0.034
06/14/2022,19:32:59,0.035
06/14/2022,19:33:00,0.057
06/14/2022,19:33:01,0.029
06/14/2022,19:33:02,0.029
06/14/2022,19:33:03,0.034
06/14/2022,19:33:04,0.036
06/14/2022,19:33:05,0.031
06/14/2022,19:33:06,0.030
06/14/2022,19:33:07,0.036
06/14/2022,19:33:08,0.031
06/14/2022,19:33:09,0.033
06/14/2022,19:33:10,0.032
06/14/2022,19:33:11,0.032
06/14/2022,19:33:12,0.034
06/14/2022,19:33:13,0.029
06/14/2022,19:33:14,0.031
06/14/2022,19:33:15,0.029
06/14/2022,19:33:16,0.028
06/14/2022,19:33:17,0.029
06/14/2022,19:33:18,0.041
06/14/2022,19:33:19,0.034
06/14/2022,19:33:20,0.035
06/14/2022,19:33:21,0.032
06/14/2022,19:33:22,0.032
06/14/2022,19:33:23,0.031
