TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 12
Start Date:,06/14/2022
Start Time:,07:10:50
Duration (dd:hh:mm:ss):,00:00:21:33
Log Interval (mm:ss):,00:01
Number of points:,1293
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.041
,Time of Minimum:,07:14:53
,Date of Minimum:,06/14/2022
,Maximum:,0.397
,Time of Maximum:,07:31:10
,Date of Maximum:,06/14/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/14/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/14/2022,07:10:51,0.058
06/14/2022,07:10:52,0.045
06/14/2022,07:10:53,0.045
06/14/2022,07:10:54,0.054
06/14/2022,07:10:55,0.052
06/14/2022,07:10:56,0.046
06/14/2022,07:10:57,0.049
06/14/2022,07:10:58,0.051
06/14/2022,07:10:59,0.049
06/14/2022,07:11:00,0.048
06/14/2022,07:11:01,0.051
06/14/2022,07:11:02,0.052
06/14/2022,07:11:03,0.047
06/14/2022,07:11:04,0.052
06/14/2022,07:11:05,0.055
06/14/2022,07:11:06,0.053
06/14/2022,07:11:07,0.050
06/14/2022,07:11:08,0.060
06/14/2022,07:11:09,0.052
06/14/2022,07:11:10,0.059
06/14/2022,07:11:11,0.058
06/14/2022,07:11:12,0.054
06/14/2022,07:11:13,0.071
06/14/2022,07:11:14,0.056
06/14/2022,07:11:15,0.045
06/14/2022,07:11:16,0.049
06/14/2022,07:11:17,0.058
06/14/2022,07:11:18,0.057
06/14/2022,07:11:19,0.049
06/14/2022,07:11:20,0.060
06/14/2022,07:11:21,0.058
06/14/2022,07:11:22,0.054
06/14/2022,07:11:23,0.064
06/14/2022,07:11:24,0.053
06/14/2022,07:11:25,0.056
06/14/2022,07:11:26,0.051
06/14/2022,07:11:27,0.057
06/14/2022,07:11:28,0.053
06/14/2022,07:11:29,0.056
06/14/2022,07:11:30,0.044
06/14/2022,07:11:31,0.054
06/14/2022,07:11:32,0.053
06/14/2022,07:11:33,0.046
06/14/2022,07:11:34,0.048
06/14/2022,07:11:35,0.054
06/14/2022,07:11:36,0.051
06/14/2022,07:11:37,0.048
06/14/2022,07:11:38,0.054
06/14/2022,07:11:39,0.051
06/14/2022,07:11:40,0.047
06/14/2022,07:11:41,0.056
06/14/2022,07:11:42,0.048
06/14/2022,07:11:43,0.056
06/14/2022,07:11:44,0.053
06/14/2022,07:11:45,0.051
06/14/2022,07:11:46,0.052
06/14/2022,07:11:47,0.054
06/14/2022,07:11:48,0.047
06/14/2022,07:11:49,0.053
06/14/2022,07:11:50,0.052
06/14/2022,07:11:51,0.048
06/14/2022,07:11:52,0.052
06/14/2022,07:11:53,0.060
06/14/2022,07:11:54,0.053
06/14/2022,07:11:55,0.052
06/14/2022,07:11:56,0.060
06/14/2022,07:11:57,0.042
06/14/2022,07:11:58,0.054
06/14/2022,07:11:59,0.047
06/14/2022,07:12:00,0.047
06/14/2022,07:12:01,0.052
06/14/2022,07:12:02,0.060
06/14/2022,07:12:03,0.055
06/14/2022,07:12:04,0.053
06/14/2022,07:12:05,0.043
06/14/2022,07:12:06,0.055
06/14/2022,07:12:07,0.054
06/14/2022,07:12:08,0.044
06/14/2022,07:12:09,0.052
06/14/2022,07:12:10,0.049
06/14/2022,07:12:11,0.051
06/14/2022,07:12:12,0.049
06/14/2022,07:12:13,0.049
06/14/2022,07:12:14,0.047
06/14/2022,07:12:15,0.055
06/14/2022,07:12:16,0.053
06/14/2022,07:12:17,0.043
06/14/2022,07:12:18,0.050
06/14/2022,07:12:19,0.048
06/14/2022,07:12:20,0.053
06/14/2022,07:12:21,0.056
06/14/2022,07:12:22,0.048
06/14/2022,07:12:23,0.048
06/14/2022,07:12:24,0.046
06/14/2022,07:12:25,0.055
06/14/2022,07:12:26,0.056
06/14/2022,07:12:27,0.049
06/14/2022,07:12:28,0.056
06/14/2022,07:12:29,0.049
06/14/2022,07:12:30,0.051
06/14/2022,07:12:31,0.051
06/14/2022,07:12:32,0.049
06/14/2022,07:12:33,0.052
06/14/2022,07:12:34,0.054
06/14/2022,07:12:35,0.048
06/14/2022,07:12:36,0.047
06/14/2022,07:12:37,0.054
06/14/2022,07:12:38,0.055
06/14/2022,07:12:39,0.057
06/14/2022,07:12:40,0.056
06/14/2022,07:12:41,0.051
06/14/2022,07:12:42,0.051
06/14/2022,07:12:43,0.051
06/14/2022,07:12:44,0.065
06/14/2022,07:12:45,0.058
06/14/2022,07:12:46,0.055
06/14/2022,07:12:47,0.053
06/14/2022,07:12:48,0.058
06/14/2022,07:12:49,0.052
06/14/2022,07:12:50,0.055
06/14/2022,07:12:51,0.048
06/14/2022,07:12:52,0.049
06/14/2022,07:12:53,0.062
06/14/2022,07:12:54,0.057
06/14/2022,07:12:55,0.049
06/14/2022,07:12:56,0.049
06/14/2022,07:12:57,0.059
06/14/2022,07:12:58,0.042
06/14/2022,07:12:59,0.057
06/14/2022,07:13:00,0.051
06/14/2022,07:13:01,0.059
06/14/2022,07:13:02,0.055
06/14/2022,07:13:03,0.051
06/14/2022,07:13:04,0.063
06/14/2022,07:13:05,0.059
06/14/2022,07:13:06,0.057
06/14/2022,07:13:07,0.058
06/14/2022,07:13:08,0.063
06/14/2022,07:13:09,0.050
06/14/2022,07:13:10,0.051
06/14/2022,07:13:11,0.051
06/14/2022,07:13:12,0.066
06/14/2022,07:13:13,0.066
06/14/2022,07:13:14,0.057
06/14/2022,07:13:15,0.047
06/14/2022,07:13:16,0.062
06/14/2022,07:13:17,0.066
06/14/2022,07:13:18,0.050
06/14/2022,07:13:19,0.051
06/14/2022,07:13:20,0.052
06/14/2022,07:13:21,0.052
06/14/2022,07:13:22,0.051
06/14/2022,07:13:23,0.050
06/14/2022,07:13:24,0.054
06/14/2022,07:13:25,0.050
06/14/2022,07:13:26,0.044
06/14/2022,07:13:27,0.047
06/14/2022,07:13:28,0.044
06/14/2022,07:13:29,0.064
06/14/2022,07:13:30,0.049
06/14/2022,07:13:31,0.050
06/14/2022,07:13:32,0.049
06/14/2022,07:13:33,0.051
06/14/2022,07:13:34,0.050
06/14/2022,07:13:35,0.047
06/14/2022,07:13:36,0.055
06/14/2022,07:13:37,0.054
06/14/2022,07:13:38,0.055
06/14/2022,07:13:39,0.046
06/14/2022,07:13:40,0.047
06/14/2022,07:13:41,0.052
06/14/2022,07:13:42,0.043
06/14/2022,07:13:43,0.068
06/14/2022,07:13:44,0.049
