TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 3
Start Date:,06/13/2022
Start Time:,12:02:44
Duration (dd:hh:mm:ss):,00:00:11:25
Log Interval (mm:ss):,00:01
Number of points:,685
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.041
,Minimum:,0.026
,Time of Minimum:,12:12:34
,Date of Minimum:,06/13/2022
,Maximum:,0.080
,Time of Maximum:,12:13:19
,Date of Maximum:,06/13/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
06/13/2022,12:05:30,0.045
06/13/2022,12:05:31,0.044
06/13/2022,12:05:32,0.045
06/13/2022,12:05:33,0.041
06/13/2022,12:05:34,0.048
06/13/2022,12:05:35,0.036
06/13/2022,12:05:36,0.047
06/13/2022,12:05:37,0.042
06/13/2022,12:05:38,0.045
06/13/2022,12:05:39,0.049
06/13/2022,12:05:40,0.042
06/13/2022,12:05:41,0.041
06/13/2022,12:05:42,0.038
06/13/2022,12:05:43,0.051
06/13/2022,12:05:44,0.051
06/13/2022,12:05:45,0.043
06/13/2022,12:05:46,0.045
06/13/2022,12:05:47,0.044
06/13/2022,12:05:48,0.035
06/13/2022,12:05:49,0.036
06/13/2022,12:05:50,0.041
06/13/2022,12:05:51,0.044
06/13/2022,12:05:52,0.046
06/13/2022,12:05:53,0.038
06/13/2022,12:05:54,0.040
06/13/2022,12:05:55,0.040
06/13/2022,12:05:56,0.041
06/13/2022,12:05:57,0.038
06/13/2022,12:05:58,0.039
06/13/2022,12:05:59,0.045
06/13/2022,12:06:00,0.042
06/13/2022,12:06:01,0.046
06/13/2022,12:06:02,0.043
06/13/2022,12:06:03,0.040
06/13/2022,12:06:04,0.046
06/13/2022,12:06:05,0.039
06/13/2022,12:06:06,0.040
06/13/2022,12:06:07,0.043
06/13/2022,12:06:08,0.045
06/13/2022,12:06:09,0.042
06/13/2022,12:06:10,0.038
06/13/2022,12:06:11,0.035
06/13/2022,12:06:12,0.036
06/13/2022,12:06:13,0.041
06/13/2022,12:06:14,0.045
06/13/2022,12:06:15,0.047
06/13/2022,12:06:16,0.037
06/13/2022,12:06:17,0.046
06/13/2022,12:06:18,0.036
06/13/2022,12:06:19,0.036
06/13/2022,12:06:20,0.037
06/13/2022,12:06:21,0.047
