TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 1
Start Date:,06/13/2022
Start Time:,09:04:06
Duration (dd:hh:mm:ss):,00:00:14:57
Log Interval (mm:ss):,00:01
Number of points:,897
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.044
,Time of Minimum:,09:12:01
,Date of Minimum:,06/13/2022
,Maximum:,0.104
,Time of Maximum:,09:17:17
,Date of Maximum:,06/13/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
06/13/2022,09:06:52,0.059
06/13/2022,09:06:53,0.051
06/13/2022,09:06:54,0.052
06/13/2022,09:06:55,0.059
06/13/2022,09:06:56,0.074
06/13/2022,09:06:57,0.057
06/13/2022,09:06:58,0.061
06/13/2022,09:06:59,0.054
06/13/2022,09:07:00,0.067
06/13/2022,09:07:01,0.054
06/13/2022,09:07:02,0.059
06/13/2022,09:07:03,0.055
06/13/2022,09:07:04,0.053
06/13/2022,09:07:05,0.075
06/13/2022,09:07:06,0.051
06/13/2022,09:07:07,0.055
06/13/2022,09:07:08,0.053
06/13/2022,09:07:09,0.054
06/13/2022,09:07:10,0.056
06/13/2022,09:07:11,0.064
06/13/2022,09:07:12,0.052
06/13/2022,09:07:13,0.063
06/13/2022,09:07:14,0.057
06/13/2022,09:07:15,0.052
06/13/2022,09:07:16,0.062
06/13/2022,09:07:17,0.049
06/13/2022,09:07:18,0.055
06/13/2022,09:07:19,0.053
06/13/2022,09:07:20,0.053
06/13/2022,09:07:21,0.057
06/13/2022,09:07:22,0.056
06/13/2022,09:07:23,0.051
06/13/2022,09:07:24,0.051
06/13/2022,09:07:25,0.052
06/13/2022,09:07:26,0.056
06/13/2022,09:07:27,0.056
06/13/2022,09:07:28,0.052
06/13/2022,09:07:29,0.054
06/13/2022,09:07:30,0.056
06/13/2022,09:07:31,0.056
06/13/2022,09:07:32,0.058
06/13/2022,09:07:33,0.052
06/13/2022,09:07:34,0.066
06/13/2022,09:07:35,0.068
06/13/2022,09:07:36,0.061
06/13/2022,09:07:37,0.056
06/13/2022,09:07:38,0.059
06/13/2022,09:07:39,0.056
06/13/2022,09:07:40,0.054
06/13/2022,09:07:41,0.055
06/13/2022,09:07:42,0.054
06/13/2022,09:07:43,0.063
06/13/2022,09:07:44,0.051
06/13/2022,09:07:45,0.048
06/13/2022,09:07:46,0.053
06/13/2022,09:07:47,0.060
06/13/2022,09:07:48,0.054
06/13/2022,09:07:49,0.055
06/13/2022,09:07:50,0.056
06/13/2022,09:07:51,0.052
06/13/2022,09:07:52,0.049
06/13/2022,09:07:53,0.057
06/13/2022,09:07:54,0.055
06/13/2022,09:07:55,0.053
06/13/2022,09:07:56,0.053
06/13/2022,09:07:57,0.055
06/13/2022,09:07:58,0.056
