TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 6
Start Date:,06/13/2022
Start Time:,12:58:34
Duration (dd:hh:mm:ss):,00:00:18:29
Log Interval (mm:ss):,00:01
Number of points:,1109
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.041
,Time of Minimum:,12:59:20
,Date of Minimum:,06/13/2022
,Maximum:,0.244
,Time of Maximum:,01:01:59
,Date of Maximum:,06/13/2022

,TWA:,0.002

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,12:58:35,0.055
06/13/2022,12:58:36,0.056
06/13/2022,12:58:37,0.047
06/13/2022,12:58:38,0.043
06/13/2022,12:58:39,0.045
06/13/2022,12:58:40,0.057
06/13/2022,12:58:41,0.046
06/13/2022,12:58:42,0.050
06/13/2022,12:58:43,0.044
06/13/2022,12:58:44,0.051
06/13/2022,12:58:45,0.045
06/13/2022,12:58:46,0.053
06/13/2022,12:58:47,0.051
06/13/2022,12:58:48,0.051
06/13/2022,12:58:49,0.059
06/13/2022,12:58:50,0.057
06/13/2022,12:58:51,0.052
06/13/2022,12:58:52,0.048
06/13/2022,12:58:53,0.052
06/13/2022,12:58:54,0.051
06/13/2022,12:58:55,0.048
06/13/2022,12:58:56,0.058
06/13/2022,12:58:57,0.051
06/13/2022,12:58:58,0.055
06/13/2022,12:58:59,0.048
06/13/2022,12:59:00,0.047
06/13/2022,12:59:01,0.052
06/13/2022,12:59:02,0.048
06/13/2022,12:59:03,0.049
06/13/2022,12:59:04,0.053
06/13/2022,12:59:05,0.053
06/13/2022,12:59:06,0.060
06/13/2022,12:59:07,0.051
06/13/2022,12:59:08,0.050
06/13/2022,12:59:09,0.050
06/13/2022,12:59:10,0.047
06/13/2022,12:59:11,0.050
06/13/2022,12:59:12,0.048
06/13/2022,12:59:13,0.049
06/13/2022,12:59:14,0.047
06/13/2022,12:59:15,0.048
06/13/2022,12:59:16,0.047
06/13/2022,12:59:17,0.047
06/13/2022,12:59:18,0.049
06/13/2022,12:59:19,0.047
06/13/2022,12:59:20,0.041
06/13/2022,12:59:21,0.048
06/13/2022,12:59:22,0.045
06/13/2022,12:59:23,0.049
06/13/2022,12:59:24,0.052
06/13/2022,12:59:25,0.051
06/13/2022,12:59:26,0.055
06/13/2022,12:59:27,0.052
06/13/2022,12:59:28,0.049
06/13/2022,12:59:29,0.046
06/13/2022,12:59:30,0.046
06/13/2022,12:59:31,0.047
06/13/2022,12:59:32,0.047
06/13/2022,12:59:33,0.052
06/13/2022,12:59:34,0.051
06/13/2022,12:59:35,0.048
06/13/2022,12:59:36,0.053
06/13/2022,12:59:37,0.051
06/13/2022,12:59:38,0.052
06/13/2022,12:59:39,0.047
06/13/2022,12:59:40,0.047
06/13/2022,12:59:41,0.050
06/13/2022,12:59:42,0.059
06/13/2022,12:59:43,0.049
06/13/2022,12:59:44,0.059
06/13/2022,12:59:45,0.055
06/13/2022,12:59:46,0.045
06/13/2022,12:59:47,0.045
06/13/2022,12:59:48,0.059
06/13/2022,12:59:49,0.060
06/13/2022,12:59:50,0.051
06/13/2022,12:59:51,0.053
06/13/2022,12:59:52,0.058
06/13/2022,12:59:53,0.055
06/13/2022,12:59:54,0.047
06/13/2022,12:59:55,0.047
06/13/2022,12:59:56,0.049
06/13/2022,12:59:57,0.056
06/13/2022,12:59:58,0.052
06/13/2022,12:59:59,0.048
06/13/2022,13:00:00,0.063
06/13/2022,13:00:01,0.061
06/13/2022,13:00:02,0.051
06/13/2022,13:00:03,0.053
06/13/2022,13:00:04,0.060
06/13/2022,13:00:05,0.054
06/13/2022,13:00:06,0.049
06/13/2022,13:00:07,0.049
06/13/2022,13:00:08,0.047
06/13/2022,13:00:09,0.055
06/13/2022,13:00:10,0.055
06/13/2022,13:00:11,0.051
06/13/2022,13:00:12,0.059
06/13/2022,13:00:13,0.053
06/13/2022,13:00:14,0.047
06/13/2022,13:00:15,0.055
06/13/2022,13:00:16,0.053
06/13/2022,13:00:17,0.056
06/13/2022,13:00:18,0.056
06/13/2022,13:00:19,0.058
06/13/2022,13:00:20,0.047
06/13/2022,13:00:21,0.048
06/13/2022,13:00:22,0.055
06/13/2022,13:00:23,0.046
06/13/2022,13:00:24,0.046
06/13/2022,13:00:25,0.054
06/13/2022,13:00:26,0.055
06/13/2022,13:00:27,0.050
06/13/2022,13:00:28,0.050
06/13/2022,13:00:29,0.047
06/13/2022,13:00:30,0.064
06/13/2022,13:00:31,0.051
06/13/2022,13:00:32,0.063
06/13/2022,13:00:33,0.046
06/13/2022,13:00:34,0.048
06/13/2022,13:00:35,0.053
06/13/2022,13:00:36,0.056
06/13/2022,13:00:37,0.048
06/13/2022,13:00:38,0.050
06/13/2022,13:00:39,0.047
06/13/2022,13:00:40,0.046
06/13/2022,13:00:41,0.052
06/13/2022,13:00:42,0.058
06/13/2022,13:00:43,0.046
06/13/2022,13:00:44,0.047
06/13/2022,13:00:45,0.052
06/13/2022,13:00:46,0.050
06/13/2022,13:00:47,0.048
06/13/2022,13:00:48,0.053
06/13/2022,13:00:49,0.048
06/13/2022,13:00:50,0.050
06/13/2022,13:00:51,0.049
06/13/2022,13:00:52,0.055
06/13/2022,13:00:53,0.046
06/13/2022,13:00:54,0.044
06/13/2022,13:00:55,0.052
06/13/2022,13:00:56,0.059
06/13/2022,13:00:57,0.048
06/13/2022,13:00:58,0.055
06/13/2022,13:00:59,0.045
06/13/2022,13:01:00,0.050
06/13/2022,13:01:01,0.060
06/13/2022,13:01:02,0.045
06/13/2022,13:01:03,0.051
06/13/2022,13:01:04,0.053
06/13/2022,13:01:05,0.051
06/13/2022,13:01:06,0.046
06/13/2022,13:01:07,0.056
06/13/2022,13:01:08,0.045
06/13/2022,13:01:09,0.050
06/13/2022,13:01:10,0.058
06/13/2022,13:01:11,0.051
06/13/2022,13:01:12,0.050
06/13/2022,13:01:13,0.048
06/13/2022,13:01:14,0.056
06/13/2022,13:01:15,0.053
06/13/2022,13:01:16,0.051
06/13/2022,13:01:17,0.046
06/13/2022,13:01:18,0.049
06/13/2022,13:01:19,0.056
06/13/2022,13:01:20,0.059
06/13/2022,13:01:21,0.048
06/13/2022,13:01:22,0.045
06/13/2022,13:01:23,0.049
06/13/2022,13:01:24,0.051
06/13/2022,13:01:25,0.055
06/13/2022,13:01:26,0.046
06/13/2022,13:01:27,0.056
06/13/2022,13:01:28,0.060
