TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 11
Start Date:,06/13/2022
Start Time:,07:30:54
Duration (dd:hh:mm:ss):,00:00:28:07
Log Interval (mm:ss):,00:01
Number of points:,1687
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.063
,Minimum:,0.047
,Time of Minimum:,07:47:44
,Date of Minimum:,06/13/2022
,Maximum:,0.090
,Time of Maximum:,07:42:13
,Date of Maximum:,06/13/2022

,TWA:,0.004

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,19:30:55,0.064
06/13/2022,19:30:56,0.056
06/13/2022,19:30:57,0.062
06/13/2022,19:30:58,0.053
06/13/2022,19:30:59,0.055
06/13/2022,19:31:00,0.054
06/13/2022,19:31:01,0.061
06/13/2022,19:31:02,0.073
06/13/2022,19:31:03,0.065
06/13/2022,19:31:04,0.059
06/13/2022,19:31:05,0.059
06/13/2022,19:31:06,0.063
06/13/2022,19:31:07,0.068
06/13/2022,19:31:08,0.059
06/13/2022,19:31:09,0.063
06/13/2022,19:31:10,0.060
06/13/2022,19:31:11,0.065
06/13/2022,19:31:12,0.058
06/13/2022,19:31:13,0.067
06/13/2022,19:31:14,0.064
06/13/2022,19:31:15,0.059
06/13/2022,19:31:16,0.057
06/13/2022,19:31:17,0.061
06/13/2022,19:31:18,0.068
06/13/2022,19:31:19,0.058
06/13/2022,19:31:20,0.067
06/13/2022,19:31:21,0.055
06/13/2022,19:31:22,0.054
06/13/2022,19:31:23,0.059
06/13/2022,19:31:24,0.064
06/13/2022,19:31:25,0.064
06/13/2022,19:31:26,0.066
06/13/2022,19:31:27,0.071
06/13/2022,19:31:28,0.059
06/13/2022,19:31:29,0.063
06/13/2022,19:31:30,0.064
06/13/2022,19:31:31,0.063
06/13/2022,19:31:32,0.063
06/13/2022,19:31:33,0.057
06/13/2022,19:31:34,0.066
06/13/2022,19:31:35,0.062
06/13/2022,19:31:36,0.063
06/13/2022,19:31:37,0.060
06/13/2022,19:31:38,0.066
06/13/2022,19:31:39,0.063
06/13/2022,19:31:40,0.060
06/13/2022,19:31:41,0.063
06/13/2022,19:31:42,0.071
06/13/2022,19:31:43,0.065
06/13/2022,19:31:44,0.059
06/13/2022,19:31:45,0.060
06/13/2022,19:31:46,0.086
06/13/2022,19:31:47,0.063
06/13/2022,19:31:48,0.059
06/13/2022,19:31:49,0.061
06/13/2022,19:31:50,0.058
06/13/2022,19:31:51,0.057
06/13/2022,19:31:52,0.055
06/13/2022,19:31:53,0.067
06/13/2022,19:31:54,0.066
06/13/2022,19:31:55,0.060
06/13/2022,19:31:56,0.069
06/13/2022,19:31:57,0.063
06/13/2022,19:31:58,0.062
06/13/2022,19:31:59,0.060
06/13/2022,19:32:00,0.058
06/13/2022,19:32:01,0.062
06/13/2022,19:32:02,0.063
06/13/2022,19:32:03,0.057
06/13/2022,19:32:04,0.064
06/13/2022,19:32:05,0.055
06/13/2022,19:32:06,0.059
06/13/2022,19:32:07,0.072
06/13/2022,19:32:08,0.070
06/13/2022,19:32:09,0.059
06/13/2022,19:32:10,0.057
06/13/2022,19:32:11,0.062
06/13/2022,19:32:12,0.084
06/13/2022,19:32:13,0.061
06/13/2022,19:32:14,0.052
06/13/2022,19:32:15,0.059
06/13/2022,19:32:16,0.065
06/13/2022,19:32:17,0.064
06/13/2022,19:32:18,0.062
06/13/2022,19:32:19,0.057
06/13/2022,19:32:20,0.059
06/13/2022,19:32:21,0.058
06/13/2022,19:32:22,0.059
06/13/2022,19:32:23,0.060
06/13/2022,19:32:24,0.059
06/13/2022,19:32:25,0.063
06/13/2022,19:32:26,0.071
06/13/2022,19:32:27,0.062
06/13/2022,19:32:28,0.060
06/13/2022,19:32:29,0.066
06/13/2022,19:32:30,0.055
06/13/2022,19:32:31,0.063
06/13/2022,19:32:32,0.060
06/13/2022,19:32:33,0.066
06/13/2022,19:32:34,0.058
06/13/2022,19:32:35,0.062
06/13/2022,19:32:36,0.068
06/13/2022,19:32:37,0.057
06/13/2022,19:32:38,0.063
06/13/2022,19:32:39,0.059
06/13/2022,19:32:40,0.057
06/13/2022,19:32:41,0.056
06/13/2022,19:32:42,0.060
06/13/2022,19:32:43,0.069
06/13/2022,19:32:44,0.056
06/13/2022,19:32:45,0.058
06/13/2022,19:32:46,0.051
06/13/2022,19:32:47,0.064
06/13/2022,19:32:48,0.061
06/13/2022,19:32:49,0.057
06/13/2022,19:32:50,0.070
06/13/2022,19:32:51,0.061
06/13/2022,19:32:52,0.061
06/13/2022,19:32:53,0.059
06/13/2022,19:32:54,0.071
06/13/2022,19:32:55,0.066
