TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 5
Start Date:,06/13/2022
Start Time:,12:37:04
Duration (dd:hh:mm:ss):,00:00:20:08
Log Interval (mm:ss):,00:01
Number of points:,1208
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.049
,Minimum:,0.038
,Time of Minimum:,12:54:16
,Date of Minimum:,06/13/2022
,Maximum:,0.230
,Time of Maximum:,12:48:59
,Date of Maximum:,06/13/2022

,TWA:,0.002

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
,Cal name:,??????

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
06/13/2022,12:37:05,0.049
06/13/2022,12:37:06,0.053
06/13/2022,12:37:07,0.046
06/13/2022,12:37:08,0.045
06/13/2022,12:37:09,0.045
06/13/2022,12:37:10,0.051
06/13/2022,12:37:11,0.050
06/13/2022,12:37:12,0.047
06/13/2022,12:37:13,0.053
06/13/2022,12:37:14,0.055
06/13/2022,12:37:15,0.045
06/13/2022,12:37:16,0.042
06/13/2022,12:37:17,0.053
06/13/2022,12:37:18,0.053
06/13/2022,12:37:19,0.051
06/13/2022,12:37:20,0.058
06/13/2022,12:37:21,0.043
06/13/2022,12:37:22,0.047
06/13/2022,12:37:23,0.047
06/13/2022,12:37:24,0.044
06/13/2022,12:37:25,0.047
06/13/2022,12:37:26,0.057
06/13/2022,12:37:27,0.044
06/13/2022,12:37:28,0.051
06/13/2022,12:37:29,0.053
06/13/2022,12:37:30,0.044
06/13/2022,12:37:31,0.047
06/13/2022,12:37:32,0.052
06/13/2022,12:37:33,0.049
06/13/2022,12:37:34,0.056
06/13/2022,12:37:35,0.061
06/13/2022,12:37:36,0.054
06/13/2022,12:37:37,0.046
06/13/2022,12:37:38,0.050
06/13/2022,12:37:39,0.050
06/13/2022,12:37:40,0.054
06/13/2022,12:37:41,0.055
06/13/2022,12:37:42,0.053
06/13/2022,12:37:43,0.060
06/13/2022,12:37:44,0.053
06/13/2022,12:37:45,0.060
