TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 16
Start Date:,06/20/2022
Start Time:,09:26:50
Duration (dd:hh:mm:ss):,00:00:16:18
Log Interval (mm:ss):,00:01
Number of points:,978
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.099
,Minimum:,0.079
,Time of Minimum:,09:32:16
,Date of Minimum:,06/20/2022
,Maximum:,0.372
,Time of Maximum:,09:42:55
,Date of Maximum:,06/20/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/20/2022
06/20/2022,09:29:29,0.092
06/20/2022,09:29:30,0.105
06/20/2022,09:29:31,0.101
06/20/2022,09:29:32,0.092
06/20/2022,09:29:33,0.093
06/20/2022,09:29:34,0.107
06/20/2022,09:29:35,0.089
06/20/2022,09:29:36,0.109
06/20/2022,09:29:37,0.090
06/20/2022,09:29:38,0.102
06/20/2022,09:29:39,0.091
06/20/2022,09:29:40,0.093
06/20/2022,09:29:41,0.089
06/20/2022,09:29:42,0.095
06/20/2022,09:29:43,0.087
06/20/2022,09:29:44,0.085
06/20/2022,09:29:45,0.111
06/20/2022,09:29:46,0.101
06/20/2022,09:29:47,0.109
06/20/2022,09:29:48,0.102
06/20/2022,09:29:49,0.095
06/20/2022,09:29:50,0.094
06/20/2022,09:29:51,0.097
06/20/2022,09:29:52,0.085
06/20/2022,09:29:53,0.101
06/20/2022,09:29:54,0.100
06/20/2022,09:29:55,0.104
06/20/2022,09:29:56,0.089
06/20/2022,09:29:57,0.091
06/20/2022,09:29:58,0.106
06/20/2022,09:29:59,0.097
06/20/2022,09:30:00,0.093
06/20/2022,09:30:01,0.097
06/20/2022,09:30:02,0.093
06/20/2022,09:30:03,0.101
06/20/2022,09:30:04,0.108
06/20/2022,09:30:05,0.096
06/20/2022,09:30:06,0.092
06/20/2022,09:30:07,0.091
06/20/2022,09:30:08,0.101
06/20/2022,09:30:09,0.099
06/20/2022,09:30:10,0.092
06/20/2022,09:30:11,0.090
06/20/2022,09:30:12,0.106
06/20/2022,09:30:13,0.088
06/20/2022,09:30:14,0.089
06/20/2022,09:30:15,0.095
06/20/2022,09:30:16,0.088
06/20/2022,09:30:17,0.107
06/20/2022,09:30:18,0.086
06/20/2022,09:30:19,0.101
06/20/2022,09:30:20,0.093
06/20/2022,09:30:21,0.096
06/20/2022,09:30:22,0.093
06/20/2022,09:30:23,0.089
06/20/2022,09:30:24,0.093
06/20/2022,09:30:25,0.089
06/20/2022,09:30:26,0.106
06/20/2022,09:30:27,0.090
06/20/2022,09:30:28,0.096
06/20/2022,09:30:29,0.088
06/20/2022,09:30:30,0.095
06/20/2022,09:30:31,0.089
06/20/2022,09:30:32,0.088
06/20/2022,09:30:33,0.101
06/20/2022,09:30:34,0.104
06/20/2022,09:30:35,0.087
06/20/2022,09:30:36,0.107
06/20/2022,09:30:37,0.097
06/20/2022,09:30:38,0.090
06/20/2022,09:30:39,0.096
06/20/2022,09:30:40,0.093
06/20/2022,09:30:41,0.095
06/20/2022,09:30:42,0.100
06/20/2022,09:30:43,0.101
06/20/2022,09:30:44,0.092
06/20/2022,09:30:45,0.088
06/20/2022,09:30:46,0.089
06/20/2022,09:30:47,0.096
06/20/2022,09:30:48,0.104
06/20/2022,09:30:49,0.098
06/20/2022,09:30:50,0.111
06/20/2022,09:30:51,0.094
06/20/2022,09:30:52,0.098
06/20/2022,09:30:53,0.100
06/20/2022,09:30:54,0.106
06/20/2022,09:30:55,0.094
06/20/2022,09:30:56,0.095
06/20/2022,09:30:57,0.092
06/20/2022,09:30:58,0.088
06/20/2022,09:30:59,0.095
06/20/2022,09:31:00,0.098
06/20/2022,09:31:01,0.091
06/20/2022,09:31:02,0.100
06/20/2022,09:31:03,0.098
06/20/2022,09:31:04,0.100
06/20/2022,09:31:05,0.096
06/20/2022,09:31:06,0.093
06/20/2022,09:31:07,0.096
06/20/2022,09:31:08,0.093
06/20/2022,09:31:09,0.090
06/20/2022,09:31:10,0.098
06/20/2022,09:31:11,0.093
06/20/2022,09:31:12,0.096
06/20/2022,09:31:13,0.086
06/20/2022,09:31:14,0.081
06/20/2022,09:31:15,0.094
06/20/2022,09:31:16,0.088
06/20/2022,09:31:17,0.090
06/20/2022,09:31:18,0.093
06/20/2022,09:31:19,0.096
06/20/2022,09:31:20,0.090
06/20/2022,09:31:21,0.086
06/20/2022,09:31:22,0.090
06/20/2022,09:31:23,0.090
06/20/2022,09:31:24,0.094
06/20/2022,09:31:25,0.102
06/20/2022,09:31:26,0.095
06/20/2022,09:31:27,0.093
06/20/2022,09:31:28,0.097
06/20/2022,09:31:29,0.091
06/20/2022,09:31:30,0.094
06/20/2022,09:31:31,0.099
06/20/2022,09:31:32,0.104
06/20/2022,09:31:33,0.098
06/20/2022,09:31:34,0.102
06/20/2022,09:31:35,0.096
06/20/2022,09:31:36,0.099
06/20/2022,09:31:37,0.089
06/20/2022,09:31:38,0.096
06/20/2022,09:31:39,0.105
06/20/2022,09:31:40,0.098
06/20/2022,09:31:41,0.088
06/20/2022,09:31:42,0.103
06/20/2022,09:31:43,0.085
06/20/2022,09:31:44,0.096
06/20/2022,09:31:45,0.102
